Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,France,FRA,32.4797376,32.56465887,32.59314859,32.93447731,33.04843617,33.18887586,33.24713368,33.36602346,33.4535015,33.51760336,33.51851649,33.50500214,33.54864984,33.52198639,33.54554519,33.55748088,33.49045577,33.39512306,33.36401507,33.3411864,33.42793536,33.37440668,33.39078203,33.43158794,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,France,FRA,2.124810684,2.103237775,2.006232619,1.932040218,1.923818681,1.897833546,1.833152045,1.768915874,1.681675678,1.514726743,1.423504196,1.365239834,1.306175143,1.272160487,1.257780497,1.246468614,1.222611601,1.209423913,1.200630613,1.153152289,1.147510425,1.113708965,1.08485343,1.060245769,..,..
GDP (current US$),NY.GDP.MKTP.CD,France,FRA,1.28E+12,1.28E+12,1.41E+12,1.33E+12,1.40E+12,1.61E+12,1.61E+12,1.46E+12,1.51E+12,1.50E+12,1.37E+12,1.38E+12,1.50E+12,1.85E+12,2.12E+12,2.20E+12,2.33E+12,2.66E+12,2.92E+12,2.69E+12,2.65E+12,2.86E+12,2.68E+12,2.81E+12,2.83E+12,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,France,FRA,2.914015484,1.039100304,1.599669821,-0.61264861,2.345386592,2.085086213,1.387998116,2.337400854,3.556134289,3.407102529,3.875158261,1.954452429,1.118456057,0.819533268,2.786420554,1.607715493,2.374944836,2.361502077,0.195293168,-2.941338664,1.965657819,2.079228327,0.182689429,0.656488993,0.179563041,..
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,21795.23783,21782.4162,23937.05692,22503.26085,23625.529,27037.97213,27015.25896,24359.42506,25101.36874,24799.29601,22465.64184,22527.31775,24275.2426,29691.18158,33874.74255,34879.72633,36544.50853,41600.58397,45413.06571,41631.13141,40705.76623,43807.4759,40850.35237,42627.65244,42732.5665,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,France,FRA,2.333415524,0.958861616,1.09573206,-1.042353014,1.965126085,1.716970978,1.029641091,1.976028493,3.175115766,2.876494439,3.16611617,1.2151304,0.385759847,0.107475057,2.032363185,0.844670439,1.663678026,1.730134894,-0.363093926,-3.43940989,1.463151581,1.586719318,-0.270909085,0.220546246,-0.246279613,..
Internet users (per 100 people),IT.NET.USER.P2,France,FRA,0.052777862,0.140113895,0.279049463,0.590619383,0.899867425,1.637947245,2.584033979,4.255003872,6.319778722,9.125317889,14.30792394,26.32590355,30.18,36.14,39.15,42.87,46.87,66.09,70.68,71.58,77.28,77.81999899,81.44,81.9198,83.75,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,France,FRA,42.94121085,43.36220874,43.59580762,44.00272761,44.30182966,44.61235503,44.67432951,44.63935671,44.84327653,45.07320406,45.17611935,45.16295417,45.19771423,45.86872765,45.96422507,46.19240121,46.38501725,46.59579374,46.71258835,46.93015907,46.94610123,47.03539724,47.05897934,47.05446976,..,..
"Labor force, total",SL.TLF.TOTL.IN,France,FRA,25884659,25769792,26018917,26189931,26301855,26472290,26800832,26745195,26889846,27173218,27355030,27423753,27699195,28329759,28462836,28801367,28954412,29187450,29401216,29654973,29800775,29832749,30013271,30030773,..,..
Population density (people per sq. km of land area),EN.POP.DNST,France,FRA,106.8598269,106.9447555,107.4778492,107.944551,108.3471107,108.7392205,109.1249238,109.5116296,109.9160485,110.4829646,111.2422941,112.0548591,112.8727258,113.6755825,114.5156876,115.3842822,116.1915421,116.912661,117.5676505,118.1740787,118.7593474,119.3351121,119.8770091,120.3993338,120.9133113,..
Population growth (annual %),SP.POP.GROW,France,FRA,0.565757638,0.079445051,0.497237524,0.433290559,0.372238258,0.361248204,0.354077244,0.3537435,0.368612829,0.514446391,0.684930929,0.727791318,0.727229885,0.708775986,0.736319943,0.753805556,0.697191228,0.618711483,0.55885743,0.514486365,0.494037459,0.483644885,0.453799463,0.434040089,0.425985399,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,France,FRA,50.89823299,50.91558068,50.93466501,50.9548011,50.97493062,50.99433909,51.01271286,51.03041532,51.04818765,51.06705149,51.08762104,51.11009337,51.13391531,51.15803383,51.18106128,51.20203391,51.22030938,51.23608449,51.25023494,51.26404711,51.27824091,51.29347895,51.3089356,51.32210624,51.32962553,..
"Population, total",SP.POP.TOTL,France,FRA,58512808,58559312,58851216,59106766,59327194,59541900,59753098,59964845,60186291,60496715,60912498,61357431,61805267,62244884,62704897,63179356,63621376,64016229,64374990,64707044,65027512,65342776,65639975,65925498,66206930,..
Rural population,SP.RUR.TOTL,France,FRA,15180563,15091320,15065323,15029668,14984269,14937872,14889277,14841299,14795596,14752729,14697577,14647860,14598404,14545384,14495491,14449119,14393064,14326192,14250048,14166960,14081708,13993809,13902547,13808096,13712117,..
Surface area (sq. km),AG.SRF.TOTL.K2,France,FRA,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549087,549087,549087,549087,549091,549087,549087,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,France,FRA,..,11.39999962,12.69999981,13.30000019,14.39999962,13.89999962,14.39999962,14.39999962,14.10000038,13.80000019,12.19999981,10.5,9.800000191,9.600000381,10.30000019,9.899999619,9.600000381,8.5,7.900000095,9.300000191,9.699999809,9.699999809,10,10.39999962,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,France,FRA,..,9.100000381,10.19999981,11.30000019,12.60000038,11.80000019,12.39999962,12.60000038,12.10000038,12,10.19999981,8.600000381,8.699999809,8.600000381,9.199999809,8.899999619,8.800000191,8,7.400000095,9.100000381,9.300000191,9.199999809,9.899999619,10.39999962,..,..
