Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,French Polynesia,PYF,0.546448087,0.546448087,0.546448087,0.546448087,0.819672131,0.819672131,0.819672131,0.819672131,0.819672131,0.819672131,0.819672131,0.819672131,0.819672131,0.819672131,0.819672131,0.819672131,0.819672131,0.819672131,0.819672131,0.683060109,0.683060109,0.683060109,0.683060109,0.683060109,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,French Polynesia,PYF,3181206305,3267367610,3558215110,3694600400,3522272321,3982374846,3954696874,3567062512,3775160797,3797016069,3447543138,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,French Polynesia,PYF,2.200000128,4.899996203,0.89999758,0.100003234,0.800002278,0.499993912,0.30000031,1.900004145,6.199995771,4.000004643,4.000000343,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,French Polynesia,PYF,16036.73088,16173.48584,17334.40076,17732.74842,16647.1582,18505.45932,18034.75376,15943.3189,16530.17251,16299.28428,14530.22602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,French Polynesia,PYF,0.076865578,3.004713626,-0.697048696,-1.379763936,-0.741172893,-1.18870487,-1.567114187,-0.127666296,4.039538724,1.957112332,2.110382312,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,French Polynesia,PYF,0,..,..,..,..,..,0.090971944,0.21438525,1.316164696,3.448900232,6.357063545,6.251588946,8.200216486,14.12429379,17.88453743,21.54218547,25.10796425,28.59,33.87,44.6,49,49,52.87663059,56.8,60.68,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,French Polynesia,PYF,37.66010862,37.88292387,38.0883688,38.28296905,38.56249248,38.80220963,39.07914368,39.20482118,39.28394436,39.5067038,39.68429013,39.77418791,39.9255683,40.12147548,40.32173457,40.61030841,40.82588255,41.02378433,41.08805037,41.06280193,41.13048443,41.10200787,41.22042447,41.25072147,..,..
"Labor force, total",SL.TLF.TOTL.IN,French Polynesia,PYF,78072,79128,80413,81804,83130,84539,86463,88609,90803,93007,95214,97249,99420,101255,102942,104439,106141,107718,109903,111987,113845,116442,118172,119547,..,..
Population density (people per sq. km of land area),EN.POP.DNST,French Polynesia,PYF,54.19945355,55.19672131,56.08442623,56.92595628,57.80983607,58.79781421,59.91311475,61.1295082,62.3989071,63.64918033,64.82704918,65.92240437,66.94863388,67.90601093,68.80081967,69.64043716,70.41830601,71.13688525,71.82431694,72.51693989,73.24180328,74.00601093,74.80191257,75.61912568,76.44289617,..
Population growth (annual %),SP.POP.GROW,French Polynesia,PYF,2.099313251,1.823272866,1.595461168,1.489324416,1.540752452,1.694574553,1.879074442,2.009927351,2.055306206,1.983868626,1.833649476,1.675541714,1.544730783,1.419889,1.309110186,1.212973358,1.110786564,1.015272419,0.961711264,0.959709347,0.994615277,1.037997767,1.069713507,1.086578267,1.083477045,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,French Polynesia,PYF,48.04103443,48.05662806,48.04524794,48.02566847,48.02395266,48.05576208,48.12524512,48.22199576,48.33172782,48.43489758,48.51875735,48.58170726,48.62875053,48.662568,48.68810338,48.70921674,48.72560926,48.73733009,48.7478935,48.76230163,48.78331748,48.81231033,48.84850699,48.88895312,48.93005601,..
"Population, total",SP.POP.TOTL,French Polynesia,PYF,198370,202020,205269,208349,211584,215200,219282,223734,228380,232956,237267,241276,245032,248536,251811,254884,257731,260361,262877,265412,268065,270862,273775,276766,279781,..
Rural population,SP.RUR.TOTL,French Polynesia,PYF,83593,85624,87502,89323,91229,93315,95622,97794,99992,102165,104229,106164,107995,109284,110223,111063,111791,112416,113726,115168,116665,118234,119864,121531,123171,..
Surface area (sq. km),AG.SRF.TOTL.K2,French Polynesia,PYF,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
