Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Gabon,GAB,1.144875228,1.144875228,1.144875228,1.144875228,1.144875228,1.261303217,1.261303217,1.261303217,1.261303217,1.261303217,1.261303217,1.261303217,1.261303217,1.261303217,1.261303217,1.261303217,1.261303217,1.261303217,1.261303217,1.261303217,1.261303217,1.261303217,1.261303217,1.261303217,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Gabon,GAB,2.584001585,2.809991205,1.920876359,1.874675279,1.574720487,2.437772646,2.382797705,2.323999824,2.269588942,2.212487278,1.523634528,1.487893653,1.452615467,1.420316031,1.241552271,1.411600533,..,1.330644165,1.291298493,1.199455054,1.164091765,1.13170323,1.098191426,1.067479013,..,..
GDP (current US$),NY.GDP.MKTP.CD,Gabon,GAB,5952293766,5402919788,5592390833,4378645081,4190819347,4958845649,5694040000,5326817111,4483417313,4662991794,5067865503,5018874131,5310381124,6497305507,7756293438,9458884044,10154041743,12438957208,15508576359,12152235489,14476054183,17830879880,17685007055,17205083304,17228443336,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Gabon,GAB,5.192229301,6.112497926,-3.090136645,3.946547606,3.712751084,4.973857386,3.625033186,5.738381646,3.47783055,-8.932632318,-1.882948327,2.131673625,-0.249033169,2.247330012,0.689543058,3.900705466,-3.634637434,6.486620089,-3.030191697,-1.195859535,7.441453136,6.326495719,6.502586378,4.345852986,4.300001939,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Gabon,GAB,6250.643217,5523.034748,5566.794711,4245.514245,3958.738313,4564.269146,5107.316579,4656.96813,3821.808719,3878.031651,4115.036931,3981.858748,4119.154574,4929.322519,5755.959403,6865.32294,7206.968276,8632.757265,10523.27129,8061.569434,9388.232834,11304.69948,10960.72366,10425.10551,10208.40135,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Gabon,GAB,2.362009996,3.294081982,-5.631638081,1.249511646,1.041422159,2.285472926,0.98254042,3.061361129,0.895458362,-11.15158201,-4.204204517,-0.209008485,-2.474100151,0.00541682,-1.509596951,1.619270921,-5.764713298,4.123062343,-5.190945543,-3.403868859,5.036950183,3.942724522,4.113704208,2.015199184,1.9934623,..
Internet users (per 100 people),IT.NET.USER.P2,Gabon,GAB,0,..,..,..,..,..,0,0.047999009,0.17012488,0.249009564,1.216140618,1.347620222,1.939530106,2.659586594,2.9790698,4.89326475,5.489200803,5.767004576,6.21,6.7,7.23,8,8.616714489,9.2,9.81,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Gabon,GAB,47.02452218,46.53429735,46.63503624,46.31545964,46.37788043,46.35463177,46.37977782,46.23414176,46.24251633,46.17321214,46.18249958,46.11804104,46.14048743,46.15772716,46.18429602,46.13493691,46.01784476,45.99390565,45.89127267,45.79877441,45.80231984,45.75712635,45.73033008,45.70658348,..,..
"Labor force, total",SL.TLF.TOTL.IN,Gabon,GAB,348297,355873,364417,373398,381020,389700,398691,408778,418578,429381,439738,450301,461237,471726,483266,495891,510402,526061,542090,558587,575556,592028,610094,627647,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Gabon,GAB,3.695692164,3.796530446,3.898777506,4.002631273,4.108452672,4.216435751,4.326770676,4.439158614,4.552776808,4.666480382,4.779555245,4.891663756,5.003267746,5.11543059,5.229650328,5.347060193,5.467924089,5.592044087,5.719490045,5.850227035,5.98415027,6.121387822,6.261842667,6.404901618,6.549745799,..
