Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,"Gambia, The",GMB,18.47826087,19.36758893,16.00790514,15.90909091,17.78656126,18.28063241,18.77470356,20.256917,19.76284585,23.71541502,27.66798419,29.64426877,27.66798419,29.64426877,30.63241107,32.11462451,28.95256917,29.94071146,36.75889328,42.29249012,44.46640316,44.46640316,43.47826087,43.47826087,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,"Gambia, The",GMB,0.522381432,0.508389701,0.247353319,0.240651878,0.233845377,0.18148738,0.17678386,0.171604221,0.166281448,0.16113179,0.155829382,0.15146581,0.146585922,0.14207068,0.137609077,0.133071183,..,0.156594753,0.151740924,0.117527803,0.113555391,0.110160366,0.106644342,0.103298048,..,..
GDP (current US$),NY.GDP.MKTP.CD,"Gambia, The",GMB,317083688.2,690311093.2,714254263.1,755040935,746493955,785999879.7,848239405.6,803633368.7,840285264.6,814724055.9,782913866,687410630.5,578235309.3,487038679.4,578785600,624173995.6,655068112.4,798869803.5,965771304.1,900641059.3,951827284.9,904256027.7,912427787.4,891245556.8,807069488.2,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Gambia, The",GMB,3.558879369,3.107039256,3.378688939,3.012101064,0.154346248,0.881848176,2.223545592,4.899999092,3.499998513,6.399999316,5.500000174,5.800000236,-3.250000307,6.869999803,7.049999934,-0.941675912,1.124099702,3.631025533,5.734641946,6.449695858,6.524632607,-4.328681349,5.862228177,4.802165004,-0.200997693,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Gambia, The",GMB,345.8550216,727.0335582,729.0533164,748.8286525,720.1181862,737.5114518,774.0547704,713.2085141,725.0082309,682.9662139,637.1042712,542.505724,442.186133,360.677219,414.9812831,433.2910777,440.3135462,519.9539994,608.6478101,549.5403068,562.2127351,516.983903,504.9104909,477.3989285,418.5608701,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Gambia, The",GMB,-0.469679879,-0.441639441,0.190804502,0.090705928,-2.582870498,-1.874510785,-0.583630606,2.01893714,0.623165402,3.374665198,2.414231861,2.607053799,-6.251699689,3.492900053,3.643531789,-4.092127005,-2.083432534,0.346707189,2.381184117,3.062451348,3.120441592,-7.39704624,2.464001843,1.446816983,-3.374927288,..
Internet users (per 100 people),IT.NET.USER.P2,"Gambia, The",GMB,0,..,..,..,..,0.009217541,0.03550736,0.051311347,0.206094461,0.715827015,0.921794919,1.336791166,1.796779883,2.436781193,3.308003478,3.799001139,5.237691158,6.205037419,6.88,7.63,9.2,10.8703,12.44922872,14,15.56,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,"Gambia, The",GMB,44.4940997,44.58882712,44.68338775,44.75330776,45.03137036,45.37229867,45.76116501,46.02746955,46.35511066,46.60414753,46.78192847,46.9161561,47.24445951,47.2241165,47.26682572,47.31512254,47.40544712,47.43583921,47.53360303,47.69322305,47.71810442,47.79321247,47.79932734,47.86302162,..,..
"Labor force, total",SL.TLF.TOTL.IN,"Gambia, The",GMB,382862,393399,404280,415538,427633,440802,452530,466189,481112,496488,513382,528172,545755,563100,581357,601182,619336,638591,659018,680690,704502,726214,750157,774458,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Gambia, The",GMB,90.59397233,93.82312253,96.80839921,99.63399209,102.433498,105.3108696,108.2844862,111.3424901,114.5257905,117.8774704,121.4291502,125.2078063,129.2167984,133.4333004,137.8188735,142.3460474,147.0089921,151.8205534,156.7933794,161.9465415,167.2926877,172.8358696,178.5679842,184.4741107,190.5336957,..
Population growth (annual %),SP.POP.GROW,"Gambia, The",GMB,3.967801117,3.502365419,3.132242473,2.876963325,2.771039579,2.770285031,2.784525649,2.784905245,2.818909479,2.884565586,2.96852686,3.06438408,3.151679407,3.211012886,3.233858184,3.232073446,3.223270884,3.22054978,3.222963069,3.233740594,3.247860956,3.259751372,3.262697919,3.253973956,3.231992692,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,"Gambia, The",GMB,49.65396358,49.66740039,49.72016973,49.79976118,49.88978678,49.97832504,50.06374112,50.14723293,50.22402914,50.2894578,50.34076215,50.37625197,50.39765263,50.409562,50.4180388,50.42720032,50.43774715,50.44857409,50.45920936,50.4686988,50.47649087,50.48279143,50.48807266,50.49242639,50.49598045,..
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,916811,949490,979701,1008296,1036627,1065746,1095839,1126786,1159001,1192920,1228863,1267103,1307674,1350345,1394727,1440542,1487731,1536424,1586749,1638899,1693002,1749099,1807108,1866878,1928201,..
Rural population,SP.RUR.TOTL,"Gambia, The",GMB,565562,575296,582726,588986,596351,603617,610843,617986,625200,632713,640631,649074,657982,667178,676735,686534,696526,706801,717385,728409,739893,751868,764298,777125,790273,..
Surface area (sq. km),AG.SRF.TOTL.K2,"Gambia, The",GMB,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,"Gambia, The",GMB,..,7.699999809,7.599999905,7.5,7.599999905,7.800000191,7.5,7.599999905,7.599999905,7.599999905,7.599999905,7.599999905,7.800000191,7.5,7.5,7.699999809,7.599999905,7.5,7.400000095,7.400000095,7.400000095,7.699999809,7.400000095,7.400000095,..,..
