Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Georgia,GEO,..,..,11.44049504,11.44049504,11.44049504,11.0951216,11.2390272,11.29658944,11.39732336,11.36854224,11.41171392,11.44049504,11.49805727,11.54122895,6.504533026,6.763563103,6.648438624,6.662829184,6.605266945,6.475751907,5.972082314,5.790761261,5.756223917,6.490142467,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Georgia,GEO,..,..,..,1.01339711,0.28622786,0.586871681,0.642883685,1.708194234,1.718165613,1.444103084,1.522158804,1.250100337,1.320348102,1.29270463,0.987009608,1.015514859,1.4404096,1.439052842,1.432545968,1.385664974,1.366632622,1.352112158,1.342644549,1.338525793,..,..
GDP (current US$),NY.GDP.MKTP.CD,Georgia,GEO,7772020725,6357615894,3690328964,2701181331,2513870587,2693731866,3094915506,3510540809,3613500117,2800024314,3057453483,3219487825,3395778674,3991374549,5125273881,6410941013,7745406201,10172869680,12795044473,10766836277,11638536834,14434619982,15846474596,16140047012,16529963187,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Georgia,GEO,-14.7882259,-21.10000057,-44.89999991,-29.30000147,-10.39999328,2.599995222,11.20000269,10.51904065,3.104903424,2.869256461,1.838341787,4.805452136,5.473838085,11.05810212,5.857329773,9.599640804,9.383276297,12.34399988,2.314047429,-3.775774557,6.253028626,7.199999063,6.182117328,3.319930795,4.766442435,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Georgia,GEO,1618.496611,1314.67067,757.2235485,550.0155426,517.0870879,569.0181381,670.4611048,774.6802033,805.2726845,628.8656516,691.9977101,733.9704142,779.3845935,922.0297416,1186.873047,1469.92732,1761.1201,2318.127263,2918.710815,2440.961318,2613.756925,3219.605871,3528.731511,3596.90832,3669.981392,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Georgia,GEO,-14.76515732,-21.65309512,-45.32510712,-29.84128956,-9.487700959,5.365470379,14.04016653,12.57987103,4.122786611,3.673265473,2.626624902,5.56764754,6.185550465,11.77900874,6.117174548,8.51656094,8.472992551,12.58976198,2.421407395,-4.366963772,5.253207862,6.469527436,6.008327371,3.400519973,4.373344396,..
Internet users (per 100 people),IT.NET.USER.P2,Georgia,GEO,0,..,..,..,..,0.011836885,0.040065419,0.060930333,0.102830957,0.416343567,0.484746299,0.992344436,1.58787563,2.558816481,3.886221354,6.079457629,7.526876845,8.26,10.01,20.07,26.9,31.52,36.94,43.3,48.9,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Georgia,GEO,46.09908478,46.16022528,46.86029343,47.53339143,47.71806883,47.58846043,47.34928342,47.18995512,47.20313758,47.20121375,46.22887435,47.02377428,46.57206885,46.97303471,47.10579621,46.9307388,46.89476062,46.85329292,46.82497891,46.72288414,46.60240473,46.58576006,46.4869197,46.4554513,..,..
"Labor force, total",SL.TLF.TOTL.IN,Georgia,GEO,2320417,2368303,2437473,2466950,2445604,2385530,2333237,2294821,2281503,2271306,2194252,2279817,2211538,2258830,2228955,2264861,2291015,2293175,2303591,2334980,2367498,2392553,2409424,2416838,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Georgia,GEO,84.01273662,84.60582946,85.26365513,85.92148081,85.0554603,82.82305189,80.76034851,79.28199027,78.50694566,77.898107,77.29976556,76.74166346,76.22729977,75.73568004,75.55022919,76.30427937,76.94460968,76.77665419,76.69617551,77.17029987,77.90335561,78.43783897,78.5664299,78.50519612,78.80086777,..
