Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Germany,DEU,34.28808753,33.10801134,32.84449918,33.44408799,33.81455702,33.9014609,33.90243204,33.89772239,34.03529884,33.87586681,33.82719587,33.85783892,33.79865849,33.90671139,34.11417266,34.13235463,34.02729984,34.06372788,34.22539655,34.26465104,33.98456551,34.06873996,33.95306134,34.07356401,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Germany,DEU,1.459906807,1.142996461,1.107119691,0.997391895,0.908739463,0.915044648,0.955439164,0.859533398,0.820531121,0.817949337,0.547035923,0.760738362,0.730847668,0.705921002,0.696608298,0.69055136,0.591115874,0.582952964,0.582190701,0.599642687,0.599630304,0.461781404,0.446779386,0.432452544,..,..
GDP (current US$),NY.GDP.MKTP.CD,Germany,DEU,1.76E+12,1.86E+12,2.12E+12,2.07E+12,2.21E+12,2.59E+12,2.50E+12,2.22E+12,2.24E+12,2.20E+12,1.95E+12,1.95E+12,2.08E+12,2.50E+12,2.82E+12,2.86E+12,3.00E+12,3.44E+12,3.75E+12,3.41E+12,3.41E+12,3.75E+12,3.53E+12,3.73E+12,3.85E+12,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Germany,DEU,5.255010217,5.108259862,1.921861704,-0.955218405,2.454912964,1.699265564,0.781341079,1.82490673,1.967901428,1.98736376,2.984908208,1.695286441,0.010756452,-0.720507949,1.18067559,0.706561393,3.710003395,3.269783353,1.05210894,-5.637953893,4.090769512,3.589997242,0.376483651,0.105792041,1.604381006,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,22219.57218,23269.3818,26333.53744,25488.51952,27087.55845,31715.99782,30538.7025,27012.17132,27300.30325,26756.15168,23685.35075,23654.28277,25170.82421,30318.51641,34120.19126,34650.77818,36401.42251,41762.90891,45632.83678,41671.3027,41725.85007,45867.76648,43931.69171,46254.97659,47627.39208,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Germany,DEU,4.351643153,4.345218408,1.149840679,-1.604194607,2.10015689,1.400805711,0.490026239,1.676032306,1.952460934,1.921465956,2.845528502,1.524352995,-0.15724868,-0.775457144,1.202644024,0.763757064,3.827051685,3.407966601,1.244435083,-5.39855295,4.250357166,3.563727946,2.088638702,-0.167024452,1.298021009,..
Internet users (per 100 people),IT.NET.USER.P2,Germany,DEU,0.125892223,0.250274153,0.43528529,0.463635096,0.922541043,1.837737754,3.054805234,6.711087477,9.877852428,20.84598264,30.2163466,31.65093942,48.82,55.9,64.73,68.71,72.16,75.16,78,79,82,81.26999954,82.34999847,84.17,86.19,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Germany,DEU,40.59725189,42.08869122,42.08661654,42.19604495,42.24365514,42.42472893,42.56638434,42.82355855,42.9260991,43.45807085,43.65523317,43.89503271,44.18568953,44.54698977,44.67620052,44.55511277,44.94022112,45.22712278,45.23130699,45.49151993,45.64839466,45.84932615,45.89194922,45.86419227,..,..
"Labor force, total",SL.TLF.TOTL.IN,Germany,DEU,37331150,39982626,39923416,39904074,39835400,39888764,40138610,40382375,40644406,40467054,40417821,40539562,40500916,40301960,40768966,41271369,41616206,41855864,41910666,41935807,41936673,42444325,41732006,41981485,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Germany,DEU,227.5170538,229.1808094,230.9300203,232.4597932,233.2741772,233.9674907,234.6524707,235.0229795,235.0787777,235.2577311,235.5968133,236.0273001,236.4515708,236.6164273,236.5921954,236.4646806,236.2251979,235.9433619,235.5221782,234.9396374,234.6069082,234.6731495,230.7506255,231.3812045,232.0809807,..
