Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Ghana,GHA,11.86604553,12.3055287,12.3055287,12.3055287,12.3055287,13.18449503,14.06346137,15.82139404,16.70036038,16.92010196,17.35958513,17.84301661,18.37479125,18.39237057,17.57932671,17.57932671,18.45829305,18.89777622,19.77674255,20.21622572,20.30412235,20.74360552,20.65570889,20.65570889,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Ghana,GHA,0.153803562,0.148925108,0.112085364,0.107996809,0.104101417,0.183610628,0.201292269,0.107489564,0.103875356,0.100475626,0.097131583,0.083561865,0.082265952,0.080982967,0.079811481,0.078640702,..,0.150487003,0.145806511,0.156725897,0.151887015,0.147729746,0.143664831,0.140032677,..,..
GDP (current US$),NY.GDP.MKTP.CD,Ghana,GHA,5889175187,6603129588,6416078958,5968905457,5446370049,6464389816,6932984533,6891433770,7482072399,7718110851,4982849016,5314871667,6166197225,7632720650,8881419388,10731883142,20409257610,24758819718,28526891010,25977847814,32174772956,39566292433,41939728979,48584737987,38648154100,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ghana,GHA,3.328817883,5.28182629,3.879419253,4.850000564,3.299999591,4.11241904,4.602461045,4.196357576,4.700390779,4.39999686,3.700000115,4,4.499999699,5.199999984,5.59999999,5.900003953,6.399912419,6.459591207,8.430637957,3.446596007,7.899740293,14.04600263,9.292511869,7.328780544,4.178309265,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GHA,402.5889058,438.9580185,414.7023728,375.2319042,333.3285626,385.6806448,403.803257,392.2589414,416.3876621,419.8178856,264.6932592,275.4703877,311.6101083,375.8961731,426.1616742,501.7357169,929.7266286,1099.022313,1234.0799,1095.503232,1323.099141,1587.190873,1641.825922,1856.900161,1442.816818,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Ghana,GHA,0.533260772,2.380971669,1.000417067,1.978043128,0.568192866,1.493320375,2.115385606,1.827766146,2.367237538,2.040943241,1.273072295,1.472958676,1.889229343,2.520366551,2.888632116,3.181787631,3.67409424,3.736909129,5.673058361,0.841167131,5.21721461,11.25178097,6.656688419,4.786032083,1.758584224,..
Internet users (per 100 people),IT.NET.USER.P2,Ghana,GHA,0,..,..,..,..,0.000347918,0.005648763,0.027537542,0.032240443,0.104895466,0.153615298,0.20000806,0.830284034,1.193057911,1.716797704,1.831197461,2.723175973,3.85,4.27,5.44,7.8,9,10.6,12.3,18.9,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Ghana,GHA,48.18925357,48.35224296,48.59880485,48.64244154,48.74110156,48.7482202,48.71450593,48.72977567,48.60774562,48.56857399,48.55781454,48.68446765,48.83506711,48.93031335,49.16685935,49.32670639,49.49450183,49.67242742,49.82880233,50.02156751,50.02607557,49.98210087,49.90603857,49.8083314,..,..
"Labor force, total",SL.TLF.TOTL.IN,Ghana,GHA,5851620,6043306,6245240,6481673,6724212,6971274,7203456,7442583,7701538,7962130,8236250,8377027,8508988,8643793,8770668,8901243,9030102,9303129,9601766,9889878,10204954,10492132,10789001,11068845,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Ghana,GHA,64.28874044,66.1102927,67.99475697,69.90965984,71.80866661,73.6617342,75.45580557,77.21096511,78.97075679,80.79645777,82.73267997,84.79302101,86.96572471,89.23879757,91.59045882,94.0033137,96.47486596,99.00694823,101.5905731,104.2153643,106.8723477,109.5565747,112.2640635,114.9882746,117.7225894,..
