Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Greece,GRC,22.49030256,22.2420481,22.21877424,22.02482545,22.00155159,21.88518231,21.79984484,21.63692785,21.59813809,21.42746315,21.26454616,21.10162917,21.07835531,21.03956555,20.39565555,20.47323507,20.04654771,19.91466253,19.82932506,19.75950349,19.91466253,19.79829325,19.70519783,19.75950349,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Greece,GRC,4.800153605,4.956996244,4.88597933,4.928057304,4.661102758,4.468794725,4.295502017,3.570004832,3.605433106,3.503305625,3.350161463,3.391963167,3.729851153,3.679712626,3.332328314,3.339344817,3.170070752,3.16452524,3.157102933,2.776513542,2.910122568,2.924714478,2.924159391,2.974120658,..,..
GDP (current US$),NY.GDP.MKTP.CD,Greece,GRC,98251934652,1.06E+11,1.17E+11,1.09E+11,1.17E+11,1.37E+11,1.47E+11,1.43E+11,1.45E+11,1.43E+11,1.31E+11,1.36E+11,1.53E+11,2.02E+11,2.40E+11,2.48E+11,2.73E+11,3.19E+11,3.55E+11,3.30E+11,3.00E+11,2.89E+11,2.50E+11,2.42E+11,2.38E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Greece,GRC,0,3.100026788,0.699945557,-1.600004773,2.000015157,2.099736168,2.954972813,4.46261271,4.057618192,3.073987015,3.96737279,3.736916514,3.162447204,6.637943352,4.952469668,0.890703642,5.815236248,3.537636802,-0.444293912,-4.394817224,-5.448755761,-8.863679768,-6.571893179,-3.895153129,0.774209609,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,9673.415639,10289.36709,11249.23129,10435.22758,11089.85246,12918.73958,13685.32056,13298.44494,13375.14922,13140.06078,11960.66447,12418.67912,13903.69055,18292.00986,21676.43092,22327.00809,24557.87761,28548.30445,31700.49412,29485.50983,26863.01161,25962.36894,22494.37819,21965.96289,21682.59827,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Greece,GRC,-0.663627551,2.100921881,-0.402951589,-2.499447242,1.154219106,1.318702423,2.235982046,3.809936093,3.496978155,2.622198084,3.635000432,3.412191751,2.862278614,6.303066697,4.597382534,0.55251295,5.482099239,3.212499186,-0.652875668,-4.400337961,-5.163655478,-8.615904825,-6.315497511,-3.326744834,1.416216702,..
Internet users (per 100 people),IT.NET.USER.P2,Greece,GRC,0,0.048788803,0.048291602,0.191062242,0.378174312,0.749616477,1.395360779,1.849634688,3.221821786,6.877292144,9.138837308,10.93502581,14.67,17.8,21.42,24,32.25,35.88,38.2,42.4,44.4,51.64999517,55.06999344,59.8663,63.21,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Greece,GRC,36.11222425,34.95211904,35.84572896,36.03550515,36.23855795,36.63488242,37.40865846,37.53579933,38.52713564,39.14322282,39.04344269,38.93179764,39.32910329,39.55802518,40.28679175,40.40599277,40.59759969,40.60966446,40.73607953,41.34298516,41.87862144,42.21010628,42.72072839,42.78732312,..,..
"Labor force, total",SL.TLF.TOTL.IN,Greece,GRC,4187366,4135569,4257079,4322190,4419555,4515759,4628097,4658257,4784446,4841142,4871407,4811373,4868827,4935168,5011511,5030927,5078751,5087651,5099612,5148039,5142292,5072290,5039055,5008203,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Greece,GRC,78.79675718,79.56782002,80.44892164,81.19106284,81.86993794,82.50104732,83.08124903,83.60359969,84.05647789,84.4265322,84.69730023,84.96325834,85.21119472,85.47962762,85.76981381,86.05828549,86.33007758,86.60203258,86.7838557,86.78886734,86.52795966,86.29335144,86.05718386,85.55119472,85.00961986,..
