Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Grenada,GRD,5.882352941,5.882352941,5.882352941,5.882352941,5.882352941,5.882352941,5.882352941,5.882352941,5.882352941,2.941176471,2.941176471,5.882352941,5.882352941,5.882352941,5.882352941,5.882352941,5.882352941,5.882352941,5.882352941,8.823529412,8.823529412,8.823529412,8.823529412,8.823529412,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Grenada,GRD,221070366.5,241570366.1,250914810.4,250259254.8,261777773.2,276296291.4,294651846.6,304940735.4,340814808.8,379629400.7,520044361.2,520444176,540336916.4,591018397,599118582,695370296.3,698518518.5,758518518.5,825925925.9,771111111.1,771111111.1,778518518.5,800000000,835555555.6,882222222.2,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Grenada,GRD,5.19924531,2.296901551,-0.296422603,-2.639664954,2.753406261,2.503940065,4.057409389,4.608848939,6.541905963,10.07249863,1.872901282,-2.023900041,3.43732353,9.463973431,-0.647450316,13.27306387,-4.017708784,6.150583245,0.949050949,-6.630381,-0.476947536,0.745473908,-1.162790698,2.459893048,1.513569937,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Grenada,GRD,2295.976222,2504.487752,2581.401533,2545.820582,2633.499725,2755.990259,2923.249401,3015.483168,3364.344325,3742.366506,5117.539472,5109.958625,5292.232286,5773.299049,5836.120109,6754.381175,6764.722867,7322.526171,7946.638501,7393.345137,7366.576336,7409.5224,7584.66381,7889.894011,8295.538484,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Grenada,GRD,5.838399065,2.117665883,-1.061629429,-3.730118138,1.615296744,1.634855359,3.49683979,4.268514588,6.355750534,9.921671276,1.693455806,-2.244192109,3.183035888,9.17419667,-0.924244195,12.94958687,-4.304003883,5.814465862,0.612016671,-6.956240952,-0.837286836,0.368649208,-1.543236552,2.047739223,1.086893939,..
Internet users (per 100 people),IT.NET.USER.P2,Grenada,GRD,0,0,0,0,0,0,0.298032982,0.990883868,1.484854484,2.473166147,4.063907991,5.128103982,14.75884055,18.64518218,19.57062058,20.48780488,21.39599117,22.29,23.18,24.05,27,30,32,35,37.38,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Grenada,GRD,283.1941176,283.6911765,285.8852941,289.1235294,292.3617647,294.8617647,296.4588235,297.4264706,297.9470588,298.3558824,298.8823529,299.5558824,300.2941176,301.0911765,301.9323529,302.7970588,303.7029412,304.6676471,305.6882353,306.7588235,307.8735294,309.0294118,310.2235294,311.4764706,312.7911765,..
Population growth (annual %),SP.POP.GROW,Grenada,GRD,-0.605726729,0.175364913,0.770442114,1.126337335,1.113792147,0.851469663,0.540168138,0.325870307,0.174877902,0.137119429,0.176301748,0.22509581,0.246140091,0.26507442,0.278986466,0.285981285,0.298724823,0.317144421,0.334424298,0.349610406,0.362723211,0.374737622,0.385664418,0.403069929,0.421200052,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Grenada,GRD,50.6553393,50.58835727,50.55092026,50.53610303,50.53469211,50.53813851,50.54664868,50.5592089,50.57057116,50.57225382,50.55796103,50.52577836,50.47600392,50.41564506,50.35214355,50.29188643,50.2358148,50.18390339,50.13470087,50.08725,50.04060109,49.99524127,49.95259585,49.91218296,49.87446991,..
"Population, total",SP.POP.TOTL,Grenada,GRD,96286,96455,97201,98302,99403,100253,100796,101125,101302,101441,101620,101849,102100,102371,102657,102951,103259,103587,103934,104298,104677,105070,105476,105902,106349,..
Rural population,SP.RUR.TOTL,Grenada,GRD,64100,64137,64381,64855,65322,65618,65708,65656,65503,65324,65168,65076,65285,65506,65738,65975,66221,66480,66752,67034,67327,67629,67925,68219,68510,..
Surface area (sq. km),AG.SRF.TOTL.K2,Grenada,GRD,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
