Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Guam,GUM,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,Guam,GUM,0,..,..,..,0.34845391,0.659530909,1.356106888,2.344571647,4.50128419,8.497176323,16.11312704,25.38022753,31.19229426,33.71668179,36.16178784,38.55987756,43.851443,46.15047362,48.41870215,50.64202838,54.04,57.7,61.53415931,65.4,69.27,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Guam,GUM,35.88424007,36.3556151,36.90969279,37.521547,38.13621948,38.87785577,39.53703981,40.12215452,40.83239759,41.44099952,42.01409236,42.41662048,42.43260917,42.14706562,41.85108063,43.9549661,43.76249445,40.71924923,41.74947476,42.75611916,43.4389015,44.11680892,44.10398141,44.07795512,..,..
"Labor force, total",SL.TLF.TOTL.IN,Guam,GUM,59848,61201,62531,63814,64954,65963,66874,67783,68573,69313,69967,70371,68815,69248,69635,70347,72032,69795,70444,71129,72244,73693,74898,76249,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Guam,GUM,241.6333333,247.3203704,253.1407407,258.9259259,264.4555556,269.5592593,274.1851852,278.3444444,281.9907407,285.0944444,287.6444444,289.6611111,291.187037,292.2648148,292.9518519,293.3351852,293.387037,293.2074074,293.1666667,293.7425926,295.2592593,297.8851852,301.4944444,305.7796296,310.2648148,..
Population growth (annual %),SP.POP.GROW,Guam,GUM,2.292286241,2.326311659,2.326107935,2.259639894,2.113118475,1.911504686,1.701548433,1.505561911,1.30148806,1.094627324,0.890464014,0.698650775,0.525414238,0.369449167,0.234797603,0.130766455,0.017675094,-0.061244915,-0.013895819,0.196257292,0.514996689,0.885431232,1.204346196,1.411308829,1.456149626,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Guam,GUM,46.65241183,46.79340786,47.02551647,47.31368903,47.6114449,47.88749811,48.13791706,48.36799595,48.57067805,48.73758534,48.86498249,48.94800437,48.9897673,49.00363065,49.01007624,49.0230491,49.04720727,49.07915014,49.11565915,49.15175166,49.18276468,49.20861878,49.23129841,49.25176083,49.26973971,..
"Population, total",SP.POP.TOTL,Guam,GUM,130482,133553,136696,139820,142806,145562,148060,150306,152275,153951,155328,156417,157241,157823,158194,158401,158429,158332,158310,158621,159440,160858,162807,165121,167543,..
Rural population,SP.RUR.TOTL,Guam,GUM,12010,11938,11865,11785,11687,11565,11420,11253,11066,10860,10673,10585,10482,10361,10229,10089,9938,9782,9632,9505,9409,9351,9324,9319,9320,..
Surface area (sq. km),AG.SRF.TOTL.K2,Guam,GUM,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
