Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Guatemala,GTM,12.13139231,12.13139231,12.13139231,12.35535648,12.63531168,12.64464352,12.70063457,12.78462113,12.87793953,12.97125793,13.01791713,13.11123554,13.29787234,18.08510638,14.93094438,13.06457633,14.0537514,14.70698022,12.36468832,11.76315789,11.16162747,10.56009705,9.958566629,9.357036208,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Guatemala,GTM,1.338986138,1.303233686,1.301229632,1.267947217,0.955481315,1.544432362,1.503951933,1.307350286,1.036636808,1.000480182,1.256916904,1.162479319,1.129040857,1.096855138,1.013033307,0.95485448,0.658572497,0.639035735,0.618132766,0.584544927,0.56571894,0.677943718,0.657612754,0.638225161,..,..
GDP (current US$),NY.GDP.MKTP.CD,Guatemala,GTM,7650125575,9406097455,10440842286,11399942817,12983235117,14656917900,15781579950,17788657184,19393672244,18317089481,19290566570,18702820735,20776536920,21917565500,23965280312,27211228609,30231236682,34113093454,39136507937,37733655166,41337958252,47654841113,50388460925,53851153447,58728232327,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guatemala,GTM,3.10256318,3.658248747,4.838338808,3.927131992,4.033741477,4.948547507,2.957779899,4.364089932,4.993527823,3.847062161,3.608868745,2.332544291,3.866638363,2.530837955,3.152030513,3.260162692,5.379613968,6.304250075,3.281093555,0.526193007,2.869372389,4.161945918,2.969848828,3.697585601,4.241584033,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Guatemala,GTM,835.2990464,1002.247997,1085.426721,1156.173426,1284.646777,1415.121845,1487.102697,1636.222161,1741.402186,1605.520773,1650.365959,1561.597243,1692.97464,1743.176836,1860.989139,2064.035976,2241.004062,2472.388079,2774.323123,2617.115328,2805.947998,3166.586117,3278.629128,3432.022425,3666.963525,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Guatemala,GTM,0.645473465,1.157053072,2.286750318,1.387468457,1.497353237,2.406330061,0.484359985,1.873145,2.494947467,1.371213025,1.128308623,-0.128764987,1.365798587,0.075172496,0.714029864,0.865022842,2.985058952,3.934429023,1.018347652,-1.64459049,0.675246372,1.967733575,0.829356916,1.569321703,2.128171448,..
Internet users (per 100 people),IT.NET.USER.P2,Guatemala,GTM,0,..,..,..,..,0.002998005,0.019534871,0.095476021,0.466590444,0.592652945,0.712332905,1.738201782,3.39174627,4.548854908,5.1,5.7,6.5,7.3,8.3,9.3,10.5,12.3,16,19.7,23.4,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Guatemala,GTM,32.3580013,32.5688706,32.83321755,33.04662357,33.31153524,33.60578214,33.81799626,34.11257451,34.40330858,34.68804221,34.82767051,35.02162696,35.1262756,35.30696166,35.34091209,36.24709167,37.20101044,37.49775881,37.59863191,37.77475508,37.94922089,37.94442977,38.01835004,38.09228012,..,..
"Labor force, total",SL.TLF.TOTL.IN,Guatemala,GTM,3211385,3299485,3381417,3470176,3558416,3658302,3756769,3862775,3974391,4088037,4208711,4335561,4463966,4594955,4738245,5026944,5314525,5477002,5662214,5852758,6047526,6239456,6432357,6627755,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Guatemala,GTM,85.46609742,87.57932064,89.76402576,92.01253266,94.3118981,96.65317283,99.03228817,101.4537701,103.926969,106.4652389,109.0767077,111.7648843,114.5222844,117.3324561,120.1727417,123.0263624,125.8869074,128.7572695,131.6413494,134.5467805,137.479106,140.4374767,143.4188037,146.4239735,149.4540314,..
