Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Guinea-Bissau,GNB,8.890469417,8.890469417,8.890469417,9.60170697,9.957325747,9.957325747,9.60170697,9.60170697,9.246088193,9.957325747,10.6685633,10.6685633,9.957325747,9.60170697,9.957325747,9.957325747,9.957325747,9.957325747,9.957325747,9.957325747,10.6685633,10.6685633,10.6685633,10.6685633,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Guinea-Bissau,GNB,2.977748772,2.927864733,2.62637646,2.568011449,1.595350692,2.046108613,2.031064365,1.970588173,1.865081045,1.825619926,1.777563706,2.098366988,2.029577956,2.473092062,1.523383944,1.4817571,1.442099697,1.402218621,0.909533273,0.95067893,0.924139826,0.898462584,0.875085304,0.850758494,..,..
GDP (current US$),NY.GDP.MKTP.CD,Guinea-Bissau,GNB,243961995.5,257150573.2,226313492.7,236880813.8,235619994.8,253966919.9,270419779.4,268551010.9,206457553.4,224446652.1,370173851.9,392278164.4,415843479.8,476388249.3,531109346.8,586791836.1,591829897.5,695606313.9,864107768.3,825796952.7,847491366.9,1103652041,958857944.2,946629755.8,1022371992,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guinea-Bissau,GNB,6.099999986,5.100000023,1.099999971,2.1,3.20000002,4.400000008,11.6,6.5,-28.09997973,1.025537409,5.426987367,2.188906815,-0.985177525,0.568510176,2.76140199,4.265425195,2.309750124,3.204668686,3.204910483,3.314407697,4.432021672,9.028655594,-2.233317539,0.32869042,2.540286296,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea-Bissau,GNB,230.979121,238.0602812,204.8627264,209.6835936,203.9803922,215.0663616,224.0417856,217.7111121,163.8000811,174.2967664,281.4036603,291.9505319,303.0118619,339.8607487,370.9340773,401.147289,395.9779939,455.4358578,553.4565058,517.1470466,518.5983608,659.48378,559.224752,538.7338705,567.8226103,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Guinea-Bissau,GNB,3.748278451,2.7665115,-1.143732037,-0.159256656,0.930264904,2.122057089,9.18410778,4.21082674,-29.63469991,-1.11645406,3.204730045,0.044884154,-3.057367192,-1.537183991,0.60112567,2.05806465,0.131650697,0.992447947,0.96067451,1.015048256,2.044304374,6.467424351,-4.577443982,-2.098993267,0.070054246,..
Internet users (per 100 people),IT.NET.USER.P2,Guinea-Bissau,GNB,0,..,..,..,..,..,..,0.016389063,0.024060421,0.117702448,0.230103171,0.299569145,1.022993234,1.354197478,1.808142203,1.901365316,2.057196705,2.206302237,2.354888711,2.303280592,2.45,2.672,2.893990621,3.1,3.32,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Guinea-Bissau,GNB,44.48185931,44.46889754,44.48198306,44.41725984,44.20078628,44.11854975,43.78625341,43.70125457,45.69690518,45.59868555,45.49244249,45.69277679,46.18618953,46.51224355,46.47268911,46.4323405,46.56507875,46.77006731,46.90205388,46.9695453,47.09950602,47.1039556,47.10061853,47.09970494,..,..
"Labor force, total",SL.TLF.TOTL.IN,Guinea-Bissau,GNB,402989,409855,418828,428347,438775,449634,457888,469403,495957,509416,523188,538514,556766,574180,590790,607387,624090,641840,659679,679304,698812,717893,737071,758147,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Guinea-Bissau,GNB,37.56073969,38.4136202,39.28549075,40.17446657,41.07791607,41.99420341,42.92339972,43.86628734,44.8230441,45.79399004,46.78004979,47.78257468,48.80394737,49.84765292,50.91806543,52.01934566,53.15088905,54.31514936,55.52251067,56.78634424,58.11507824,59.51312233,60.97510669,62.4871266,64.02962304,..
Population growth (annual %),SP.POP.GROW,Guinea-Bissau,GNB,2.241447976,2.245274177,2.24431693,2.237637523,2.223902137,2.206093951,2.188553034,2.172895778,2.157630141,2.14304764,2.130396469,2.120420116,2.11501717,2.116021409,2.124636833,2.139790064,2.151915043,2.166834999,2.198535439,2.250734234,2.312927383,2.377167932,2.426886212,2.449486737,2.438527521,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Guinea-Bissau,GNB,50.65015603,50.65344925,50.65655359,50.65857843,50.65850814,50.65557209,50.65028674,50.64263247,50.63081947,50.61243571,50.58667913,50.55282418,50.51294588,50.47163619,50.43469273,50.40593827,50.38635678,50.37444135,50.36825247,50.36497265,50.3626248,50.36094816,50.36037139,50.36041563,50.36081383,..
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1056208,1080191,1104708,1129706,1155111,1180877,1207006,1233520,1260424,1287727,1315455,1343646,1372367,1401716,1431816,1462784,1494603,1527342,1561293,1596832,1634196,1673509,1714620,1757138,1800513,..
Rural population,SP.RUR.TOTL,Guinea-Bissau,GNB,759086,762928,769595,778469,787127,795521,803625,811471,819036,826309,833288,840021,846503,852776,858903,864988,870920,876755,882630,888765,895196,902339,910052,918157,926364,..
Surface area (sq. km),AG.SRF.TOTL.K2,Guinea-Bissau,GNB,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Guinea-Bissau,GNB,..,7.099999905,7.300000191,7.300000191,7.300000191,7.300000191,7.300000191,7.199999809,8.100000381,7.099999905,7.099999905,7.199999809,7.300000191,7.300000191,7.199999809,7.199999809,7.300000191,7.199999809,7.199999809,7.199999809,7.199999809,7.099999905,7.199999809,7.400000095,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Guinea-Bissau,GNB,..,6.800000191,6.900000095,6.900000095,7,7,7,6.900000095,7.199999809,6.800000191,6.800000191,6.800000191,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.800000191,6.800000191,6.800000191,6.800000191,6.900000095,7.099999905,..,..
