Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Guinea,GIN,11.61077649,11.51310435,11.4154322,11.32182972,11.22415758,11.12648543,10.65033371,10.174182,9.706169624,8.953280156,8.745726844,8.953280156,9.726517988,10.07244018,10.37766564,11.15497314,11.1916002,11.39508384,11.59856748,11.59856748,11.80205112,11.80205112,12.20901839,12.61598567,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Guinea,GIN,0.618682479,0.588628406,0.557444052,0.52768982,0.401532516,0.618525512,0.601070279,0.587874435,0.57720472,0.566519851,0.555592499,0.488988433,0.535880236,0.335482055,0.292924021,0.338246934,..,0.467334545,0.453749006,0.445242343,0.4306416,0.266552475,0.258424969,0.250480852,..,..
GDP (current US$),NY.GDP.MKTP.CD,Guinea,GIN,2666616177,3014890569,3284625277,3279063318,3383218923,3693753379,3869032271,3783788551,3588376057,3461282294,2995360969,2833442750,2949637039,3446442219,3666349049,2937071767,2931625105,4134173275,4515824647,4609923756,4735956493,5067360009,5667229759,6231725485,6624068016,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guinea,GIN,4.324062754,2.613423005,3.2709473,5.044144542,3.970099106,4.607673202,4.461575085,5.181603459,3.644121242,3.812004035,2.503060561,3.658346471,5.164609466,1.24860126,2.340117313,2.997272561,2.496728569,1.757682351,4.936932709,-0.280192286,1.936217423,3.90876145,3.944111989,2.299999238,-0.300010232,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea,GIN,441.925744,473.5100491,486.5106787,458.2536496,448.9177672,469.7619073,476.2003677,454.1618447,422.2820159,400.2715164,340.414229,316.3823077,323.6278426,371.3209593,387.3679616,303.7609661,296.1745763,407.2065722,433.0747552,430.1999535,430.0564739,447.7909893,487.3457142,521.5389059,539.615775,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Guinea,GIN,-0.348135999,-2.75371264,-2.607153239,-0.889097324,-1.283665395,0.262089404,1.096016298,2.573742001,1.616802029,2.01419453,0.734377149,1.845884839,3.335409803,-0.576237492,0.359233977,0.821520273,0.122559009,-0.790338777,2.171098119,-2.964142075,-0.809590513,1.117884028,1.151571413,-0.439356025,-2.954238956,..
Internet users (per 100 people),IT.NET.USER.P2,Guinea,GIN,0,..,..,..,0.000138318,0.000668589,0.001948942,0.003803109,0.006203369,0.060808919,0.095424924,0.175541868,0.402022749,0.450960371,0.508819332,0.542254181,0.637492123,0.780025279,0.92,0.94,1,1.3,1.490144366,1.6,1.72,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Guinea,GIN,45.92810002,45.8330799,45.79822829,45.68910838,45.71979723,45.60420649,45.48666294,45.43705875,45.31272384,45.19366613,45.28781275,45.24652366,45.19724974,45.14208347,45.18392966,45.2161476,45.33811427,45.40157566,45.38471587,45.60010594,45.66623937,45.70755163,45.68707636,45.66610088,..,..
"Labor force, total",SL.TLF.TOTL.IN,Guinea,GIN,2424507,2548297,2690853,2842579,2988550,3120324,3210939,3283014,3343701,3406765,3473769,3537916,3601551,3666366,3755240,3843346,3944273,4065610,4187337,4334718,4481685,4614476,4759602,4910555,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Guinea,GIN,24.55673938,25.91205437,27.47596451,29.12080417,30.67063731,31.99997151,33.06527348,33.90593358,34.58237832,35.1918281,35.80972245,36.44699658,37.09216588,37.77296109,38.51852108,39.34975989,40.28284633,41.31743855,42.43592707,43.60967768,44.81688914,46.05384584,47.32527674,48.62740518,49.95737832,..
