Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Guyana,GUY,2.438404877,2.438404877,2.438404877,2.438404877,2.438404877,2.438404877,2.438404877,2.438404877,2.438404877,2.438404877,2.286004572,2.286004572,2.286004572,2.286004572,2.286004572,2.133604267,2.133604267,2.133604267,2.133604267,2.133604267,2.133604267,2.133604267,2.133604267,2.133604267,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Guyana,GUY,1.448126306,1.45327714,0.722982157,0.717900858,0.715235956,1.103124333,1.089849284,1.080331348,1.073124801,1.073429503,1.079319541,1.07739895,1.08169596,1.090025563,0.708094941,1.062804671,1.050497411,1.035193115,1.015455229,0.86545791,0.852294146,0.352652266,0.345796684,0.340007789,..,..
GDP (current US$),NY.GDP.MKTP.CD,Guyana,GUY,396582263.3,336708410.3,368281383.4,442273443.5,540874922.3,621626785.9,705406032.1,749138004.4,717530696.6,694754984,712667925.3,696281468.8,722460911.8,741929342.8,785918769.6,824880550.3,1458446872,1740334782,1922598121,2025565089,2259288396,2576602497,2851154076,2990006534,3228372888,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guyana,GUY,-3.038084903,5.984609957,7.831446686,8.213837994,8.523309353,4.986313614,7.883466726,6.226948358,-1.708567128,2.969880978,-1.376727515,2.249999297,1.051000768,-1.00525525,3.293924791,-1.956911156,-5.342878892,7.020313451,1.976647058,3.31862417,4.370869417,5.437126058,4.816458917,5.22162589,3.828406874,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Guyana,GUY,550.5930501,469.2787063,513.1976118,614.3454648,747.8601859,855.416352,966.0542241,1020.827037,973.165775,938.6183582,960.1867987,936.91622,972.2165338,999.1816472,1058.958515,1110.957717,1961.055623,2334.021042,2569.988506,2698.058991,2998.941274,3408.731903,3759.383547,3928.87895,4226.210854,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Guyana,GUY,-2.23644304,6.395253015,7.813565461,7.869765158,8.025131197,4.485721789,7.366649437,5.697010717,-2.170085583,2.570209451,-1.646333776,2.119979033,1.058615898,-0.929263071,3.346117199,-2.000882292,-5.496885005,6.742872835,1.641584982,2.953516378,4.008864057,5.085475082,4.467213533,4.858965763,3.43967541,..
Internet users (per 100 people),IT.NET.USER.P2,Guyana,GUY,0,..,..,..,..,..,0.065854115,0.131828033,0.26408811,3.966354735,6.611491566,13.2069865,..,..,..,..,..,13.8,18.2,23.9,29.9,31,33,35,37.35,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Guyana,GUY,31.28495867,31.89943322,32.32453223,32.80412075,32.849357,32.75816668,32.65575177,32.69466003,32.73307578,32.80712203,32.74794755,32.80888333,32.84796589,32.88150016,33.0421883,33.20804047,33.26295001,33.47607496,33.64338566,33.83374554,34.08291511,34.31659197,34.46712731,34.67090337,..,..
"Labor force, total",SL.TLF.TOTL.IN,Guyana,GUY,276219,275240,276632,278590,279628,281020,284443,286949,288876,288794,287218,287730,286587,284397,282448,282272,285579,289801,295434,300419,305059,311922,318106,323522,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Guyana,GUY,3.659039878,3.64491745,3.645521971,3.657150114,3.674015748,3.691617983,3.709387859,3.727985776,3.745572771,3.76016764,3.770474981,3.775275591,3.77499111,3.772095504,3.7701905,3.771882144,3.778028956,3.787848616,3.800335281,3.813812548,3.827086614,3.83989332,3.852730505,3.866055372,3.880584201,..
Population growth (annual %),SP.POP.GROW,Guyana,GUY,-0.823360584,-0.386706691,0.016583944,0.318462967,0.460108632,0.477956666,0.480202558,0.500121599,0.470646681,0.388899343,0.273744156,0.127240099,-0.007535643,-0.076734403,-0.050515291,0.044858847,0.162831418,0.259577691,0.329108425,0.354006288,0.347448111,0.334074633,0.333753421,0.345258441,0.375100609,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Guyana,GUY,51.06236169,51.07971824,51.07292011,51.03387923,50.95377681,50.82985296,50.65167702,50.42992203,50.20737377,50.04073284,49.9668561,50.00477688,50.1355794,50.31197099,50.46445385,50.54350534,50.53213304,50.44793854,50.31680426,50.17882142,50.06278522,49.9745331,49.90480083,49.8488239,49.79768109,..
"Population, total",SP.POP.TOTL,Guyana,GUY,720282,717502,717621,719910,723230,726695,730193,733854,737316,740189,742218,743163,743107,742537,742162,742495,743705,745638,748096,750749,753362,755883,758410,761033,763893,..
