Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Haiti,HTI,28.30188679,28.30188679,28.30188679,28.30188679,29.0275762,29.0275762,29.0275762,32.65602322,32.65602322,32.65602322,32.65602322,32.65602322,32.65602322,32.65602322,32.65602322,32.65602322,32.65602322,38.09869376,36.28447025,37.23984035,39.91291727,38.46153846,36.28447025,38.82438316,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Haiti,HTI,0.296558586,0.29184597,0.287405255,0.282951767,..,0.239515303,0.235654134,0.181904895,0.172068369,0.16866621,0.165442754,0.252469486,0.157128102,0.152710467,..,..,0.143583264,..,..,..,0,0.001168098,0.001140546,0.002673084,..,..
GDP (current US$),NY.GDP.MKTP.CD,Haiti,HTI,..,3473562850,2257129874,1878253818,2167569095,2813320255,2907455213,3338887326,3723903724,4153725967,3953839594,3596448035,3472194099,2960306121,3537721020,4310356253,4757289752,5885321656,6548531998,6584642675,6622540159,7516829496,7890215896,8452726177,8713031260,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Haiti,HTI,..,..,..,..,..,..,..,..,..,2.696522905,0.875239923,-1.042697313,-0.261498231,0.362430598,-3.511333077,1.791686574,2.252992255,3.343279015,0.843944329,3.083247688,-5.497792337,5.523737754,2.885096051,4.247935032,2.74985019,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Haiti,HTI,..,479.5492678,305.5554106,249.4128129,282.4227011,359.7685486,365.0037905,411.6008703,450.9185613,494.2325382,462.4805442,413.7384592,393.0160358,329.7819844,387.9428024,465.3099364,505.5848205,615.815373,674.7495395,668.2912905,662.2793812,740.9473633,766.8721739,810.3273325,824.1588498,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Haiti,HTI,..,..,..,..,..,..,..,..,..,0.913568478,-0.833380366,-2.674749355,-1.866562228,-1.223144097,-5.020447502,0.206837025,0.66564671,1.748528525,-0.695679449,1.536698656,-6.883852602,4.012656811,1.445760593,2.82460642,1.38160537,..
Internet users (per 100 people),IT.NET.USER.P2,Haiti,HTI,0,..,..,..,..,..,0.007484253,..,0.023999477,0.070658478,0.231270715,0.340832326,0.893432988,1.647358346,5.401261908,6.376201635,6.796000481,7.2,7.6,8.1,8.37,9,9.8,10.6,11.4,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Haiti,HTI,44.00732945,44.27963659,44.56038851,44.84414132,45.19459618,45.4634604,45.71710395,46.05256456,46.30908479,46.49545031,46.76785728,46.82980454,46.97472076,46.97126162,47.12473295,47.12495647,47.19236222,47.19142246,47.34603552,47.34679372,47.35240343,47.34032276,47.4065705,47.47331148,..,..
"Labor force, total",SL.TLF.TOTL.IN,Haiti,HTI,2697612,2741172,2783526,2827337,2871819,2922569,2970455,3023558,3080171,3142301,3203525,3287526,3373044,3470620,3563982,3664188,3760884,3863486,3960735,4066005,4180263,4280463,4383867,4489196,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Haiti,HTI,257.6100508,262.8226052,268.0324383,273.2475689,278.4800798,283.7375181,289.0256894,294.3379536,299.654717,304.9490566,310.2032656,315.4050798,320.5638244,325.7095428,330.884688,336.1178882,341.4179608,346.7691582,352.1455007,357.50918,362.8308055,368.1019594,373.3246734,378.492344,383.6004717,..
