Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Honduras,HND,13.0664045,13.33452498,13.54008401,15.04155867,14.74662615,14.29975869,14.29975869,13.58477076,13.58477076,13.1200286,9.545088927,9.545088927,9.545088927,9.545088927,9.384216641,9.384216641,9.384216641,9.384216641,9.098221468,9.116096166,9.116096166,9.116096166,9.116096166,9.116096166,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Honduras,HND,1.131073867,1.035366916,0.99231018,0.959398807,0.927813389,1.282825553,1.189773238,1.150740357,0.647017836,0.609299097,0.604055281,0.601448861,0.606014888,0.745914873,0.810381309,0.785846589,0.761309345,0.736504205,0.713846699,0.689856182,0.668012266,0.64845166,0.628639429,0.61071257,..,..
GDP (current US$),NY.GDP.MKTP.CD,Honduras,HND,3048896181,3068462060,3419474979,3481990761,3432356579,3911053180,4034037162,4663193916,5202215657,5372543554,7105529647,7566517572,7776459964,8140294080,8772197585,9672006169,10841742348,12275491273,13789720387,14587485644,15839344592,17710325578,18528591646,18496448466,19385309986,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Honduras,HND,0.096880451,3.252033799,5.624295763,6.23003202,-1.30325709,4.06297613,3.595249715,4.993718593,2.901585402,-1.889534884,5.748148148,2.723193273,3.754337861,4.547038052,6.232302961,6.050916061,6.56699986,6.188252742,4.231864123,-2.431875015,3.731270148,3.835560728,-2.982074413,2.606743834,3.483158037,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Honduras,HND,621.7969546,608.6950259,660.1867648,654.7505193,629.1574618,699.5095774,704.686148,796.3177796,869.1109453,878.65135,1138.144898,1187.593242,1196.562358,1228.481832,1298.939783,1405.777867,1547.266659,1720.765887,1899.549194,1975.794666,2110.822021,2323.758502,2395.072116,2356.517955,2434.826567,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Honduras,HND,-2.690865448,0.431894587,2.799786962,3.463738338,-3.789707258,1.538147003,1.180247608,2.638527838,0.671374144,-3.957135853,3.570777131,0.655864712,1.715698741,2.53850485,4.233798866,4.095977429,4.637821203,4.302158381,2.426582887,-4.065627154,2.061685885,2.234187548,-4.420727063,1.130493704,2.019349301,..
Internet users (per 100 people),IT.NET.USER.P2,Honduras,HND,0,..,..,..,..,0.036775252,0.043711246,0.170996468,0.301247214,0.573575476,1.203855999,1.415281931,2.597402597,4.8,5.6,6.5,7.8,9.4,9.6,9.8,11.09,15.9,18.12,17.8,19.08,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Honduras,HND,28.08500397,28.17976406,29.28680916,29.20432542,29.12335279,29.04311772,31.7695894,32.02638274,32.89407006,34.58560631,34.05401775,33.17575093,31.71852261,32.00836751,32.30131274,32.6614345,33.09784766,33.39549429,33.66304723,33.81961296,34.02877864,34.20909972,34.33348819,34.51219181,..,..
"Labor force, total",SL.TLF.TOTL.IN,Honduras,HND,1591408,1641930,1713174,1771943,1832265,1894256,2042406,2111684,2210140,2346959,2367333,2377592,2359678,2413144,2467974,2545026,2627053,2715531,2801722,2899155,2993957,3084270,3181474,3274863,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Honduras,HND,43.8230673,45.0536241,46.29150952,47.52919832,48.75753865,49.96993476,51.16263294,52.33663419,53.49606757,54.64772544,55.79658593,56.94256859,58.08384127,59.22159264,60.35706497,61.49058003,62.6242649,63.75669854,64.88041827,65.98532487,67.06475109,68.11523818,69.14050407,70.14978103,71.15631424,..
