Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,"Hong Kong SAR, China",HKG,6.060606061,6.060606061,6.060606061,6.060606061,6.060606061,5.714285714,5.714285714,4.761904762,4.761904762,4.761904762,4.761904762,4.761904762,4.761904762,4.761904762,4.761904762,4.761904762,3.80952381,3.80952381,3.80952381,3.80952381,3.333333333,3.333333333,2.952380952,2.952380952,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,"Hong Kong SAR, China",HKG,76928290842,88959620136,1.04E+11,1.20E+11,1.36E+11,1.45E+11,1.60E+11,1.77E+11,1.69E+11,1.66E+11,1.72E+11,1.69E+11,1.66E+11,1.61E+11,1.69E+11,1.82E+11,1.94E+11,2.12E+11,2.19E+11,2.14E+11,2.29E+11,2.49E+11,2.63E+11,2.76E+11,2.91E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Hong Kong SAR, China",HKG,3.830411823,5.70192708,6.234983835,6.201102557,6.035983365,2.373829791,4.258471364,5.099647418,-5.882643006,2.506671669,7.663485913,0.560802766,1.65665506,3.056328301,8.700095212,7.388143132,7.032583323,6.464748708,2.127864186,-2.45911375,6.767610559,4.814675724,1.700302663,3.072174041,2.501239094,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Hong Kong SAR, China",HKG,13485.54489,15465.85886,17976.42938,20395.51737,22502.57974,23497.49231,24818.15455,27330.03335,25808.97095,25091.6666,25756.66378,25230.21633,24665.89,23977.01945,24928.10037,26649.63659,28224.09396,30593.95247,31515.52787,30697.53839,32550.13787,35142.48793,36707.69534,38364.1949,40169.63,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Hong Kong SAR, China",HKG,3.497324517,4.82904086,5.346716149,4.392390337,3.674708857,0.366630224,-0.267955006,4.228311368,-6.665072552,1.5322648,6.718502579,-0.177568707,1.20746713,3.259966675,7.855620381,6.920018337,6.347347523,5.553464766,1.518719576,-2.66894528,5.986332238,4.112116808,0.520484766,2.600372368,1.734075698,..
Internet users (per 100 people),IT.NET.USER.P2,"Hong Kong SAR, China",HKG,0,0.120955444,0.849527883,1.334568031,2.784198266,3.218635643,4.748838672,10.51875705,14.54597958,21.23068197,27.82776068,38.67140323,43.08238303,52.20004335,56.39988039,56.9,60.8,64.8,66.7,69.4,72,72.2,72.9,74.2,74.56,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,"Hong Kong SAR, China",HKG,36.43485801,37.16659447,36.98938467,36.99788634,37.78224918,38.56331406,39.15294113,39.75098652,40.55034603,41.25399165,41.95730692,42.74256844,43.81693028,43.94180457,44.35182922,44.84318906,45.27850573,45.98662317,46.56949548,46.97521914,46.79292902,46.8950135,46.96094584,46.82129928,..,..
"Labor force, total",SL.TLF.TOTL.IN,"Hong Kong SAR, China",HKG,2848470,2901759,2894963,2933300,2998813,3075620,3203154,3224725,3261548,3303770,3349817,3404400,3466854,3473881,3527018,3562124,3612511,3667834,3690463,3704351,3675363,3697504,3730947,3733365,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Hong Kong SAR, China",HKG,5762.121212,5810.10101,5859.090909,5960.606061,6096.363636,5862.952381,6129.047619,6180.285714,6232.095238,6291.904762,6347.619048,6394.571429,6422.952381,6410.285714,6460.47619,6488.761905,6530.571429,6586.952381,6626.47619,6640.761905,6689.714286,6734.857143,6813.904762,6845.238095,6896.857143,..
Population growth (annual %),SP.POP.GROW,"Hong Kong SAR, China",HKG,0.321315033,0.829228336,0.839650031,1.717770734,2.252030431,1.980132777,4.438607795,0.832512855,0.834808807,0.955125814,0.881594076,0.736962668,0.442846827,-0.197404126,0.779918562,0.436871406,0.642270483,0.859633272,0.598238787,0.215353334,0.734446396,0.672543292,1.166874383,0.458789964,0.751257934,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,"Hong Kong SAR, China",HKG,48.87047608,49.05118113,49.25032665,49.469811,49.71020495,49.96829684,50.24234538,50.5246306,50.80074321,51.05709483,51.28805151,51.49179307,51.67392562,51.84579324,52.02130171,52.20788122,52.40941344,52.6183219,52.8160519,52.97815959,53.08869433,53.14148029,53.14499389,53.11627836,53.07919654,..
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,5704500,5752000,5800500,5901000,6035400,6156100,6435500,6489300,6543700,6606500,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7154600,7187500,7241700,..
Rural population,SP.RUR.TOTL,"Hong Kong SAR, China",HKG,27553,9663,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Surface area (sq. km),AG.SRF.TOTL.K2,"Hong Kong SAR, China",HKG,1070,1070,1070,1070,1070,1080,1090,1090,1090,1090,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,..
