Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Hungary,HUN,56.23678647,56.25904084,52.76510515,52.83774761,52.84887603,53.48319608,53.53883819,53.67483296,53.6636971,53.61915367,51.35014506,51.39477795,51.39477795,51.29435394,51.30551216,51.34471599,51.30007812,51.24428077,51.16616449,50.64619463,48.51430465,48.54744284,48.56953496,48.63581133,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Hungary,HUN,2.076946906,1.938163668,1.721239522,1.487647718,1.414506852,1.749806862,1.890272695,1.821145341,1.743405225,1.565178487,1.383140097,1.14887055,1.138941217,1.120778814,1.08923795,1.030439414,1.021938701,0.862006504,0.866513988,0.974413967,0.802393051,0.888009132,0.876735538,0.877361098,..,..
GDP (current US$),NY.GDP.MKTP.CD,Hungary,HUN,..,34559392151,38514171471,39900742710,42925508499,46166297228,46448783682,47070176267,48548470549,48965869807,47110416254,53533393255,67366285759,84738408725,1.03E+11,1.12E+11,1.14E+11,1.39E+11,1.57E+11,1.29E+11,1.30E+11,1.39E+11,1.27E+11,1.33E+11,1.37E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Hungary,HUN,..,..,-3.064180345,-0.576108517,2.947154556,1.489525476,0.033920777,3.372380995,4.208477673,3.238122459,4.240403543,3.735111432,4.491147133,3.778347149,4.789353064,4.259657825,3.962944387,0.51127922,0.878582396,-6.551029707,0.78911688,1.806605435,-1.477944687,1.525166806,3.635449748,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,..,3331.539529,3714.235212,3852.344109,4150.056582,4469.595669,4504.675741,4574.145115,4728.791656,4782.97693,4613.705812,5254.772407,6631.448498,8365.464605,10206.32509,11092.4308,11342.89055,13781.14079,15598.32289,12906.7504,12958.2707,13983.49764,12784.29561,13486.58574,13902.70467,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Hungary,HUN,..,..,-3.026235553,-0.462665221,3.088168307,1.630917597,0.205898313,3.580843807,4.451231578,3.53096996,4.511535532,3.973331292,4.78911114,4.076028987,5.021655066,4.467214551,4.124957938,0.667107097,1.055372871,-6.406156834,1.01717189,2.09549418,-0.967823648,1.805120672,3.965524153,..
Internet users (per 100 people),IT.NET.USER.P2,Hungary,HUN,0,0.00338263,0.048353421,0.193414395,0.483580975,0.677486054,0.969239536,1.942449872,3.894643278,5.857840749,6.999676351,14.5285543,16.67,21.63,27.74,38.97,47.06,53.3,61,62,65,68.01998789,70.57999815,72.6439,76.13,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Hungary,HUN,44.48906443,44.82765381,45.27676428,45.17047756,44.71152429,43.39676823,43.52574341,43.51077499,44.52442713,44.6412021,44.72168134,44.68964632,45.03455269,45.28889847,45.39129216,45.58059758,45.42668496,45.27943106,45.32292049,45.41196062,45.99769724,45.82602263,45.83081509,45.82516267,..,..
"Labor force, total",SL.TLF.TOTL.IN,Hungary,HUN,4525874,4488785,4531618,4369314,4241761,4171889,4131679,4068868,4061018,4152881,4178897,4160608,4161760,4229202,4223136,4270023,4305542,4292311,4269983,4271901,4310481,4335541,4391290,4388159,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Hungary,HUN,115.4332703,115.4267275,115.3815623,115.2628867,115.1052192,114.9450812,114.7478077,114.5933853,114.3270601,114.0036748,113.9362977,113.6752511,113.3520196,113.0278063,112.7777951,112.5662872,112.3911394,112.2171633,112.0208459,110.7108141,110.4608748,110.1483155,109.5809345,109.2795979,108.9326522,..
Population growth (annual %),SP.POP.GROW,Hungary,HUN,-1.033117297,-0.005668183,-0.039136583,-0.114035594,-0.136883104,-0.139220004,-0.171771609,-0.201458936,-0.232679337,-0.28326061,-0.259764908,-0.229379183,-0.284751377,-0.286433268,-0.221439379,-0.198878843,-0.155716485,-0.154915158,-0.175097367,-0.154908814,-0.226013876,-0.283360436,-0.516437607,-0.275368757,-0.317989532,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Hungary,HUN,51.96668561,52.01538096,52.06631457,52.11809919,52.16886491,52.21726365,52.26283315,52.30568583,52.34576464,52.38312083,52.41765227,52.44932855,52.47768487,52.50166371,52.51989851,52.53148684,52.53601716,52.53394777,52.52639642,52.51495498,52.50089544,52.48466139,52.46626594,52.44605097,52.42428869,..
"Population, total",SP.POP.TOTL,Hungary,HUN,10373988,10373400,10369341,10357523,10343355,10328965,10311238,10290486,10266570,10237530,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9861673,..
Rural population,SP.RUR.TOTL,Hungary,HUN,3543962,3556728,3568401,3577385,3585524,3593550,3600375,3606198,3610855,3613643,3617236,3599271,3547284,3495810,3446941,3393894,3337350,3281402,3225270,3170565,3114107,3056534,2992775,2937652,2882468,..
Surface area (sq. km),AG.SRF.TOTL.K2,Hungary,HUN,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Hungary,HUN,..,11.60000038,8.600000381,10.30000019,9.300000191,8.800000191,8.800000191,7.699999809,6.900000095,6.300000191,5.599999905,4.900000095,5.400000095,5.599999905,6.099999905,7.5,7.900000095,7.699999809,8,9.699999809,10.69999981,10.80000019,10.60000038,10.19999981,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Hungary,HUN,..,11.60000038,9.899999619,12.10000038,10.80000019,10.19999981,9.899999619,8.699999809,7.800000191,7,6.400000095,5.699999809,5.800000191,5.900000095,6.099999905,7.199999809,7.5,7.400000095,7.800000191,10,11.19999981,10.89999962,10.89999962,10.19999981,..,..
