Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Iceland,ISL,1.356608479,1.356608479,1.356608479,1.346633416,1.346633416,1.346633416,1.336658354,1.326683292,1.296758105,1.286783042,1.286783042,1.286783042,1.286783042,1.286783042,1.286783042,1.286783042,1.286783042,1.246882793,1.246882793,1.236907731,1.226932668,1.218952618,1.208977556,1.208977556,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Iceland,ISL,..,..,..,..,..,0.065000488,0.065587533,0.078250323,0.075905169,0.061615813,0.060272552,0.059321129,0.059310222,0.058820069,..,..,0.071548474,0.06955033,0.068699829,0.069749599,0.069380327,0.096589842,0.095649032,0.105212213,..,..
GDP (current US$),NY.GDP.MKTP.CD,Iceland,ISL,6542685961,6988721327,7161929868,6289671199,6462503074,7205069584,7526269173,7620750787,8489958187,8951369525,8947860486,8147162010,9184959476,11324394791,13736980298,16798498612,17101040182,21446741082,17599578842,12823815255,13261004010,14688160822,14232533848,15394553338,17071004499,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Iceland,ISL,1.169371126,-0.223522038,-3.373885981,1.313445482,3.608853618,0.116591723,4.785052973,4.913193465,6.438227634,4.162772023,4.74007585,3.762961518,0.453452076,2.711438159,8.228620875,6.00194571,4.232900251,9.722501818,1.150661157,-5.149588659,-3.067113678,2.40098108,1.309806059,3.560387562,1.871435484,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,25675.11149,27109.39742,27434.35291,23849.3552,24293.20645,26938.06206,27987.43538,28107.57571,30979.93478,32271.02622,31819.70622,28589.74345,31945.12952,39114.24315,47032.53387,56611.30377,56293.79023,68835.30643,55446.76303,40263.28263,41695.89459,46042.37062,44377.3739,47548.68774,52111.0431,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Iceland,ISL,0.385666408,-1.373403208,-4.58052335,0.288498008,2.714616216,-0.425038334,4.220829361,4.05725832,5.304505365,2.910780424,3.315755336,2.3927725,-0.439201973,2.002620998,7.282601479,4.337259267,1.814608578,6.98125292,-0.7129273,-5.472706459,-2.927523933,2.088655745,0.772167494,2.58544266,0.681962575,..
Internet users (per 100 people),IT.NET.USER.P2,Iceland,ISL,0,0.505129002,1.53916008,2.667825265,6.794811784,11.2158757,14.80647932,27.47886875,36.2642065,41.29456671,44.47053382,49.39299537,79.12,83.14,83.88,87,89.51,90.6,91,93,93.39,94.8196868,96.20979955,96.5468,98.16,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Iceland,ISL,45.33171165,45.29768168,45.70404527,46.47878796,46.77504353,46.54099906,46.6288008,46.42265608,46.62728032,46.72881648,46.72569359,46.87021723,46.76729634,47.08958297,46.63365574,46.83185496,46.51311263,46.55966616,46.58852501,46.99030481,47.14713433,47.23404255,47.68741896,47.72373377,..,..
"Labor force, total",SL.TLF.TOTL.IN,Iceland,ISL,143061,145407,148989,148642,149909,153845,152468,153354,158092,162296,165913,168574,168605,170010,168833,174629,181695,186915,189229,186381,187373,186355,188188,190092,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Iceland,ISL,2.541905237,2.571541147,2.60405985,2.630673317,2.65357606,2.668009975,2.682453865,2.704518703,2.73363591,2.766892768,2.805037406,2.842573566,2.86805985,2.887990025,2.913456359,2.95994015,3.030244389,3.107890274,3.166224439,3.177047382,3.172478803,3.182184539,3.199162095,3.229566085,3.267720698,..
