Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,India,IND,54.97765027,54.88448434,54.72438694,54.68402625,54.66350956,54.45699737,54.15900094,54.35273225,54.28815515,54.14218398,54.12704873,53.92356358,53.95955186,53.74664922,53.70696121,53.62724885,53.36423168,53.14897467,53.13989352,53.11601344,52.80826318,52.79817301,52.65253818,52.80523613,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,India,IND,0.382867871,0.37691855,0.368150642,0.359538345,0.35156263,0.583473968,0.591068426,0.582362922,0.579314739,0.567676309,0.583719778,0.562121972,0.554853559,0.545871447,0.575731145,0.65155719,0.552260892,0.548489036,0.549132043,0.557113931,0.557121559,0.557188309,0.570914259,0.563599293,..,..
GDP (current US$),NY.GDP.MKTP.CD,India,IND,3.27E+11,2.75E+11,2.93E+11,2.84E+11,3.33E+11,3.67E+11,4.00E+11,4.23E+11,4.29E+11,4.67E+11,4.77E+11,4.94E+11,5.24E+11,6.18E+11,7.22E+11,8.34E+11,9.49E+11,1.24E+12,1.22E+12,1.37E+12,1.71E+12,1.84E+12,1.83E+12,1.86E+12,2.07E+12,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,India,IND,5.533454563,1.056831432,5.482396022,4.750776219,6.658924067,7.574491841,7.549522248,4.049820849,6.184415821,8.845755561,3.840991157,4.823966264,3.803975321,7.860381475,7.922936613,9.284831507,9.263964759,9.801360337,3.890957063,8.479786622,10.25996299,6.63834773,5.081417925,6.899217233,7.416710026,..
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,375.1520193,309.3281464,323.5243839,307.4107165,353.2919326,381.5268921,408.2413914,424.0860934,421.8219244,451.0894912,452.4135847,460.826361,480.6216076,557.8973659,640.601235,729.0010015,816.7337762,1050.024801,1022.577592,1124.519446,1387.880084,1471.658439,1449.664875,1455.102191,1595.704387,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,India,IND,3.367802911,-0.980434868,3.393896468,2.709609073,4.607612815,5.528992746,5.527065187,2.117891837,4.24275753,6.892406638,2.017019123,3.023865158,2.061402825,6.091183369,6.1935794,7.57468954,7.593912797,8.163457592,2.382198266,6.950927069,8.754969713,5.231130189,3.738897166,5.570036878,6.107046147,..
Internet users (per 100 people),IT.NET.USER.P2,India,IND,0,..,0.000111308,0.000218176,0.001069562,0.026228879,0.046333977,0.070767849,0.139027329,0.273224277,0.52753245,0.660146377,1.537875582,1.686489971,1.976136492,2.388075,2.805499865,3.95,4.38,5.12,7.5,10.07,12.58006091,15.1,18,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,India,IND,27.58677354,27.7522965,28.00113809,28.17319654,28.39214733,28.30575897,28.17236801,28.08224528,27.98995636,27.89736425,27.80492118,28.11364532,28.46847414,28.8206011,29.16726577,29.45866578,28.53880514,27.66419516,26.83912828,25.93667348,25.04853191,24.61314773,24.12481482,24.17098063,..,..
"Labor force, total",SL.TLF.TOTL.IN,India,IND,329095256,336942822,344967482,353230752,361244311,368396898,376098587,383437873,390979177,398642671,406359368,418539057,430329762,442356898,454552446,467648895,468800170,469653873,470196564,471283494,471277041,475090729,477952680,487882088,..,..
Population density (people per sq. km of land area),EN.POP.DNST,India,IND,292.8174035,298.8419405,304.8783825,310.9372872,317.0346365,323.1798109,329.3736465,335.6049395,341.8560223,348.1030899,354.3268584,360.5178916,366.6732896,372.7880078,378.8588422,384.8816567,390.8557156,396.7743841,402.6214635,408.3769224,414.0282,419.5648482,424.9945812,430.3454788,435.6571706,..
