Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Indonesia,IDN,11.17980536,9.980845344,9.991333484,10.0073417,9.453678301,9.572911894,9.903564312,10.21213643,10.32253791,10.87454528,11.31615118,11.15054897,11.08486009,12.36827724,13.61581391,12.66636122,11.86815856,12.14416225,12.53056741,13.02737405,13.02737405,12.97217331,12.97217331,12.97217331,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Indonesia,IDN,0.374622222,0.359601201,0.358615961,0.331011214,0.331738284,0.526025203,0.536622388,0.53545937,0.544128007,0.514496798,0.497842823,0.490925639,0.484537765,0.480546334,0.552680682,0.542085749,0.532206231,0.523172727,0.51490244,0.505849709,0.499588638,0.570810401,0.56175218,0.553940217,..,..
GDP (current US$),NY.GDP.MKTP.CD,Indonesia,IDN,1.14E+11,1.28E+11,1.39E+11,1.58E+11,1.77E+11,2.02E+11,2.27E+11,2.16E+11,95445548017,1.40E+11,1.65E+11,1.60E+11,1.96E+11,2.35E+11,2.57E+11,2.86E+11,3.65E+11,4.32E+11,5.10E+11,5.40E+11,7.55E+11,8.93E+11,9.18E+11,9.10E+11,8.89E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Indonesia,IDN,9.001573222,8.927796145,7.220501604,7.254075412,7.540066679,8.396358045,7.642786284,4.699872542,-13.12672393,0.791129836,4.920064597,3.643466447,4.499475391,4.780369122,5.030873945,5.692571304,5.500951785,6.345022227,6.0137036,4.628871183,6.223854181,6.169784208,6.030050653,5.579211168,5.024664957,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Indonesia,IDN,630.6685568,694.2457566,740.9177479,827.8103481,912.0977029,1026.270534,1137.265648,1063.567956,463.8830021,671.0056341,780.092079,748.1847461,900.1308039,1065.656546,1150.349294,1263.481446,1590.177906,1860.622626,2167.85765,2262.720786,3125.219934,3647.626622,3700.523538,3623.53236,3491.929717,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Indonesia,IDN,7.076956443,7.052736153,5.423220887,5.505880589,5.839595396,6.735429301,6.044366411,3.189025539,-14.35101171,-0.605245418,3.483530092,2.238083256,3.095317104,3.382686591,3.638044465,4.29764662,4.11616562,4.956589588,4.63361335,3.266786,4.839870803,4.7841036,4.649476916,4.221835229,3.7094556,..
Internet users (per 100 people),IT.NET.USER.P2,Indonesia,IDN,0,..,..,..,0.001059744,0.026109477,0.056623989,0.194910264,0.255306646,0.444415936,0.925563864,2.018613859,2.134135733,2.38701978,2.600285876,3.602024763,4.764813134,5.786274729,7.917479385,6.92,10.92,12.28,14.52,14.94,17.14,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Indonesia,IDN,38.48682062,37.92095427,37.42718037,37.92427729,38.56311946,38.27277928,38.08613471,37.54995786,38.26058982,37.81162035,37.52717949,37.32223852,37.04272401,37.06499027,37.08332494,37.0424936,37.31021178,37.57725236,37.84680681,37.71693565,37.76375919,37.83040662,37.83097427,37.96560333,..,..
"Labor force, total",SL.TLF.TOTL.IN,Indonesia,IDN,75542769,77307862,78914502,81870338,84403885,87543334,90417398,90389678,91706362,96987970,98826372,100218844,101540073,103423950,105304929,107363088,109356104,111244331,113031121,115053936,116495844,118515710,120426769,122125092,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Indonesia,IDN,100.1544633,101.908698,103.6460623,105.3634406,107.0562617,108.722183,110.3609659,111.9768212,113.5774455,115.1730703,116.7718763,118.3770437,119.9893391,121.6115353,123.2459171,124.8942646,126.5554077,128.2295633,129.920878,131.6345297,133.3722274,135.1359616,136.9187241,138.7019414,140.460914,..
Population growth (annual %),SP.POP.GROW,Indonesia,IDN,1.781452031,1.736366776,1.690455279,1.643386472,1.593879441,1.544134194,1.496065315,1.45353948,1.419304731,1.395101264,1.378630019,1.365255918,1.352808213,1.342892983,1.334985753,1.328581128,1.321272163,1.31419028,1.310351365,1.310373377,1.311455309,1.313747333,1.310610019,1.293982944,1.260193359,..
