Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,"Iran, Islamic Rep.",IRN,9.32731571,10.24285407,10.4196985,10.64259617,10.64566639,10.67698259,10.49829603,10.13294035,10.33864481,10.03162322,9.163980228,9.739338676,9.842497928,9.94565718,10.04881643,10.15197568,10.25513494,10.35829419,9.545301035,9.46301925,9.381351509,9.299069725,9.217401983,9.135734242,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,"Iran, Islamic Rep.",IRN,3.131659447,3.229684762,3.620961085,3.577701164,3.527335918,5.006301181,5.520159584,5.301291707,4.777735102,4.359622218,3.976854601,2.772513373,2.655999666,2.605299467,1.960944382,2.369356133,2.370217908,2.284110204,2.357917168,2.2998568,2.246250766,2.1962694,2.153544758,2.113125002,..,..
GDP (current US$),NY.GDP.MKTP.CD,"Iran, Islamic Rep.",IRN,1.16E+11,..,..,60088309491,67128216023,90829495171,1.11E+11,1.05E+11,1.03E+11,1.05E+11,1.01E+11,1.15E+11,1.16E+11,1.35E+11,1.63E+11,1.92E+11,2.43E+11,3.07E+11,3.56E+11,3.63E+11,4.23E+11,5.77E+11,5.58E+11,4.94E+11,4.15E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Iran, Islamic Rep.",IRN,13.68776536,12.59435696,4.251070755,-1.575789783,-0.350553105,2.652685824,7.100735147,3.384806778,2.740585246,1.933822216,5.143162536,3.669671948,7.515598158,7.114681217,5.084051514,4.623405402,5.893936099,6.365359741,1.517819386,2.279724488,6.629451625,3.946149772,-6.56466366,-1.915840686,1.458699313,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Iran, Islamic Rep.",IRN,2065.812543,..,..,1021.703982,1128.180814,1505.828169,1803.613011,1686.774355,1613.773005,1615.55195,1538.138491,1727.790143,1719.742217,1976.146862,2354.615993,2738.293647,3419.407445,4287.318631,4908.107425,4942.83995,5690.894511,7668.703275,7326.124728,6400.294877,5315.064454,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Iran, Islamic Rep.",IRN,10.78540288,10.39537423,2.740912367,-2.716743214,-1.505178736,1.261703578,5.374730588,1.53086169,0.818757185,0.101766331,3.435166559,2.175943301,6.111726513,5.82440888,3.871527596,3.429549893,4.697906102,5.182341065,0.384332605,1.108355031,5.36231904,2.659065423,-7.757990472,-3.181385,0.171764686,..
Internet users (per 100 people),IT.NET.USER.P2,"Iran, Islamic Rep.",IRN,0,..,..,..,0.000408332,0.004179752,0.01582608,0.046756094,0.099815221,0.378569095,0.93419002,1.484221332,4.626175115,6.933721953,7.49,8.1,8.76,9.47,12.02,13.8,15.9,19,22.73,29.95,39.35,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,"Iran, Islamic Rep.",IRN,10.43420529,10.6818316,10.92198447,11.16983375,11.5354707,11.79450439,12.19514551,13.05810142,13.90858701,14.71048413,15.56930126,16.45750903,17.24132223,18.10629676,19.05948418,19.96101538,19.52780397,19.04208719,17.5644014,17.79368977,18.00904222,18.10334934,18.22613016,18.33865212,..,..
"Labor force, total",SL.TLF.TOTL.IN,"Iran, Islamic Rep.",IRN,14050059,14397690,14581764,14758080,14968804,15240793,15633606,16373368,17162944,18019910,18934562,19945801,21084340,22262316,23458085,24690252,24681275,24648548,23877005,24479785,25063987,25634378,26142944,26643005,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Iran, Islamic Rep.",IRN,34.49031101,35.17732891,35.6943901,36.11301956,36.53636179,37.03824384,37.64491849,38.33231157,39.06301004,39.77793866,40.43478063,41.02590403,41.56868196,42.07551134,42.56667158,43.05800559,43.54988425,44.03970342,44.53697645,45.05295017,45.59477633,46.16641921,46.76367014,47.37493169,47.98357066,..
