Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Iraq,IRQ,11.43196836,12.34652582,12.11788646,12.80380456,11.54628804,10.97468962,10.97468962,10.06013215,10.63173057,10.4030912,9.374214052,9.831492786,10.63173057,10.28877152,10.28877152,11.88924709,10.97468962,11.31764867,9.145574685,8.403941794,9.209799226,9.900534168,9.989178486,11.51224903,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Iraq,IRQ,35.93217763,11.88945758,9.842538727,9.472787034,9.540412514,8.800032495,9.007489233,8.897869574,9.26682577,8.94958079,8.646693227,8.17113685,7.324228684,7.098850841,2.854126549,3.499957523,7.406639311,5.254328362,8.165075468,9.058154922,10.64489434,10.28462284,9.924971471,2.118946135,..,..
GDP (current US$),NY.GDP.MKTP.CD,Iraq,IRQ,1.80E+11,..,..,..,..,..,..,..,..,..,..,..,..,..,36627901762,49954890353,65140295167,88840049181,1.32E+11,1.12E+11,1.39E+11,1.86E+11,2.18E+11,2.32E+11,2.21E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Iraq,IRQ,57.81782835,-64.04710697,32.5922112,30.28982949,3.854532449,2.120021498,11.02078564,21.23793613,34.85709513,17.58226601,1.406474812,2.305316984,-6.900180223,-33.10083802,54.15777462,4.400617192,10.15819958,1.377598148,6.608864867,5.809740006,5.537890251,10.21408931,12.61641718,8.380558671,-6.429101906,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Iraq,IRQ,10293.28385,..,..,..,..,..,..,..,..,..,..,..,..,..,1391.609582,1848.968201,2350.194289,3125.580256,4512.985018,3725.675441,4487.366289,5839.313082,6650.229057,6882.406872,6334.126679,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Iraq,IRQ,53.93263839,-64.99725906,28.89044562,26.49903409,0.75626401,-0.965456216,7.62635227,17.49731837,30.71750857,14.0491112,-1.5449945,-0.579461045,-9.456859693,-34.89305062,50.11587664,1.706598132,7.379021402,-1.14245579,3.904507249,2.959585292,2.469272277,6.950181535,9.281366408,5.170950933,-9.200134076,..
Internet users (per 100 people),IT.NET.USER.P2,Iraq,IRQ,0,..,..,..,..,..,..,..,..,..,..,0.1,0.5,0.6,0.9,0.9,0.952344244,0.93,1,1.06,2.5,5,7.1,9.2,11.3,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Iraq,IRQ,13.29542273,13.54371916,13.79094448,13.88007684,14.12501846,14.33456803,14.57424254,14.81490262,14.89664491,15.13469399,15.37039076,15.6037569,15.83442293,16.06430507,16.4175737,16.45091047,16.64958651,16.81028014,16.93239954,17.13263951,17.28829542,17.35844128,17.42632774,17.61094789,..,..
"Labor force, total",SL.TLF.TOTL.IN,Iraq,IRQ,3868399,3995136,4135112,4296518,4454734,4628392,4801560,4977596,5168976,5352206,5539690,5715239,5898232,6085492,6271621,6485793,6683193,6889558,7066683,7279573,7537886,7801939,8084658,8381525,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Iraq,IRQ,39.9626289,41.04741752,42.22630953,43.49170496,44.82908064,46.22575622,47.68367286,49.20171937,50.75984864,52.33235018,53.90116149,55.46515307,57.03133045,58.6012438,60.17909322,61.77312573,63.37193452,64.9873974,66.67884629,69.00588046,71.07237981,73.24136812,75.47654955,77.77994336,80.15363327,..
Population growth (annual %),SP.POP.GROW,Iraq,IRQ,2.523954628,2.714507661,2.872024807,2.996699086,3.07501322,3.115557053,3.153905435,3.183577133,3.166818747,3.09792402,2.997784923,2.901591622,2.823714155,2.752720887,2.69251865,2.648814443,2.588194737,2.54917716,2.602733692,2.768226684,2.994671384,3.006160778,3.006160648,3.006159451,3.006160834,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Iraq,IRQ,49.51659057,49.52477618,49.53298101,49.54051282,49.5460296,49.54867154,49.54926799,49.5484298,49.54508693,49.53787912,49.52628344,49.50976953,49.4896105,49.46903341,49.45199052,49.44082608,49.43632934,49.4368998,49.43958555,49.44054237,49.4373522,49.4296461,49.41873233,49.40599928,49.39321656,..
"Population, total",SP.POP.TOTL,Iraq,IRQ,17478455,17952909,18468521,19021967,19606895,20217759,20855408,21519356,22200835,22888600,23574751,24258794,24943793,25630426,26320530,27017712,27716983,28423538,29163327,29970634,30868156,31810191,32780975,33781385,34812326,..
Rural population,SP.RUR.TOTL,Iraq,IRQ,5294923,5471688,5663003,5867896,6084804,6311984,6550058,6799041,7018128,7223184,7426990,7629391,7831353,8033088,8235167,8438712,8642432,8847395,9061921,9296891,9558633,9829985,10104736,10383722,10666149,..
Surface area (sq. km),AG.SRF.TOTL.K2,Iraq,IRQ,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,435240,435240,435240,435240,435240,435240,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Iraq,IRQ,..,33.20000076,32.5,32.09999847,31.79999924,31.5,31.29999924,29.5,30.89999962,29,29.10000038,29.20000076,29.39999962,36.09999847,37.09999847,28.20000076,27.29999924,26.29999924,23.79999924,23.70000076,23.60000038,23.5,23.10000038,24.10000038,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Iraq,IRQ,..,19.89999962,19.60000038,19.60000038,19.5,19.39999962,19.39999962,18.39999962,19.29999924,18.20000076,18.29999924,18.39999962,18.60000038,29.89999962,28.70000076,18,17.5,16.89999962,15.30000019,15.19999981,15.19999981,15.19999981,15.10000038,16,..,..
