Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Ireland,IRL,15.1110466,14.93685586,14.55944259,14.84976049,14.71911743,14.95137175,15.3723327,15.02395123,15.74974597,15.61910292,15.63361881,17.24488315,17.0852083,17.15778778,17.49165336,17.18681957,16.73682683,15.3868486,15.98200029,15.80780955,14.67556975,15.41588039,16.98359704,16.15619103,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Ireland,IRL,0.96666565,0.945949879,0.948984769,0.927563035,1.180329326,0.880405451,0.838167094,0.816886787,0.7046016,0.674190634,0.651512671,0.580630819,0.564708616,0.546652307,0.510754706,0.484092245,0.465284647,0.44825481,0.443543755,0.468397498,0.475073191,0.407624315,0.430119201,0.428052207,..,..
GDP (current US$),NY.GDP.MKTP.CD,Ireland,IRL,49256350137,49737736088,55862655768,52365158739,57040636042,69070833333,75695942540,82654608405,89810362229,98541551247,99317578773,1.08E+11,1.27E+11,1.63E+11,1.93E+11,2.10E+11,2.31E+11,2.69E+11,2.74E+11,2.34E+11,2.18E+11,2.38E+11,2.22E+11,2.32E+11,2.46E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ireland,IRL,8.46652742,1.92953894,3.343358542,2.69255764,5.755820272,9.634491855,9.08410279,10.77811485,8.548848106,10.20136244,9.520995291,5.273287461,5.838314401,2.957232992,4.578394171,5.674197946,5.470139737,4.932182698,-2.609651126,-6.370677442,-0.27550501,2.772706339,-0.313052822,0.173617084,4.792533518,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,14017.27791,14073.12646,15698.68053,14642.43207,15887.04837,19139.33956,20809.8239,22496.12454,24190.06626,26244.25233,26100.66682,28051.83547,32354.30565,40904.59483,47425.63632,50569.07776,53944.02231,61218.61871,60968.83763,51496.63335,47903.68133,51948.34654,48391.31497,50470.31947,53313.61237,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Ireland,IRL,8.375006181,1.34519908,2.640691198,2.180539363,5.33976446,9.073839683,8.224357486,9.672767146,7.422484845,8.966038947,8.070721556,3.61044982,4.069724791,1.29369604,2.683745776,3.396770289,2.664646869,1.942065067,-4.575053489,-7.316823126,-0.81741049,2.399074696,-0.532621133,-0.074666022,4.464823919,..
Internet users (per 100 people),IT.NET.USER.P2,Ireland,IRL,0,0.056796044,0.169686377,0.281141005,0.558377222,1.108386328,2.199301832,4.08825507,8.096010043,10.93380859,17.85046724,23.13881219,25.85,34.31,36.99,41.61,54.82,61.15832455,65.34,67.38,69.85,74.88997297,76.91999254,78.2477,79.69,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Ireland,IRL,34.16977177,34.66258695,35.43808422,36.56032513,37.06449319,37.58969557,38.35426221,38.89146533,39.49800506,40.1982355,40.58023152,40.73141788,41.33075468,41.55319689,41.49315052,42.05996741,42.33787854,42.92187726,43.22356069,43.70265088,44.10296099,44.31192329,44.28935108,44.39400397,..,..
"Labor force, total",SL.TLF.TOTL.IN,Ireland,IRL,1344829,1374280,1369885,1401522,1440276,1465234,1515211,1554683,1632128,1705749,1765123,1808378,1859366,1902489,1957887,2065722,2149222,2230874,2254569,2233146,2201766,2183383,2173816,2184313,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Ireland,IRL,51.00847728,51.30258383,51.65379591,51.91262883,52.11766584,52.38555668,52.80171288,53.3338801,53.89310495,54.50407897,55.23550588,56.12197706,57.07572942,58.01307882,59.08349543,60.38487444,62.03499782,63.85457976,65.16974888,65.83502685,66.19473073,66.43626071,66.58291479,66.74835245,66.95774423,..
