Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Isle of Man,IMY,35.26315789,34.9122807,34.56140351,34.21052632,33.85964912,33.50877193,33.15789474,32.80701754,32.45614035,32.10526316,31.75438596,31.40350877,32.45614035,30.87719298,31.75438596,31.22807018,49.12280702,48.24561404,47.89473684,44.94736842,44.52631579,43.80701754,37.71929825,38.42105263,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Isle of Man,IMY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Isle of Man,IMY,..,..,..,..,..,914727080.6,1023086919,1180919719,1382548250,1567465657,1563667800,1614595291,1897606791,2264911807,2758117365,2971167185,3344402193,4062367148,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Isle of Man,IMY,4.186976816,1.604987887,0.787296104,2.568276022,4.00366464,4.280900474,7.715996458,8.581528171,13.50925874,13.69321623,5.338364279,5.376166334,5.868974884,6.327778883,5.2,5.9,7.7,7.5,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Isle of Man,IMY,..,..,..,..,..,12672.68506,14034.30662,15997.93705,18470.17821,20657.43693,20358.66729,20804.49555,24229.51035,28678.84529,34634.052,36980.11308,41232.92064,49593.07503,..,..,..,..,..,..,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Isle of Man,IMY,2.63555224,0.672884578,0.30248357,2.310011611,3.655661412,3.623555609,6.655075383,7.231190947,11.93823831,12.15591025,4.066996629,4.287210487,4.909208647,5.443228699,4.326811995,4.965491319,6.684212797,6.444869009,..,..,..,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,Isle of Man,IMY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Isle of Man,IMY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Isle of Man,IMY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Isle of Man,IMY,123.354386,124.4964912,125.0982456,125.4140351,125.8350877,126.6333333,127.8929825,129.5035088,131.3210526,133.1210526,134.7473684,136.154386,137.4,138.5526316,139.7122807,140.9561404,142.2982456,143.7087719,145.1526316,146.5754386,147.9421053,149.2438596,150.4894737,151.6877193,152.854386,..
Population growth (annual %),SP.POP.GROW,Isle of Man,IMY,1.500275315,0.921613318,0.482186091,0.252115098,0.335167758,0.632354946,0.989806813,1.251413588,1.393713284,1.361377605,1.214279583,1.038775256,0.910694698,0.835388505,0.833490523,0.886361058,0.947639559,0.986365834,0.99969858,0.975441478,0.928078143,0.876059347,0.83115294,0.793078976,0.766181328,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Isle of Man,IMY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,Isle of Man,IMY,70312,70963,71306,71486,71726,72181,72899,73817,74853,75879,76806,77608,78318,78975,79636,80345,81110,81914,82737,83548,84327,85069,85779,86462,87127,..
Rural population,SP.RUR.TOTL,Isle of Man,IMY,33928,34243,34402,34482,34591,34804,35143,35580,36073,36562,37003,37381,37709,38011,38315,38642,38996,39368,39749,40123,40482,40823,41138,41429,41701,..
Surface area (sq. km),AG.SRF.TOTL.K2,Isle of Man,IMY,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Isle of Man,IMY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Isle of Man,IMY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
