Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Israel,ISR,15.85027726,16.03512015,16.03512015,16.03512015,16.12754159,15.94269871,15.52680222,15.52680222,15.4805915,15.38817006,15.61922366,15.80406654,16.12754159,15.43438078,14.3715342,14.3715342,14.00184843,14.13123845,13.84935305,14.06192237,13.56746765,13.66451017,13.62292052,13.20702403,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Israel,ISR,11.45068071,10.69743926,9.740960416,9.259164527,9.0586851,8.379023554,8.345975958,8.160261128,7.943597605,7.593138053,7.363535933,6.81792793,6.622394947,6.670791122,6.514942539,6.365572668,6.510185273,6.304890891,6.163471934,5.963469508,5.806247214,5.701129228,5.052217198,4.991834495,..,..
GDP (current US$),NY.GDP.MKTP.CD,Israel,ISR,52490325526,59170288118,65771216153,65925582469,74669718265,99319560011,1.09E+11,1.13E+11,1.15E+11,1.16E+11,1.31E+11,1.30E+11,1.20E+11,1.25E+11,1.34E+11,1.41E+11,1.52E+11,1.77E+11,2.14E+11,2.06E+11,2.33E+11,2.58E+11,2.57E+11,2.91E+11,3.04E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Israel,ISR,6.835469812,7.699379025,5.627795111,5.556872138,6.931825874,21.82889098,5.79281079,3.87271271,4.330881133,3.664920514,8.923210647,0.110755049,-0.061055128,1.077013131,5.053095387,4.338950048,5.780081345,6.267268433,3.500651279,1.904217427,5.750532184,4.190876897,2.995789893,3.248291635,2.766731966,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Israel,ISR,11264.01835,11956.00891,12838.41814,12530.99838,13830.28677,17911.55275,19177.90514,19425.15843,19258.54352,18983.9649,20901.76585,20126.84233,18246.01429,18755.27474,19682.91567,20378.06191,21581.71804,24606.21834,29268.73156,27583.19817,30551.12468,33275.15681,32514.36735,36050.69796,37031.67703,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Israel,ISR,3.579968371,1.410205346,2.040202617,2.788035727,4.198617507,18.62113298,3.060635248,1.309712259,1.972035219,1.058488227,6.082789825,-2.221379329,-2.053749463,-0.731575964,3.212467648,2.515679554,3.926526749,4.396516949,1.678117646,-0.502625797,3.836269442,2.283031898,1.111776139,1.339488924,0.817800479,..
Internet users (per 100 people),IT.NET.USER.P2,Israel,ISR,0.110773866,0.2146241,0.310579197,0.398833333,0.57696646,0.93042297,2.1683676,4.399405482,10.30706995,13.43612191,20.87379,17.37862386,17.76459906,19.59339366,22.77048553,25.19404242,27.88107446,48.12806219,59.39,63.12,67.5,68.87387799,70.8,70.8,71.45,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Israel,ISR,40.41517758,40.93667904,41.7844686,41.96990004,42.85007778,43.37713698,43.73913548,44.21216409,44.62972437,45.27565565,45.79886818,45.89212885,46.04693813,46.53395223,46.47952494,46.58742011,46.60729612,46.5637663,46.56726264,47.11396189,47.11454211,46.99858947,46.73780115,46.75216908,..,..
"Labor force, total",SL.TLF.TOTL.IN,Israel,ISR,1659290,1776126,1858133,1954820,2042239,2125546,2169908,2218679,2279194,2364635,2451268,2515427,2559497,2623377,2701482,2764873,2841701,2934230,3001555,3094675,3178473,3237078,3651862,3696036,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Israel,ISR,215.3419593,228.6968577,236.7375231,243.1146026,249.4916821,256.2384473,263.0314233,269.6857671,275.9242144,283.0406654,290.6192237,297.5508318,303.6044362,309.1358595,314.6487985,320.2449168,325.9565619,331.797597,337.7449168,345.9149723,352.2920518,358.8632163,365.5499076,372.435305,379.6349353,..
Population growth (annual %),SP.POP.GROW,Israel,ISR,3.094603009,6.017008783,3.455466899,2.658091779,2.589262849,2.668286957,2.616505943,2.498395043,2.28687869,2.546433887,2.642331913,2.357117299,2.014058394,1.805519759,1.767623642,1.762897661,1.767805874,1.776100869,1.776579106,2.390207338,1.82675241,1.848077862,1.846151321,1.866052895,1.914674953,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Israel,ISR,50.09122812,50.18416063,50.30057315,50.4225325,50.52993851,50.61122113,50.66513021,50.69720319,50.71240626,50.71757958,50.71766834,50.71261244,50.7015864,50.68741357,50.6733879,50.66156325,50.65351698,50.64818007,50.64189784,50.62986681,50.60913421,50.57903036,50.54140571,50.49900113,50.4556405,..
"Population, total",SP.POP.TOTL,Israel,ISR,4660000,4949000,5123000,5261000,5399000,5545000,5692000,5836000,5971000,6125000,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215300,..
Rural population,SP.RUR.TOTL,Israel,ISR,449271,471986,483355,491062,498490,506480,515524,524715,532971,542736,553243,562318,569619,575782,581761,587811,593922,600185,606484,616589,623306,630117,636874,643793,650980,..
Surface area (sq. km),AG.SRF.TOTL.K2,Israel,ISR,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Israel,ISR,..,13.5,13.89999962,12.10000038,10,8.600000381,7.800000191,8.800000191,9.100000381,9.399999619,9.199999809,9.699999809,10.60000038,11.30000019,11.39999962,9.5,9,7.900000095,6.5,7.5,6.400000095,5.599999905,7,6.300000191,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Israel,ISR,..,10.60000038,11.19999981,10,7.800000191,6.900000095,6.699999809,7.699999809,8.5,8.899999619,8.800000191,9.300000191,10.30000019,10.69999981,10.39999962,9,8.399999619,7.300000191,6.099999905,7.5,6.599999905,5.599999905,6.900000095,6.300000191,..,..
