Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Italy,ITA,30.64159668,30.26078678,29.75077352,29.07075584,28.3193363,28.16293224,28.32953657,28.06092958,28.3193363,29.0537554,28.82934956,28.35333719,28.17653259,27.05854355,27.12653838,26.4499898,25.07649419,24.37954715,25.49126266,23.73359625,23.94098049,22.84626368,24.19936085,23.21003604,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Italy,ITA,2.072851784,1.974653877,2.029907213,1.94770035,1.904882739,2.570740856,2.541342422,2.535285155,2.403521869,2.243253947,2.162303786,2.062205801,1.98806897,1.892350066,1.815047404,1.823882541,1.798202084,1.780011774,1.75704812,1.327333263,1.462930654,1.496286559,1.43184855,1.41123303,..,..
GDP (current US$),NY.GDP.MKTP.CD,Italy,ITA,1.18E+12,1.24E+12,1.32E+12,1.06E+12,1.10E+12,1.17E+12,1.31E+12,1.24E+12,1.27E+12,1.25E+12,1.14E+12,1.16E+12,1.27E+12,1.57E+12,1.80E+12,1.85E+12,1.94E+12,2.20E+12,2.39E+12,2.19E+12,2.13E+12,2.28E+12,2.08E+12,2.14E+12,2.14E+12,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Italy,ITA,1.985771745,1.538444721,0.834276546,-0.852803497,2.15102,2.886842345,1.286836647,1.835875849,1.617192115,1.561115064,3.710147882,1.77280302,0.250778376,0.152649957,1.583269711,0.949620808,2.006401731,1.474124078,-1.049824651,-5.481378532,1.710582418,0.586820837,-2.770415892,-1.698274142,-0.426096767,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,20764.65293,21892.07928,23175.24506,18683.7589,19280.86697,20603.89332,23028.50611,21787.70178,22260.81222,21945.50687,20059.21077,20409.00354,22205.84193,27399.10512,31188.62272,31973.93474,33426.16606,37716.44913,40659.67042,36995.10735,35877.87149,38364.94175,34854.39756,35477.47287,34960.29502,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Italy,ITA,1.900436632,1.468172777,0.765808691,-0.913399457,2.130211838,2.885207936,1.258374581,1.782011843,1.587956974,1.544033063,3.663174061,1.715655728,0.1015996,-0.291547919,0.927963161,0.454782155,1.70027189,0.96303845,-1.703172634,-5.911038546,1.398210255,0.413982007,-3.032136837,-2.831258243,-2.215803655,..
Internet users (per 100 people),IT.NET.USER.P2,Italy,ITA,0.017544562,0.035063256,0.070053433,0.122462053,0.192304619,0.524412787,1.023289903,2.276737834,4.558519565,14.37841019,23.11087424,27.22211698,28.04,29.04,33.24,35,37.99,40.79,44.53,48.83,53.68,54.3899983,55.82999799,58.4593,61.96,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Italy,ITA,36.28919755,36.63412941,36.28741435,36.05694556,36.52101042,36.84053576,37.21184156,37.44183661,37.73008809,38.25738335,38.57777316,38.93917587,39.04514706,39.22589678,39.79765933,39.8705109,40.08447054,40.15588984,40.66869222,40.65430333,40.91772807,41.11008952,41.72388352,41.83702971,..,..
"Labor force, total",SL.TLF.TOTL.IN,Italy,ITA,23783659,23953565,23203031,23104170,22888548,22756086,22857998,22912610,23053670,23234106,23266851,23402126,23696361,24007186,24517266,24398501,24468885,24494220,24814346,24631267,24565621,24564145,25107404,25474177,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Italy,ITA,192.8504301,192.983989,193.1151168,193.2332155,193.2725851,193.2756554,193.329982,193.432294,193.4879603,193.5205093,193.608201,193.7169766,194.0056679,194.8500816,196.115207,197.0812674,197.6745053,198.6751547,199.9956857,200.9089719,201.5279017,201.8747841,202.4196539,204.7798599,208.5278677,..
Population growth (annual %),SP.POP.GROW,Italy,ITA,0.083708573,0.069231189,0.067924433,0.061135853,0.020372074,0.001588562,0.028104408,0.05290695,0.028774016,0.016820844,0.045303631,0.056167601,0.148916429,0.444507313,0.647182705,0.491389108,0.300559689,0.504933687,0.662469253,0.45561345,0.307591222,0.171978291,0.26954124,1.159251117,1.813714211,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Italy,ITA,51.36780853,51.38367586,51.399552,51.41548012,51.43176205,51.44834214,51.4661623,51.48436976,51.49905615,51.50498598,51.49895933,51.47851401,51.44627996,51.41023492,51.38111403,51.36604949,51.36785372,51.3832886,51.40596724,51.42659492,51.4385101,51.43998325,51.43315905,51.41993218,51.40357285,..
