Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Jamaica,JAM,10.98799631,11.63434903,12.55771006,16.06648199,14.86611265,14.58910434,14.31209603,13.85041551,13.388735,13.20406279,12.92705448,12.92705448,12.46537396,12.46537396,12.28070175,11.81902124,11.81902124,11.54201293,11.08033241,11.08033241,11.08033241,11.08033241,11.08033241,11.08033241,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Jamaica,JAM,0.261656126,0.258040543,0.25488162,0.251957077,0.249283518,0.291363648,0.291121542,0.289981757,0.291632664,0.25329663,0.251342588,0.250737796,0.250171367,0.249491661,0.165369618,0.244803435,0.241365938,0.238140031,0.235289504,0.226208718,0.227641099,0.225908604,0.222201982,0.219238784,..,..
GDP (current US$),NY.GDP.MKTP.CD,Jamaica,JAM,4592208208,4106205951,3535452385,4891215396,4938132519,5813471982,6527302709,7472532257,8742153397,8830909008,9008629730,9104515931,9718989516,9430236066,10173234920,11239260832,11927661730,12795560771,13707629041,12125023181,13230844040,14433926129,14794802081,14362262585,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Jamaica,JAM,4.200535115,4.838238753,1.955542502,9.417102567,1.383389803,2.349957041,-0.113731206,-1.140459872,-2.334553543,1.047673871,0.878703548,1.344929564,..,..,..,..,..,1.400000002,-0.714065463,-4.411220992,-1.480026897,1.703150085,0.724298566,1.274858022,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Jamaica,JAM,1921.426029,1706.622724,1459.095412,2003.755553,2007.369311,2344.141928,2600.598787,2948.827462,3419.204389,3430.426424,3479.056152,3494.26991,3716.271243,3592.888342,3862.063372,4251.496664,4495.843537,4805.878717,5130.227409,4521.923804,4917.023202,5346.219339,5463.762007,5290.486134,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Jamaica,JAM,3.542197006,4.139242216,1.240141489,8.611162312,0.601254678,1.524636702,-1.304563284,-2.08244782,-3.202082214,0.360399162,0.290430243,0.716102751,..,..,..,..,..,1.040517775,-1.065327859,-4.748175515,-1.825583316,1.363591861,0.427943959,1.016367322,..,..
Internet users (per 100 people),IT.NET.USER.P2,Jamaica,JAM,0,..,..,..,0.036817104,0.109487986,0.591145842,0.797797441,1.978726318,2.355688556,3.115778027,3.863020387,6.1,7.8,10,12.8,16.4,21.1,23.6,24.3,27.67,37.43861341,33.79,37.1,40.5,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Jamaica,JAM,46.11035085,46.39749597,46.65429641,46.82017571,47.1029516,46.56124297,45.99429235,45.32205942,44.49247092,44.24932776,44.10836217,43.98785092,43.95977912,43.84175576,44.02006926,44.21525403,44.32741772,44.49916373,44.64837944,44.51947433,44.63808685,44.63131796,44.92774902,44.89437029,..,..
"Labor force, total",SL.TLF.TOTL.IN,Jamaica,JAM,1146543,1162608,1177017,1190679,1203449,1201248,1202247,1196627,1189853,1192278,1193590,1196469,1199178,1202445,1209412,1225473,1242926,1259763,1275025,1251057,1243185,1252719,1273616,1290830,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Jamaica,JAM,220.6832872,222.1645429,223.7344414,225.3946445,227.1469991,228.9935365,231.7565097,233.9860572,236.0831025,237.6998153,239.0940905,240.5868883,241.4822715,242.354109,243.2266851,244.0998153,244.9715605,245.843121,246.7159741,247.588735,248.4602031,249.2925208,250.0281625,250.6679594,251.2698061,..
Population growth (annual %),SP.POP.GROW,Jamaica,JAM,0.633803461,0.668970782,0.704152722,0.739302242,0.774453955,0.809639722,1.199351521,0.957423582,0.892234308,0.68247252,0.584856106,0.622414759,0.371475423,0.360385646,0.359395234,0.358335173,0.356490328,0.355148869,0.354415991,0.353127025,0.351364139,0.33443048,0.294657238,0.255563077,0.239809415,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Jamaica,JAM,50.6786805,50.70018418,50.68778343,50.64875134,50.59501732,50.53624364,50.47079615,50.3985694,50.33200547,50.28645649,50.27135547,50.2927635,50.34471582,50.40989499,50.46416188,50.49090925,50.48486983,50.45252432,50.40326142,50.35135506,50.30721353,50.27267528,50.24493615,50.22427039,50.2100204,..
"Population, total",SP.POP.TOTL,Jamaica,JAM,2390000,2406042,2423044,2441024,2460002,2480000,2509923,2534069,2556780,2574289,2589389,2605556,2615253,2624695,2634145,2643601,2653042,2662481,2671934,2681386,2690824,2699838,2707805,2714734,2721252,..
Rural population,SP.RUR.TOTL,Jamaica,JAM,1208288,1211298,1214042,1217192,1220776,1224748,1233502,1239286,1244257,1246625,1247723,1249286,1248757,1248384,1247926,1247489,1246983,1246467,1245896,1245316,1244694,1243815,1242151,1239656,1236646,..
Surface area (sq. km),AG.SRF.TOTL.K2,Jamaica,JAM,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Jamaica,JAM,..,22.60000038,22.29999924,22.5,22,22.39999962,22.89999962,23.70000076,22.29999924,22.79999924,22.39999962,21.10000038,19.70000076,17,15.80000019,15.10000038,13.30000019,13,14.5,14.80000019,16.10000038,16.70000076,17.60000038,19.5,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Jamaica,JAM,..,15.69999981,15.39999962,16.29999924,15.39999962,16.20000076,16,16.5,15.5,15.69999981,15.5,15,14.30000019,11.69999981,11.39999962,10.89999962,9.600000381,9.399999619,10.60000038,11.39999962,12.39999962,12.69999981,13.69999981,15,..,..
