Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Japan,JPN,13.07734504,13.00054855,12.92923752,12.8496983,12.78113001,12.69884805,12.6255144,12.53497942,12.44170096,12.35390947,12.27434842,12.1920439,12.12345679,12.06310014,12.01371742,11.96159122,11.91495199,11.86831276,11.81893004,11.78052126,11.7459882,11.66902114,11.64691683,11.62222954,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Japan,JPN,0.391995404,0.384294487,0.367115515,0.365515564,0.350209482,0.376074631,0.367101875,0.36447715,0.374282967,0.37542528,0.368036251,0.373151858,0.375729759,0.376638943,0.376684349,0.408211168,0.378041246,0.361602225,0.362256366,0.39134682,0.390138984,0.396751012,0.398052045,0.396281271,..,..
GDP (current US$),NY.GDP.MKTP.CD,Japan,JPN,3.10E+12,3.54E+12,3.85E+12,4.41E+12,4.85E+12,5.33E+12,4.71E+12,4.32E+12,3.91E+12,4.43E+12,4.73E+12,4.16E+12,3.98E+12,4.30E+12,4.66E+12,4.57E+12,4.36E+12,4.36E+12,4.85E+12,5.04E+12,5.50E+12,5.91E+12,5.95E+12,4.92E+12,4.60E+12,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Japan,JPN,5.572398298,3.324340789,0.819029861,0.171062707,0.863578252,1.942343417,2.610054635,1.595628581,-2.003147841,-0.199337304,2.257495292,0.355461713,0.289548448,1.685111736,2.360730112,1.302728139,1.692904249,2.192186227,-1.041636025,-5.526976489,4.652030143,-0.45272483,1.753689775,1.613366904,-0.10447889,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Japan,JPN,25123.63178,28540.77148,31013.64715,35451.29751,38814.89438,42522.06659,37422.86414,34304.14897,30969.73803,35004.06127,37299.64413,32716.41867,31235.58818,33690.93773,36441.50449,35781.17005,34075.97895,34033.70125,37865.61803,39322.60473,42909.23415,46203.70952,46679.26543,38633.70806,36194.41561,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Japan,JPN,5.212619611,3.004164654,0.569070019,-0.075874052,0.520535056,1.553880179,2.350585998,1.353843606,-2.269072843,-0.38139346,2.086586459,0.11394372,0.056618899,1.4677576,2.326278977,1.293214136,1.628478223,2.074825805,-1.089545402,-5.515171696,4.63323576,-0.255897871,1.957727632,1.791210575,0.058033492,..
Internet users (per 100 people),IT.NET.USER.P2,Japan,JPN,0.020293683,0.040438041,0.096678025,0.401277526,0.799684291,1.594363148,4.372981968,9.16307714,13.41404088,21.39129031,29.99074036,38.53206086,46.59420112,48.43526589,62.39392963,66.9210661,68.68527032,74.3,75.4,78,78.21,79.05411352,79.4964,89.71,90.58,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Japan,JPN,40.79082062,40.88309674,40.76207659,40.55751636,40.51556517,40.47795332,40.49929296,40.68707299,40.73039719,40.5785625,40.67253408,40.80443696,40.78604961,40.98950565,41.10996872,41.28169002,41.36491912,41.39529777,41.54471563,41.93590441,42.47903356,42.07352233,42.22819852,42.63777047,..,..
"Labor force, total",SL.TLF.TOTL.IN,Japan,JPN,63776258,65054277,65919306,66207851,66531608,66875024,67419977,67932928,68023400,67816424,67574865,67559626,67096096,66934130,66634040,66632180,66659393,66924367,66803519,66534845,66740831,65553960,65267847,65559495,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Japan,JPN,338.8288535,339.8820625,340.7268239,341.5688426,342.7345036,344.0455293,345.0123457,345.8353909,346.776406,347.4101509,347.9917695,348.8312757,349.6433471,350.3923182,350.5102881,350.5432099,350.7654321,351.1687243,351.3388203,351.2949246,351.309834,350.6117787,349.9053352,349.294001,348.7266842,..
Population growth (annual %),SP.POP.GROW,Japan,JPN,0.341370597,0.310355946,0.248237081,0.246819413,0.340685789,0.381789601,0.25318888,0.238271218,0.27172961,0.182586374,0.167275578,0.240952588,0.232527187,0.213980949,0.033662258,0.009392097,0.063373589,0.114908848,0.048425395,-0.012494631,0.017960542,-0.197526884,-0.200320559,-0.174866976,-0.162550166,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Japan,JPN,50.96623755,50.97419795,50.97736403,50.97848715,50.9814914,50.98915794,51.00217904,51.01960901,51.04056193,51.06353669,51.08730903,51.11180377,51.13708759,51.16222167,51.18609841,51.2079572,51.22737693,51.24453698,51.26005848,51.27490005,51.28977973,51.30483549,51.31989764,51.33501318,51.35016829,..
"Population, total",SP.POP.TOTL,Japan,JPN,123537000,123921000,124229000,124536000,124961000,125439000,125757000,126057000,126400000,126631000,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127817277,127561489,127338621,127131800,..
Rural population,SP.RUR.TOTL,Japan,JPN,27994720,27915684,27814873,27714241,27640124,27576510,27484192,27389665,27304928,27196540,27082249,25442515,23389981,21461733,19624090,17916330,16548143,15343480,14203467,13133781,12138475,11186568,10329929,9561857,8872528,..
Surface area (sq. km),AG.SRF.TOTL.K2,Japan,JPN,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377880,377890,377900,377910,377910,377920,377930,377940,377947,377950,377955,377960,377962,377962,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Japan,JPN,..,2.200000048,2.299999952,2.700000048,3,3.299999952,3.400000095,3.400000095,4,4.5,4.5,4.800000191,5.099999905,4.900000095,4.400000095,4.199999809,3.799999952,3.700000048,3.799999952,4.699999809,4.5,4.099999905,4,3.700000048,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Japan,JPN,..,2.099999905,2.200000048,2.5,2.900000095,3.200000048,3.400000095,3.400000095,4.099999905,4.699999809,4.800000191,5,5.400000095,5.199999809,4.699999809,4.400000095,4.099999905,3.900000095,4,5,5,4.5,4.300000191,4,..,..
