Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Jordan,JOR,2.030825023,1.693109701,2.943109701,2.595194923,2.391205802,2.855847688,2.039891206,2.119220308,2.153218495,2.153218495,2.153218495,2.175883953,2.20988214,2.005893019,2.368540345,2.09655485,2.153218495,1.589981868,1.694242974,2.261770669,2.000450552,1.977922956,2.444244199,2.601937373,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Jordan,JOR,14.96139213,12.70796586,11.74730605,10.81847146,10.09802149,12.24595127,11.80661372,11.91930616,11.57085715,11.27178546,12.21687455,8.791538423,8.632581808,8.539491865,8.3349056,8.105828529,7.912898238,7.437106202,7.273284832,6.899113729,6.824952025,6.718538241,6.949512842,6.726144027,..,..
GDP (current US$),NY.GDP.MKTP.CD,Jordan,JOR,4159928704,4344467193,5311188436,5606237993,6237650241,6727446632,6928359238,7244402962,7910621157,8147494358,8457923956,8972965058,9580161861,10193023676,11407566734,12588665303,15056936953,17110615283,21972870921,23818322958,26425379437,28840263380,30937277606,33593843662,35826925775,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Jordan,JOR,0.97375649,1.823896404,18.67243878,4.632533803,4.984121132,6.180241574,2.085493441,3.288739136,2.996113628,3.408516773,4.239817478,5.27137064,5.792385509,4.163751728,8.562737394,8.163780219,8.093331161,8.175719022,7.23240848,5.47658105,2.336830301,2.560808799,2.651203349,2.829210769,3.096330275,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Jordan,JOR,1312.280348,1225.51966,1422.766792,1435.288785,1535.988732,1603.682153,1601.932772,1630.153682,1733.264934,1740.917598,1763.169472,1824.886121,1901.580361,1973.86206,2156.439836,2326.495159,2719.822427,3022.542887,3797.592624,4026.76635,4370.721045,4665.954276,4896.688447,5200.285397,5422.570876,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Jordan,JOR,-2.657476393,-8.947319718,12.6959002,-0.001728447,0.977093608,2.788548517,-0.982972258,0.522906563,0.288065066,0.845399691,1.697382905,2.702209672,3.251520355,1.62218846,5.976933062,5.745037398,5.652639977,5.787101309,4.915773316,3.176246484,0.11947589,0.320765248,0.425306727,0.568878272,0.80252665,..
Internet users (per 100 people),IT.NET.USER.P2,Jordan,JOR,0,..,..,..,..,0.02323392,0.044938549,0.599341106,1.305888264,2.526965353,2.623275422,4.705719581,6.025532412,8.466005016,11.65874137,12.93285205,13.86710879,20,23,26,27.2,34.9,37,41,44,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Jordan,JOR,10.98540217,11.02149171,11.73461896,12.17673055,12.69937281,13.1723013,13.3700956,13.63789139,13.83151175,14.05801941,14.28151814,13.89039138,14.777147,13.99812054,13.08905998,14.51512905,15.04626907,17.50466997,17.11292528,17.63900465,17.80503366,18.00507447,17.94797432,18.20007221,..,..
"Labor force, total",SL.TLF.TOTL.IN,Jordan,JOR,668387,786908,851259,924345,990293,1050143,1090067,1124646,1158514,1188809,1218806,1253478,1276559,1293988,1319751,1369385,1402773,1492516,1526133,1601655,1619059,1644703,1661987,1717180,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Jordan,JOR,35.92475068,40.17452403,42.30507706,44.26563917,46.02221215,47.54079782,49.01405258,50.36264733,51.7225748,53.03717135,54.36310063,55.72302811,57.0942883,58.52221215,59.95013599,61.32139619,62.73798731,64.15457842,65.57116954,66.62536607,68.10092363,69.62153638,71.16467673,72.76413607,74.4199144,..
Population growth (annual %),SP.POP.GROW,Jordan,JOR,3.662471658,11.18065721,5.167403995,4.530163252,3.891541625,3.246409122,3.051880046,2.714273139,2.664456022,2.509867793,2.469261259,2.470786591,2.43105895,2.470229505,2.410677289,2.261567279,2.283829965,2.232833674,2.18406515,2.205029088,2.190539893,2.208317432,2.19226317,2.222661541,2.250037525,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Jordan,JOR,47.46429383,47.46221949,47.44502055,47.42894066,47.43241152,47.4651853,47.52979522,47.61953583,47.72326316,47.82487197,47.91277397,47.98398096,48.04292828,48.09369805,48.14229857,48.19256844,48.24214886,48.28909974,48.33728922,48.39158016,48.45425958,48.52705569,48.60627374,48.68319872,48.74720253,..
"Population, total",SP.POP.TOTL,Jordan,JOR,3170000,3545000,3733000,3906000,4061000,4195000,4325000,4444000,4564000,4680000,4797000,4917000,5038000,5164000,5290000,5411000,5536000,5661000,5786000,5915000,6046000,6181000,6318000,6460000,6607000,..
Rural population,SP.RUR.TOTL,Jordan,JOR,846675,905570,911375,910879,903979,907588,922955,935418,947532,958230,968610,979122,989262,999854,1009914,1018513,1027371,1035737,1043563,1051687,1059682,1067830,1075955,1084569,1093657,..
Surface area (sq. km),AG.SRF.TOTL.K2,Jordan,JOR,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,89320,89320,89320,89320,89320,89320,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Jordan,JOR,..,23.89999962,30.39999962,36.79999924,34,27,25.20000076,24.89999962,22.10000038,25.10000038,21.89999962,23.39999962,24.5,23.10000038,17.10000038,27,25.89999962,26.70000076,25.5,25,22.79999924,22,21,22.10000038,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Jordan,JOR,..,15.39999962,17.5,19.70000076,18.29999924,14.60000038,13.69999981,12.89999962,13.69999981,12.89999962,13.69999981,15.80000019,16.20000076,15.39999962,12.39999962,14.89999962,14,13.10000038,12.69999981,12.89999962,12.5,12.89999962,12.19999981,12.60000038,..,..
