Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Kazakhstan,KAZ,..,..,12.98477609,12.97921991,12.846983,12.85939178,12.22639553,12.05756195,11.91050858,11.87402304,11.17135237,10.87517132,10.49964811,10.49879616,10.5488758,10.57980516,10.59969626,10.60903063,10.56406267,10.60051117,10.62481016,10.80883061,10.86509612,10.88813572,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Kazakhstan,KAZ,..,..,..,0.190507325,0.230783729,0.966099754,0.972648726,0.915076677,1.190449143,1.334153601,1.304777473,1.290110991,1.226008824,1.293237387,1.269533504,1.271183774,1.001396763,0.980639513,0.961702284,0.925280337,0.909774447,0.784674604,0.775080023,0.766472972,..,..
GDP (current US$),NY.GDP.MKTP.CD,Kazakhstan,KAZ,26932728899,24881135586,24906939560,23409027476,21250839258,20374307047,21035357833,22165932063,22135245413,16870817135,18291990619,22152689130,24636598581,30833692831,43151647003,57123671734,81003884545,1.05E+11,1.33E+11,1.15E+11,1.48E+11,1.88E+11,2.04E+11,2.32E+11,2.12E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kazakhstan,KAZ,..,-11,-5.299999999,-9.200000002,-12.6,-8.200000003,0.500000002,1.699999999,-1.899999999,2.699999998,9.800000002,13.5,9.800000002,9.3,9.6,9.699999999,10.7,8.9,3.3,1.199999999,7.3,7.500000001,4.999999999,6,4.3,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Kazakhstan,KAZ,1647.463231,1512.485066,1515.104059,1433.461534,1320.321622,1288.239052,1350.333866,1445.569414,1468.701798,1130.113592,1229.000958,1490.926751,1658.031146,2068.123657,2874.288291,3771.278957,5291.57565,6771.414797,8513.564645,7165.27705,9070.649972,11357.94549,12120.30534,13611.53736,12276.39254,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Kazakhstan,KAZ,..,-11.55454242,-5.234299697,-8.59574234,-11.32271054,-6.577250363,2.033716049,3.319584303,-0.192003058,3.68290066,10.13050011,13.69319315,9.795470246,8.93293015,8.841004823,8.729207192,9.535335075,7.661436102,2.049064285,-1.433028552,5.795315864,5.974050077,3.531594251,4.482671985,2.768683855,..
Internet users (per 100 people),IT.NET.USER.P2,Kazakhstan,KAZ,0,..,..,..,0.000521079,0.011302355,0.031824512,0.064596754,0.131069604,0.464277218,0.668594403,1.006124211,1.674770995,2.000414753,2.650394657,2.961707492,3.268369051,4.02,11,18.2,31.6,50.6,53.31566912,54,54.89,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Kazakhstan,KAZ,47.02871152,47.09191391,47.17624498,47.27940935,47.47272585,47.68442747,47.93442703,48.27513305,48.68409532,48.93486524,49.2335459,49.28567144,49.38898055,49.31110289,49.06716217,49.18194919,49.30447431,49.3603809,49.56238391,49.47250975,49.38976738,49.40765415,49.35087323,49.29990033,..,..
"Labor force, total",SL.TLF.TOTL.IN,Kazakhstan,KAZ,7819823,7871311,7889229,7873713,7799510,7711419,7659497,7605920,7526571,7517875,7549180,7635002,7707938,7755730,7798140,7945350,8088702,8259916,8422565,8700066,8848347,8984616,9095835,9197976,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Kazakhstan,KAZ,6.055487647,6.093454828,6.089230285,6.048975442,5.961847242,5.85829018,5.770231507,5.679780346,5.58258325,5.529661073,5.513066637,5.503698559,5.503925621,5.522472127,5.560982702,5.610634145,5.670290773,5.735523206,5.805830277,5.960921954,6.045701745,6.132755491,6.219737378,6.310062229,6.40408601,..
Population growth (annual %),SP.POP.GROW,Kazakhstan,KAZ,0.604342663,0.625030618,-0.069353244,-0.66327745,-1.450853619,-1.752259011,-1.514558064,-1.579964178,-1.726094321,-0.952509234,-0.300549816,-0.170069526,0.004125545,0.336402206,0.694922853,0.888891382,1.057664776,1.143857766,1.21836561,2.636252653,1.412240469,1.429659402,1.408352557,1.441785478,1.479068715,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Kazakhstan,KAZ,51.59209359,51.58565602,51.59141038,51.61067394,51.64465783,51.69348219,51.75977239,51.84170415,51.92846806,52.00397822,52.05547401,52.07691496,52.07116233,52.04517718,52.00992855,51.97352378,51.93752871,51.90061187,51.86429149,51.8298266,51.79831256,51.77086564,51.74812167,51.72996406,51.7158416,..
