Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Kenya,KEN,8.767614295,8.955617247,9.298239449,8.890606881,9.579365358,9.554766841,8.207119514,8.458375795,8.219418772,8.95386021,8.593667639,9.010085392,8.945075025,9.041712057,9.238500193,9.249042415,9.329866114,9.312295744,9.312295744,9.663703131,9.663703131,10.19081421,10.3665179,10.19081421,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Kenya,KEN,0.222283128,0.215583636,0.250572244,0.24262491,0.215554617,0.277727553,0.270822293,0.264652552,0.258897473,0.25322065,0.23056254,0.244225439,0.239152152,0.23142399,0.2256567,0.220715303,..,0.207275454,0.200805674,0.195344941,0.189199957,0.182990579,0.177048309,0.171492552,..,..
GDP (current US$),NY.GDP.MKTP.CD,Kenya,KEN,8572346693,8151479004,8209129172,5751789915,7148145376,9046326060,12045858436,13115773738,14093998844,12896013577,12705357103,12986007426,13147743911,14904517650,16095337094,18737895401,25825524821,31958195182,35895153328,37021512049,39999659234,41953433591,50410164014,54930813988,60936509778,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kenya,KEN,4.192050974,1.438346791,-0.79949396,0.353197256,2.632784519,4.406216526,4.146839267,0.47490192,3.290213723,2.305388596,0.599695392,3.779906496,0.54685953,2.932475546,5.104299776,5.906666082,6.330632805,6.993285154,0.232282746,3.306939815,8.402277064,6.11161346,4.554912438,5.687231313,5.328057786,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Kenya,KEN,365.6172894,336.3641884,327.9748244,222.7240548,268.6455753,330.4831218,428.4338764,454.7417768,476.7185137,425.5935921,408.9818683,407.5540066,402.1703155,444.2336311,467.3787525,530.0821579,711.7211637,857.9256887,938.5717623,942.7431465,991.8505451,1012.879773,1184.923256,1257.202838,1358.262219,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Kenya,KEN,0.734758207,-1.859446645,-3.952963588,-2.736049637,-0.388766546,1.488559872,1.394662781,-2.054952546,0.766465285,-0.181665042,-1.876225576,1.182549155,-2.001875129,0.296817038,2.399034801,3.175548103,3.58497047,4.222917306,-2.372568079,0.609052082,5.557505454,3.314995487,1.794934611,2.905769858,2.579553104,..
Internet users (per 100 people),IT.NET.USER.P2,Kenya,KEN,0,..,..,..,..,0.000727482,0.008839115,0.034406051,0.050261388,0.114256028,0.318059714,0.619782266,1.207773885,2.941902861,3.023528042,3.101897702,7.53378972,7.95,8.67,10.04,14,28,32.1,39,43.4,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Kenya,KEN,47.26852935,47.24080972,47.2102226,47.10663729,47.0670659,47.02269881,46.97291165,46.91945336,46.86169271,46.79911321,46.73189891,46.72731266,46.64508169,46.56807368,46.5714966,46.51091726,46.51200463,46.44737019,46.46262456,46.47825674,46.49283574,46.43467067,46.45092975,46.46114512,..,..
"Labor force, total",SL.TLF.TOTL.IN,Kenya,KEN,8997534,9277142,9578076,9891812,10206230,10513901,10781978,11033334,11278596,11531445,11797233,12038058,12293429,12574323,12851380,13139098,13550233,13991044,14441823,14906964,15391124,15902458,16436192,16968667,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Kenya,KEN,41.19589029,42.58018589,43.9782022,45.37501493,46.75139509,48.09543346,49.40089785,50.67688969,51.94611871,53.24039779,54.58379309,55.98495976,57.44101627,58.95048494,60.5078891,62.10956882,63.7558685,65.45057455,67.19689707,68.99881927,70.85833538,72.77638894,74.74958358,76.77000562,78.82697227,..
