Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Kiribati,KIR,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Kiribati,KIR,28413863.09,47797320.45,49724294.95,48613287.09,56200248.57,57610600.44,67866421.47,69152441.74,67097374.04,70596129.03,67512697.12,63101272.37,72259045.96,90148518.06,102220914.8,106149546.4,104670768.1,123005089.6,135046910.3,127126362.9,150436703.5,172260277.6,174984282.2,168944505.2,166762323.6,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kiribati,KIR,2.133305113,-4.317698321,3.183016991,3.475882336,4.895947901,-0.9702499,6.116431585,5.570566095,10.98150547,0.149539683,9.506586095,0.703251456,0.577604814,4.03025063,3.172490639,-0.174077721,-4.507931358,7.51644384,2.754238139,-0.665021325,-0.500317782,2.740007765,2.810013544,2.97279334,3.03030303,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Kiribati,KIR,392.3970541,648.5565477,665.0033427,641.9968714,732.9766097,741.1916122,860.0811268,862.3574229,822.7153617,850.8735676,799.8566112,734.9492461,827.3020845,1014.135333,1128.951514,1149.688033,1110.482703,1277.178794,1371.912089,1264.108774,1465.559032,1645.872214,1641.195669,1556.461022,1509.571138,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Kiribati,KIR,-0.050097358,-5.988613709,1.699570516,2.179051661,3.593538447,-2.311847117,4.52953322,3.881489698,9.122650987,-1.556052762,7.64225223,-0.999806163,-1.132409075,2.217456923,1.288961709,-2.102934801,-6.461194334,5.224560763,0.533952428,-2.767960386,-2.51846074,0.762992462,0.921981219,1.147545934,1.234011153,..
Internet users (per 100 people),IT.NET.USER.P2,Kiribati,KIR,0,..,..,..,..,..,..,..,0.616545618,1.211577838,1.785225474,2.337458948,2.5,3,3.5,4,4.5,6,7,8.97,9.07,10,10.74679768,11.5,12.25,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Kiribati,KIR,89.3962963,90.98518519,92.31234568,93.48395062,94.65925926,95.95925926,97.41604938,99,100.6864198,102.4308642,104.2049383,105.9975309,107.8308642,109.7432099,111.7839506,113.9864198,116.3666667,118.9012346,121.5271605,124.1555556,126.7259259,129.2123457,131.6296296,134.0049383,136.382716,..
Population growth (annual %),SP.POP.GROW,Kiribati,KIR,2.160978601,1.761744023,1.448119547,1.261188184,1.249392876,1.364001951,1.506725645,1.6128875,1.689108204,1.71771432,1.717144507,1.705627967,1.71481272,1.757925373,1.842481497,1.951132032,2.066680912,2.154706145,2.184459407,2.139747873,2.049143122,1.943045067,1.853500114,1.788450933,1.758837015,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Kiribati,KIR,50.52961567,50.51019024,50.47811376,50.445049,50.42778517,50.43678516,50.47587666,50.53872054,50.61062338,50.67434825,50.71914319,50.740758,50.74361998,50.73572425,50.72836711,50.72729045,50.73469344,50.74758592,50.76140069,50.77063819,50.77156886,50.76340983,50.74939036,50.73150059,50.71422106,..
"Population, total",SP.POP.TOTL,Kiribati,KIR,72411,73698,74773,75722,76674,77727,78907,80190,81556,82969,84406,85858,87343,88892,90545,92329,94257,96310,98437,100566,102648,104662,106620,108544,110470,..
Rural population,SP.RUR.TOTL,Kiribati,KIR,47077,47703,48187,48584,48977,49427,49407,49115,48821,48504,48147,48533,49356,50213,51129,52119,53188,54316,55472,56615,57716,58762,59763,60725,61672,..
Surface area (sq. km),AG.SRF.TOTL.K2,Kiribati,KIR,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
