Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,"Korea, Dem. Rep.",PRK,19.00174404,19.10140354,19.10140354,19.10140354,19.93189934,19.93189934,19.10140354,19.10140354,19.10140354,19.10140354,19.10140354,19.10140354,19.10140354,19.10140354,19.10140354,19.51665144,19.51665144,19.51665144,19.93189934,19.93189934,19.93189934,19.51665144,19.51665144,19.51665144,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,"Korea, Dem. Rep.",PRK,9.895756452,9.683834895,9.540783031,8.664073851,8.571744724,9.573851908,8.921905621,9.388497852,9.270898255,9.168973344,9.089156884,9.190984389,9.116199192,9.047698098,9.159828684,9.086585547,9.022651104,8.96601803,8.89670486,9.368661589,9.307045575,9.221442133,9.135323421,9.068527422,..,..
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Dem. Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Korea, Dem. Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Dem. Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Korea, Dem. Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,"Korea, Dem. Rep.",PRK,0,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,"Korea, Dem. Rep.",PRK,48.90526545,48.77365125,48.53561702,48.435221,48.28057814,48.18547393,48.10784622,48.03201538,48.01966831,47.93635819,47.97243852,47.94206917,47.9000681,47.91890842,47.99776401,48.01925065,47.97655727,48.06411554,48.09329875,48.00458039,48.03219765,48.00525629,47.91603664,47.88800638,..,..
"Labor force, total",SL.TLF.TOTL.IN,"Korea, Dem. Rep.",PRK,12126410,12391785,12577584,12696106,12832860,12983280,13102582,13250256,13418333,13567495,13686638,13828769,13942214,14047772,14137819,14251778,14352766,14443424,14555951,14719285,14816732,14954277,15095251,15206438,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Korea, Dem. Rep.",PRK,167.713263,170.3364172,173.0593971,175.7846524,178.3784071,180.7463666,182.8461922,184.7091271,186.4046674,188.0387592,189.6870526,191.3748111,193.0741051,194.7443983,196.3233618,197.7686571,199.0689893,200.248692,201.3439831,202.4068267,203.4756748,204.5624035,205.6586081,206.7577859,207.8462918,..
