Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,"Korea, Rep.",KOR,20.2467344,19.97719262,19.67654987,19.43810906,19.12709932,18.48434584,18.09040017,17.85195936,17.70682148,17.61351856,17.8104914,17.45916891,17.29517512,17.13842975,17.07291882,16.9643779,16.71139554,16.47750722,16.12903226,15.81874356,15.49933148,15.30391854,15.63636364,15.3468902,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,"Korea, Rep.",KOR,3.392360404,3.813470643,3.735276288,3.686143825,3.582682117,2.990898616,3.058829628,3.030935706,3.075799988,3.04084755,3.033336567,2.988223964,2.946576373,2.946440832,2.910998602,2.873702159,2.849061263,2.8245675,2.812298196,2.680009906,2.64267108,2.599969415,2.559466358,2.524929805,..,..
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Rep.",KOR,2.85E+11,3.32E+11,3.56E+11,3.92E+11,4.59E+11,5.59E+11,6.03E+11,5.60E+11,3.76E+11,4.86E+11,5.62E+11,5.33E+11,6.09E+11,6.81E+11,7.65E+11,8.98E+11,1.01E+12,1.12E+12,1.00E+12,9.02E+11,1.09E+12,1.20E+12,1.22E+12,1.31E+12,1.41E+12,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Korea, Rep.",KOR,9.297330585,9.712888661,5.765237321,6.329394213,8.771892964,8.930624243,7.185916566,5.766740748,-5.713897734,10.73058969,8.831278205,4.525319497,7.432433614,2.933207053,4.899851507,3.92368744,5.176133982,5.463406088,2.829214457,0.707518483,6.496785169,3.681704667,2.292382426,2.896,3.310147565,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Rep.",KOR,6642.451218,7675.693138,8140.218706,8869.020761,10275.27753,12403.91322,13254.6374,12196.76978,8133.731245,10432.2108,11947.57725,11255.94789,12788.58018,14219.19359,15921.9392,18657.52186,20917.02989,23101.51118,20474.88747,18338.70637,22151.20912,24155.8293,24453.97135,25997.88066,27970.49426,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Korea, Rep.",KOR,8.225895434,8.632322338,4.671856681,5.254744932,7.682964037,7.840059209,6.169520903,4.779586987,-6.39206545,9.946313241,7.925046032,3.754466333,6.835024269,2.423196425,4.50657272,3.710689342,4.667627723,4.973593873,2.091752872,0.229720219,6.004657708,2.91298928,1.832105541,2.455015407,2.891600135,..
Internet users (per 100 people),IT.NET.USER.P2,"Korea, Rep.",KOR,0.023265092,0.046124435,0.098404337,0.249946523,0.311359364,0.81968667,1.624237192,3.600801564,6.781815468,23.55219445,44.7,56.6,59.4,65.5,72.7,73.5,78.1,78.8,81,81.6,83.7,83.75912015,84.07,84.77,84.33,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,"Korea, Rep.",KOR,39.65430804,39.46360434,39.25639415,39.32763557,39.47821913,39.79377077,40.01096142,40.53921982,39.46902917,39.9388693,40.50678384,40.67608274,40.75875131,40.42833014,40.87309297,41.12118091,41.38080331,41.40670645,41.51482492,41.24700637,41.42871173,41.45355755,41.57468306,41.59592333,..,..
"Labor force, total",SL.TLF.TOTL.IN,"Korea, Rep.",KOR,19160700,19667124,20078836,20346466,20934037,21431686,21838418,22319840,21994278,22247087,22664811,23006977,23433976,23435054,23909321,24115234,24288702,24499326,24606210,24608118,24955811,25365683,25767090,26119538,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Korea, Rep.",KOR,444.4254924,448.8461953,453.5347502,458.1653328,462.7984657,467.4786544,471.9539809,476.4003732,479.8517831,483.2746942,487.3326871,489.5323754,492.0154871,494.4143698,496.1724334,497.0374497,499.2975434,501.4202641,504.469731,506.5091452,508.180253,511.9761391,513.656302,515.2532062,517.3491782,..
