Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.5558005,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,1849196082,2535333632,2702427047,3355083117,3639935348,3736506989,4078158324,4833561456,5687488209,5653792720,5829933775,6695996664,6500321213,7073021774,7273849012,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,..,26.97391784,-0.700948289,5.980145596,2.612126758,6.033229748,4.503031756,7.286082986,2.644818653,3.341665533,3.309574839,4.385584021,2.754668146,3.431989924,2.500543596,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,1087.762401,1490.361033,1587.505829,1969.562713,2135.332847,2190.497596,2371.662079,2788.479464,3254.860674,3209.694109,3283.211938,3738.781369,3600.887,3890.300665,3989.717248,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,..,26.88778342,-0.768380016,5.908225728,2.542539707,5.961247148,3.667025005,6.427746788,1.823663863,2.514978674,2.48306566,3.495167016,1.943935408,2.69714667,2.217635981,..
Internet users (per 100 people),IT.NET.USER.P2,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Kosovo,KSV,171.0296684,174.3363645,177.4593552,180.4904932,183.4297786,186.369064,189.1246441,191.6046661,180.5823459,161.8444016,156.1495361,156.2555341,156.3617158,156.4678975,156.5740792,156.6804446,157.9439699,159.2177827,160.5017911,161.7960871,163.1009461,164.5041793,165.8124369,166.9988978,167.4611004,..
Population growth (annual %),SP.POP.GROW,Kosovo,KSV,1.897590146,1.914952133,1.77550356,1.693650953,1.615380911,1.589700641,1.46773672,1.302792853,-5.924733485,-10.95514942,-3.582127645,0.067859323,0.067930793,0.067884679,0.067838626,0.067909885,0.803200286,0.803261833,0.803213478,0.803171845,0.803248961,0.85666657,0.792127511,0.712996115,0.276387564,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.53603604,..,..,..,..,..
"Population, total",SP.POP.TOTL,Kosovo,KSV,1862000,1898000,1932000,1965000,1997000,2029000,2059000,2086000,1966000,1762000,1700000,1701154,1702310,1703466,1704622,1705780,1719536,1733404,1747383,1761474,1775680,1790957,1805200,1818117,1823149,..
Rural population,SP.RUR.TOTL,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Surface area (sq. km),AG.SRF.TOTL.K2,Kosovo,KSV,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,10887,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
