Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Kuwait,KWT,0.224466891,0.224466891,0.224466891,0.280583614,0.280583614,0.280583614,0.336700337,0.336700337,0.336700337,0.392817059,0.561167228,0.729517396,0.673400673,0.673400673,0.617283951,0.617283951,0.617283951,0.634118967,0.634118967,0.589225589,0.561167228,0.589225589,0.561167228,0.594837262,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Kuwait,KWT,0.890773369,1.256892484,..,..,..,2.828683902,2.660503168,2.493312273,2.371254323,2.25150285,2.149080553,2.091390714,2.177807647,2.103159498,1.929980314,2.032010347,1.911755049,1.791871758,1.677071803,1.531224444,1.429809633,1.344358661,1.262517639,1.190305018,..,..
GDP (current US$),NY.GDP.MKTP.CD,Kuwait,KWT,18427778418,11009955360,19858555892,23941392183,24848484675,27191688097,31492936826,30350432859,25946185726,30120888929,37718011410,34890773880,38138801479,47875837320,59440511982,80797945205,1.02E+11,1.15E+11,1.47E+11,1.06E+11,1.15E+11,1.54E+11,1.74E+11,1.76E+11,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kuwait,KWT,..,..,..,33.99046707,8.436165768,4.858291224,0.605126978,2.473325247,3.662055103,-1.789009463,4.694581988,0.729026414,3.000000009,17.32000038,10.7621943,10.07595099,7.52024923,5.991661246,2.479843833,-7.076102616,-2.367061944,9.628436082,6.626388081,1.479035149,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Kuwait,KWT,8950.598406,5485.47681,..,..,..,16610.36846,19227.56057,17998.71008,14690.00979,16253.86851,19548.3793,17532.85837,18675.21367,22841.60172,27438.16863,35694.38171,42502.22152,45157.12334,54478.55067,36756.80798,37724.27379,47553.66926,50896.49814,48926.52543,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Kuwait,KWT,..,..,..,..,..,..,0.551381839,-0.464891297,-1.032662822,-6.394690019,0.553506403,-2.335936691,0.367623399,14.30985914,7.165244263,5.346330885,1.855396505,-0.233293758,-3.834927407,-12.75081958,-8.054681527,3.546310078,1.001312842,-3.437448123,..,..
Internet users (per 100 people),IT.NET.USER.P2,Kuwait,KWT,0,..,..,0.091082245,0.147162703,0.202898433,0.855662317,2.174535859,3.052397455,4.756222209,6.731395768,8.551792434,10.24896793,22.40293838,22.92711204,25.92610837,28.79119795,34.8,42,50.8,61.4,65.76907069,70.45,75.46,78.7,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Kuwait,KWT,26.82933037,26.63342605,..,..,..,23.28399724,23.33657795,23.72626133,24.32428013,24.86701715,25.27159932,25.46558948,25.5856923,25.64788732,25.4096613,25.26751858,25.43989068,25.62633709,25.86482218,26.4441784,26.68081714,26.94374335,27.08050058,27.09239558,..,..
"Labor force, total",SL.TLF.TOTL.IN,Kuwait,KWT,785834,795613,..,..,..,763606,781807,814178,856087,901620,944590,980209,1014782,1050800,1088094,1131884,1203083,1283574,1371438,1475943,1580630,1681099,1790074,1898673,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Kuwait,KWT,115.5349046,112.6324355,..,..,..,91.86481481,91.91391695,94.62716049,99.11599327,103.9928171,108.2755331,111.6735129,114.602413,117.6202581,121.5681257,127.0260382,134.0907969,142.4574074,151.812009,161.6859147,171.6875982,181.7722222,191.895679,201.6660494,210.6128507,..
Population growth (annual %),SP.POP.GROW,Kuwait,KWT,0.213406673,-2.544295523,..,..,..,..,0.053436144,2.909209,4.634626978,4.803101658,4.035738072,3.090034015,2.588930918,2.599242363,3.301352731,4.391727931,5.412506866,6.052590066,6.359991272,6.301268283,6.002088065,5.707784116,5.419750888,4.966122256,4.3408509,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Kuwait,KWT,46.66611943,46.26946206,45.36717902,44.06442383,42.66504166,41.5395921,40.93262983,40.80163392,40.97479005,41.18777089,41.28610447,41.24145361,41.12828473,41.03467903,41.08045629,41.32706074,41.76688995,42.3164661,42.87240924,43.33063889,43.64147028,43.80888255,43.87204163,43.86890463,43.8435638,..
"Population, total",SP.POP.TOTL,Kuwait,KWT,2058832,2007110,..,..,..,1637031,1637906,1686256,1766247,1853152,1929470,1990022,2042215,2095993,2166344,2263604,2389498,2538591,2705290,2881243,3059473,3239181,3419581,3593689,3753121,..
Rural population,SP.RUR.TOTL,Kuwait,KWT,41712,40383,..,..,..,32037,31825,32528,33824,35228,36409,37253,37944,38629,39601,41039,42963,45263,47830,50479,53143,55746,58338,60733,62827,..
Surface area (sq. km),AG.SRF.TOTL.K2,Kuwait,KWT,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Kuwait,KWT,..,1.200000048,1,0.800000012,0.699999988,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024,0.699999988,0.699999988,0.899999976,1.100000024,1.399999976,2.099999905,1.100000024,1.200000048,1.399999976,1.299999952,1.399999976,2.900000095,2.700000048,2.400000095,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Kuwait,KWT,..,1.200000048,1,0.800000012,0.699999988,0.699999988,0.699999988,0.699999988,0.699999988,0.699999988,0.800000012,0.800000012,1.100000024,1.299999952,1.700000048,2,1.299999952,1.5,1.799999952,1.600000024,1.799999952,3.599999905,3.400000095,3.099999905,..,..
