Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Kyrgyz Republic,KGZ,..,..,6.882168926,7.049009385,6.803962461,6.558915537,7.075078206,7.080291971,7.090719499,7.132429614,7.069864442,7.00729927,7.012513034,7.00729927,6.955161627,6.69447341,6.692909281,6.673618352,6.67101147,6.652763295,6.653806048,6.652241919,6.655891554,6.652763295,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Kyrgyz Republic,KGZ,..,..,0.648013595,0.647658257,0.70212165,0.374163077,0.628875115,0.729501021,0.715203823,0.601895477,0.677305524,0.667287562,0.74582059,0.732150044,0.76843035,0.781887659,0.884447,0.868878749,0.856402506,0.818248875,0.805262628,0.793017096,0.778059634,0.762135324,..,..
GDP (current US$),NY.GDP.MKTP.CD,Kyrgyz Republic,KGZ,2674000000,2570833333,2316562400,2028295455,1681006993,1661018519,1827570586,1767864036,1645963750,1249062025,1369691955,1525113501,1605640633,1919012781,2211535312,2460246796,2834168889,3802566171,5139957785,4690062255,4794357795,6197766119,6605139933,7335027592,7404412710,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kyrgyz Republic,KGZ,5.702796669,-7.851065819,-13.88870881,-15.45932456,-20.08515883,-5.423821885,7.084502419,9.915168402,2.121835252,3.655789406,5.426673766,5.321584347,-0.017353042,7.030296039,7.026859686,-0.175548166,3.102898691,8.542874896,8.401615957,2.8862947,-0.471566848,5.956274377,-0.088150193,10.91546938,3.603036144,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Kyrgyz Republic,KGZ,608.9451631,575.9551334,513.0359215,449.0657902,372.30781,364.2264974,394.8601215,376.4296133,345.1381316,258.04934,279.620275,308.4090314,321.726538,380.5073624,433.2351189,476.5518917,543.1107024,721.7686908,966.3936272,871.2243893,880.0377751,1123.883168,1177.974735,1282.437162,1269.139335,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Kyrgyz Republic,KGZ,3.688011626,-9.345729954,-14.87656478,-15.48365712,-20.05683969,-6.363279141,5.511227385,8.323687385,0.567202155,2.126778712,4.178358586,4.326959772,-0.930893968,5.91400441,5.739526604,-1.295107257,2.000426334,7.512743595,7.376440391,1.651651519,-1.651753118,4.674715696,-1.738142576,8.735789199,1.567982848,..
Internet users (per 100 people),IT.NET.USER.P2,Kyrgyz Republic,KGZ,0,..,..,..,..,..,..,..,0.072808334,0.20471135,1.041401145,3.002941327,2.99926518,3.908766268,5.090385307,10.53380134,12.306907,14.03,15.7,16,16.3,17.5,19.8,23,28.3,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Kyrgyz Republic,KGZ,46.08034566,45.93195077,45.84993193,45.69973808,45.54684745,45.48208774,45.28058049,45.16777496,45.04968148,44.84831741,44.63656269,44.45750951,44.1920746,43.60575148,43.17606728,42.79883638,42.55491468,42.54729597,42.6848137,42.67027498,42.73031399,42.67438796,42.61920808,42.55999014,..,..
"Labor force, total",SL.TLF.TOTL.IN,Kyrgyz Republic,KGZ,1809407,1834995,1851813,1852829,1851531,1870842,1908169,1946536,1985448,2026930,2067014,2098046,2131880,2171686,2212302,2302121,2374365,2416908,2452118,2493129,2533335,2572454,2621907,2676690,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Kyrgyz Republic,KGZ,22.89468196,23.2721585,23.54223149,23.54900938,23.54066736,23.77685089,24.13138686,24.48592284,24.86444213,25.2367049,25.53910323,25.78258603,26.02033368,26.29457769,26.61470282,26.91657977,27.20750782,27.46819604,27.73044838,28.06725756,28.40406674,28.75182482,29.2346194,29.82064651,30.4181439,..
Population growth (annual %),SP.POP.GROW,Kyrgyz Republic,KGZ,1.924484883,1.635307708,1.153816119,0.028786218,-0.035430369,0.998300396,1.480089704,1.458502175,1.534038154,1.486072263,1.191125924,0.948856614,0.917899317,1.048444924,1.210105425,1.127864459,1.075051294,0.953586964,0.950220145,1.207265644,1.192864429,1.216890729,1.665236559,1.984738667,1.983827978,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Kyrgyz Republic,KGZ,51.09336621,51.02749348,50.96159559,50.89832315,50.84140292,50.79365045,50.75765091,50.73250793,50.71350762,50.69406158,50.66994965,50.63791868,50.60019861,50.56452684,50.54190879,50.53930528,50.56071214,50.60072439,50.64589237,50.67851109,50.68727312,50.66835895,50.62805516,50.57757996,50.53211051,..
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,4391200,4463600,4515400,4516700,4515100,4560400,4628400,4696400,4769000,4840400,4898400,4945100,4990700,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5834200,..
Rural population,SP.RUR.TOTL,Kyrgyz Republic,KGZ,2732336,2790196,2835536,2849225,2861083,2902740,2959121,3015793,3075814,3131739,3169363,3199678,3229232,3263368,3303149,3340718,3376879,3409340,3441997,3483856,3524628,3565630,3622083,3690114,3758100,..
Surface area (sq. km),AG.SRF.TOTL.K2,Kyrgyz Republic,KGZ,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199949,199949,199949,199949,199949,199949,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Kyrgyz Republic,KGZ,..,9.399999619,9.300000191,9.399999619,9.300000191,9.5,9.699999809,9.300000191,11,9.199999809,8.399999619,8.699999809,14.19999981,11.10000038,9.199999809,9,9,9.100000381,9.199999809,9.699999809,9.899999619,9.600000381,9.300000191,9.199999809,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Kyrgyz Republic,KGZ,..,8.399999619,8.300000191,8.399999619,8.199999809,8.399999619,8.699999809,8.199999809,9.699999809,8.199999809,7.5,7.800000191,12.5,9.899999619,8.5,8.100000381,8.300000191,8.199999809,8.199999809,8.399999619,8.600000381,8.5,8.399999619,8,..,..
