Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Lao PDR,LAO,3.46187175,3.46187175,3.46187175,3.46187175,3.56152513,3.587521664,3.570190641,3.70017331,3.734835355,3.79982669,3.986135182,4.202772964,4.397746967,4.592720971,4.787694974,4.982668977,5.199306759,5.372616984,5.589254766,5.89254766,6.065857886,6.187175043,6.282495667,6.451473137,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Lao PDR,LAO,2.850925618,2.675832487,1.818935313,1.773518776,2.103720921,6.255730615,6.137682098,5.664717243,5.55351702,5.439818375,5.335105365,5.222722199,5.123627862,5.025145188,4.917669071,4.807789066,4.685295255,4.56827823,4.447392518,4.329786888,4.221995189,4.115471655,4.016254163,3.91607051,..,..
GDP (current US$),NY.GDP.MKTP.CD,Lao PDR,LAO,865559856.2,1028087947,1127806918,1327748655,1543606382,1763536299,1873671511,1747011884,1280177847,1454430642,1731198022,1768619058,1758176653,2023324407,2366398120,2735558735,3452882525,4222962985,5443915128,5832915377,7181441152,8283218734,9359185244,11189514292,11771725798,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Lao PDR,LAO,6.704578688,4.296563641,5.559857768,5.912556556,8.159018531,7.031254328,6.928323725,6.872091273,3.967608091,7.306376073,5.798782326,5.751412882,5.918749073,6.066996905,6.35769548,7.107568369,8.619266209,7.596828801,7.824902763,7.501774913,8.526905517,8.038652681,8.024211032,8.518422612,7.458020211,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Lao PDR,LAO,203.764751,235.1770385,250.7925708,287.2867049,325.4709899,363.0338297,377.2769222,344.669513,247.8528561,276.707261,324.0196947,326.0306989,319.5325358,362.6677396,418.1732543,476.1624057,591.3647744,710.9803373,900.4995548,947.955524,1147.095388,1300.979602,1445.86945,1700.537964,1759.784402,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Lao PDR,LAO,3.667502569,1.345086284,2.615758622,3.05455594,5.399560282,4.495500291,4.591610873,4.71394746,2.026893041,5.445839267,4.082518106,4.156340249,4.424216609,4.609493802,4.85616132,5.502020883,6.873849672,5.770885055,5.937791862,5.619902939,6.665276095,6.233768821,6.252898006,6.754829303,5.701965993,..
Internet users (per 100 people),IT.NET.USER.P2,Lao PDR,LAO,0,..,..,..,..,..,..,..,0.009657814,0.037780708,0.111044032,0.181664461,0.267899241,0.333912466,0.36143449,0.85035749,1.169893428,1.64,3.55,6,7,9,10.74767619,12.5,14.26,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Lao PDR,LAO,49.76109243,49.86393644,49.92284273,50.04913126,50.1679938,50.27105122,50.28159417,50.27748332,50.2076654,50.21470639,50.24367505,50.33615964,50.44939892,50.62936927,50.72343105,50.78214156,50.75271629,50.75877685,50.61639481,50.47277181,50.40228321,50.2814683,50.16509884,50.05469152,..,..
"Labor force, total",SL.TLF.TOTL.IN,Lao PDR,LAO,1929198,1980692,2034157,2086248,2139067,2189992,2232113,2277254,2324653,2373241,2419821,2471891,2519699,2569080,2623194,2683146,2753295,2823821,2900576,2981671,3057796,3136943,3214438,3296672,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Lao PDR,LAO,18.40484835,18.94085355,19.48427643,20.02463172,20.54889515,21.04754766,21.5177773,21.9612565,22.3789948,22.77386049,23.14938908,23.50390381,23.84029463,24.17245667,24.51860485,24.8917331,25.2982539,25.73498267,26.19340988,26.66010832,27.12540728,27.58626083,28.04614385,28.50946707,28.98310225,..
