Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Latvia,LVA,..,..,27.140009,27.1239308,27.4937295,16.11036079,17.04289665,17.34838253,17.02681844,15.86918773,15.59585825,15.4029198,15.64409287,15.3868416,16.22290823,17.55739919,19.37423629,19.10090681,18.81149913,18.78417498,18.84640103,18.61736334,18.94499839,19.42434475,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Latvia,LVA,..,..,0.368495411,0.384137872,0.479661551,0.939509709,1.058092732,0.700212917,0.755094496,0.841708856,0.779035334,0.910551931,0.769155962,0.728822313,0.450226149,0.453344915,1.509801275,1.488374048,0.43229821,0.515429695,0.432988856,0.514622988,0.505541439,0.508548597,..,..
GDP (current US$),NY.GDP.MKTP.CD,Latvia,LVA,..,..,..,..,..,5880992308,5985861104,6928629233,7587546969,8375152962,9872049657,10437907021,11521268953,12884073854,15267165505,17091424861,21620628835,30945808825,35671103521,26155123308,23868572609,28319399054,28545148936,30908761928,31920815648,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Latvia,LVA,..,..,..,..,..,..,2.519554596,8.78222895,6.281260577,2.159317086,5.349566181,7.15330747,7.18893585,8.631090819,8.915678524,10.17153157,11.62112753,9.793477245,-3.175186242,-14.18597873,-2.873609696,4.997474341,4.834156296,4.226467236,2.361633257,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Latvia,LVA,..,..,..,..,..,2366.543172,2436.027801,2847.946394,3148.334917,3503.541529,4169.732279,4466.045269,4987.188818,5631.261915,6746.063847,7634.193539,9746.23509,14064.19907,16383.01708,12212.49563,11379.23564,13749.22334,14031.79587,15357.26927,16037.7821,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Latvia,LVA,..,..,..,..,..,..,3.680837248,9.871951132,7.288146307,2.994247689,6.369978106,8.546153297,8.441560524,9.685991626,10.11079882,11.36846893,12.64970818,10.69325159,-2.152250181,-12.75740722,-0.830929727,6.926744162,6.142574115,5.348768364,3.508292804,..
Internet users (per 100 people),IT.NET.USER.P2,Latvia,LVA,0,..,..,..,..,..,0.812717072,2.053454712,3.315267886,4.387409055,6.319062083,7.219345808,21.94,26.98,38.58,46,53.63,59.17,63.41,66.84,68.42,69.74995456,73.11994377,75.2344,75.83,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Latvia,LVA,49.66651497,49.2774108,48.97937826,48.67249634,48.32957865,48.01933893,47.6292271,48.45239979,48.22470151,47.56723873,48.03293578,48.77416946,48.68783761,48.77584845,48.23065626,48.51534074,48.52892069,48.86690959,49.11357252,49.91548568,50.34700292,50.03289739,49.94292428,49.94646353,..,..
"Labor force, total",SL.TLF.TOTL.IN,Latvia,LVA,1443693,1405778,1356869,1301616,1250882,1202755,1162469,1156791,1149525,1122716,1091093,1098235,1131110,1111382,1110553,1102913,1125976,1142186,1156609,1114604,1062383,1039596,1050359,1044148,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Latvia,LVA,42.81868609,42.61658306,42.0338607,41.21310052,40.52900508,39.95523828,39.50771754,39.11587562,38.74877806,38.43465818,38.06595279,37.57749695,37.14343366,36.78620812,36.38693807,35.9958679,35.66719725,35.37727507,35.00742813,34.44305243,33.70107648,33.1142926,32.71661306,32.36287184,32.00435761,..
