Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Lebanon,LBN,17.88856305,17.69305963,17.59530792,17.59530792,17.59530792,17.59530792,17.88856305,18.08406647,18.27956989,12.60997067,12.60997067,11.73020528,12.70772239,13.29423265,13.32355816,13.8514174,13.29423265,13.11827957,12.02346041,12.02346041,11.14369501,12.21896383,12.90322581,12.90322581,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Lebanon,LBN,4.768799336,4.588184914,4.540997228,4.364494249,5.696545045,6.943592159,7.314534762,7.816532391,7.135216011,8.228677909,7.48911341,7.930088045,7.497809455,7.072141662,6.72670049,6.414939413,5.544600107,5.427617719,5.323459716,5.378164516,5.119784179,5.089171833,5.002613866,4.915436067,..,..
GDP (current US$),NY.GDP.MKTP.CD,Lebanon,LBN,2838485398,4451497337,5545921821,7535259914,9599127189,11718795352,13690217121,15751867489,17247179483,17391056437,17260364842,17649751244,19152238806,20082918740,20955223881,21287562189,21796351575,24577114428,28829850746,35139635158,38009950249,40078938640,43205095854,44352418120,45730945274,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Lebanon,LBN,26.53316009,38.2007091,4.499936955,6.997966118,8.003148048,6.53494563,5.136503876,-2.286786101,3.592643299,-0.453074266,1.34406653,3.953516126,3.373876548,3.23739038,7.478802317,2.702340944,1.602773165,9.4040866,9.098076674,10.30091265,7.996086279,2.004586303,2.2,0.9,2,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Lebanon,LBN,1050.116702,1617.271936,1965.337082,2597.593375,3226.980273,3863.246579,4457.939768,5093.267689,5538.664428,5509.320271,5334.880244,5253.097584,5436.587507,5425.66907,5424.217944,5339.42388,5372.475056,6015.802129,7015.605178,8403.109316,8763.795964,9132.434202,9729.282193,9870.486278,10057.88836,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Lebanon,LBN,25.29714157,35.71764101,1.930088499,4.08428138,5.324170583,4.471296099,3.850342489,-2.972712588,2.884850945,-1.79967223,-1.121703665,0.101678486,-1.408208638,-1.744548967,2.97722255,-0.481462151,-0.154684108,8.643961463,8.461895185,8.392473076,4.126245362,0.808019326,1.001164989,-0.283601287,0.803487484,..
Internet users (per 100 people),IT.NET.USER.P2,Lebanon,LBN,0,..,..,..,..,0.071617991,0.140166939,1.241079739,2.722352199,5.376809498,7.952743736,6.783219775,7,8,9,10.14,15,18.74,22.53,30.14,43.68,52,61.24978572,70.5,74.7,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Lebanon,LBN,20.15360833,20.35917841,20.6922198,21.13748157,21.39713464,21.66820907,21.9020395,21.99790993,22.17543411,22.1252773,22.14949287,21.81503631,21.59802369,21.46108286,21.3300507,21.42212414,21.6430547,21.97406741,22.16961803,22.50268908,22.87494976,23.30344505,23.69506817,24.13239481,..,..
"Labor force, total",SL.TLF.TOTL.IN,Lebanon,LBN,754907,784624,814799,847750,877725,904431,921453,941594,954421,983147,1022818,1069345,1130997,1203313,1263621,1325032,1370703,1400246,1427643,1470762,1544987,1571965,1599164,1627526,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Lebanon,LBN,264.2247312,269.0589443,275.8424242,283.5642229,290.7768328,296.5206256,300.1929619,302.3151515,304.3949169,308.5690127,316.2639296,328.4335288,344.3638319,361.8244379,377.641349,389.7228739,396.5826979,399.3573803,401.6998045,408.772434,423.9644184,428.9967742,434.0887586,439.2412512,444.4549365,..
