Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Lesotho,LSO,10.44137022,10.50724638,10.93544137,10.86956522,10.70487484,10.54018445,10.60606061,10.70487484,10.70487484,10.70487484,10.86956522,10.86956522,9.881422925,9.881422925,10.21080369,10.63899868,9.980237154,10.70487484,11.79183136,11.0342556,10.60606061,10.14492754,9.265480896,8.171936759,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Lesotho,LSO,0.299357728,0.291379112,0.284258476,0.277034018,0.270299857,0.263814306,0.259429282,0.255513992,0.251968821,0.248314257,0.248739203,0.249218699,0.249895669,0.250527674,0.251247759,0.251719559,0.251935177,0.251667296,0.251489446,0.247715138,0.243364366,0.238893541,0.233985725,0.229504923,..,..
GDP (current US$),NY.GDP.MKTP.CD,Lesotho,LSO,544583156.2,608771230.9,720546984.6,721608470.8,755041117.5,859088528,815946782,859809027.8,819420074.9,801538587.4,771261707.8,706400239.3,656752929.1,969167237.3,1234215385,1368346474,1428852972,1597476793,1630672203,1711470585,2187417432,2523356489,2384023630,2147680335,2088021624,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Lesotho,LSO,5.644185268,3.904703464,7.255418076,3.330596412,5.345593245,1.997569724,5.213676363,4.085488249,1.743989365,0.402031682,5.140339514,4.22920334,0.532376117,4.691154436,2.291777907,2.704500225,4.307444107,4.733465098,5.733473897,3.38428191,7.867081634,4.045592214,4.994849617,4.603911234,1.983419325,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Lesotho,LSO,340.8898691,373.9610731,433.9703345,426.1151116,437.6750561,489.8373657,458.6029246,477.2222978,449.8274486,435.7061756,415.5001187,377.4535887,348.3198669,510.4162979,645.4959592,710.5178168,736.3911944,816.8495857,826.8315402,859.8570173,1087.950195,1241.228997,1158.794394,1031.021336,989.9604561,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Lesotho,LSO,3.81914228,1.966519162,5.158577107,1.310978924,3.41231324,0.328107887,3.71299855,2.785990291,0.630443975,-0.580304541,4.200421781,3.379102399,-0.214036871,3.958396081,1.582171036,1.968445013,3.527911474,3.91349774,4.846836887,2.437966632,6.784808785,2.901011372,3.750577583,3.311842189,0.719697327,..
Internet users (per 100 people),IT.NET.USER.P2,Lesotho,LSO,0,..,..,..,..,..,0.00284594,0.005584433,0.010956533,0.05380446,0.21180607,0.261150063,1.083943137,1.53249659,2.175524339,2.580245484,2.979708187,3.44543126,3.58,3.72,3.86,4.2248,4.58961763,5,11,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Lesotho,LSO,47.82164865,47.64208738,47.39839536,47.32987687,47.22665589,47.38144515,47.60579202,48.02845404,48.33354121,48.83658563,48.79740814,48.53098038,48.2775941,47.98707277,47.68481471,47.31987892,47.09802168,46.74342519,46.39049772,46.34985552,46.23618755,46.03968261,45.85511838,45.82180549,..,..
"Labor force, total",SL.TLF.TOTL.IN,Lesotho,LSO,668097,686391,703585,721933,739919,758109,770923,782736,793749,805431,804055,802508,800334,798315,796027,794535,793855,794700,795262,807379,821813,837193,854753,871441,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Lesotho,LSO,52.61969697,53.6198946,54.68906456,55.77928195,56.82206851,57.76758893,58.6034585,59.34436759,60.00105402,60.59390646,61.1404809,61.64324769,62.10434783,62.54209486,62.97898551,63.43359684,63.91123188,64.41554677,64.96027668,65.56037549,66.22483531,66.96146245,67.76452569,68.6120224,69.47289196,..
Population growth (annual %),SP.POP.GROW,Lesotho,LSO,1.74263361,1.882965033,1.974360569,1.973873644,1.852227117,1.65030929,1.436584028,1.256350135,1.100491411,0.983220544,0.897984743,0.818951524,0.745230263,0.702384803,0.696125955,0.71925323,0.750147911,0.785989471,0.84209416,0.919552627,1.008406698,1.106171828,1.192157153,1.242893486,1.24688598,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Lesotho,LSO,51.41092459,51.24338104,51.11018092,51.02048529,50.98312115,51.00038544,51.07804009,51.20589223,51.35170001,51.47336613,51.5420275,51.54740423,51.49955873,51.41527867,51.32015929,51.23265436,51.15657267,51.08613171,51.01911881,50.95078258,50.87815194,50.80188888,50.72479829,50.64825274,50.5739388,..
"Population, total",SP.POP.TOTL,Lesotho,LSO,1597534,1627900,1660360,1693459,1725118,1753824,1779201,1801695,1821632,1839631,1856225,1871489,1885488,1898778,1912042,1925844,1940345,1955656,1972194,1990413,2010586,2032950,2057331,2083061,2109197,..
Rural population,SP.RUR.TOTL,Lesotho,LSO,1374406,1391415,1409546,1427535,1443596,1456463,1466578,1476507,1483938,1489402,1493370,1495937,1497134,1497433,1497339,1497363,1497558,1500125,1503325,1507559,1512906,1519569,1527363,1535820,1544164,..
Surface area (sq. km),AG.SRF.TOTL.K2,Lesotho,LSO,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,..
