Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Liberia,LBR,3.63372093,3.63372093,3.63372093,3.63372093,3.63372093,3.63372093,3.63372093,3.841362126,3.945182724,4.15282392,4.15282392,4.15282392,4.15282392,4.15282392,4.15282392,4.15282392,4.15282392,4.15282392,4.464285714,4.879568106,4.983388704,5.1910299,5.1910299,5.1910299,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Liberia,LBR,1.148366019,0.728581525,0.295322389,..,..,2.99660955,2.961985607,2.745127399,1.612548391,0.56830062,1.515238756,1.463897363,1.428142986,1.400494842,..,1.333476756,0.17166601,0.164833036,0.157925241,0.154521457,0.148657383,0.144438722,0.140022636,0.135912623,..,..
GDP (current US$),NY.GDP.MKTP.CD,Liberia,LBR,384400000,348000000,223500000,160400000,132200000,134800000,159400000,295900000,359600000,441800019.1,529064645.6,515000354,536000578.1,409000229,467000284.1,542000317,604028929.6,739027160.8,850040458.8,1155147357,1292697080,1545400000,1735500000,1946500000,2027000000,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Liberia,LBR,-51.03086304,-14.22521176,-35.08568109,-32.9753915,-21.7623498,-4.266211604,12.12121212,106.2798092,30.20811593,21.741468,28.6159381,2.918707483,3.762770617,-30.14522856,2.620610331,5.281986292,8.043142916,9.534910654,7.146926406,5.300102818,6.099946049,8.2,7.994451911,8.703870094,0.5,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Liberia,LBR,182.7971869,168.436541,110.1705944,79.94621075,65.47315997,64.81015385,72.52703953,125.100939,140.5739059,161.1376724,182.9427731,171.7371969,174.5547566,130.9126653,146.6413297,165.7601803,178.4531481,209.8115997,231.4432108,302.2760595,326.604433,378.8140624,414.1851554,453.339457,461.0428986,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Liberia,LBR,-50.23583066,-12.69671289,-33.88932379,-32.22966364,-22.25828357,-7.063447423,6.107542783,91.67289042,20.39473064,13.58601449,21.93544029,-0.746769961,1.33305749,-31.34253565,0.673629179,2.540515089,4.371761586,5.258015835,2.757959311,1.202283039,2.441070247,4.975303304,5.144405914,6.082612539,-1.851303089,..
Internet users (per 100 people),IT.NET.USER.P2,Liberia,LBR,0,..,..,..,..,..,..,0.004489443,0.004099387,0.011328732,0.017702706,0.033812227,0.032713307,0.031868935,0.031011185,..,..,0.551376581,0.53,2,2.3,2.5,2.6,3.2,5.41,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Liberia,LBR,47.19066608,47.37732509,47.6461329,48.07261528,48.24059876,48.48114705,48.52486385,48.64228494,48.84132639,48.87535452,48.91524057,48.88685245,48.86200806,48.75290603,48.72547237,48.53108645,48.34226426,47.98710017,47.79804836,47.77409569,47.66720859,47.64519086,47.54021211,47.43423486,..,..
"Labor force, total",SL.TLF.TOTL.IN,Liberia,LBR,696642,686265,677226,672751,680203,700792,742745,801420,868191,932605,989943,1024662,1050315,1071050,1094327,1124879,1165053,1213349,1266422,1320205,1372283,1419287,1464049,1508322,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Liberia,LBR,21.83219477,21.44995847,21.06179402,20.8300353,20.96291528,21.5938642,22.81770141,24.55658223,26.55819145,28.46506437,30.02458472,31.13340947,31.87991071,32.43585963,33.06315407,33.94711379,35.14123754,36.56911337,38.13104236,39.67502076,41.09208887,42.35438123,43.50243978,44.57736711,45.64528654,..
