Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Libya,LBY,1.025836298,1.02867795,1.031519602,1.031519602,1.037202905,1.062777771,1.152573968,1.152573968,1.031519602,1.031519602,1.031519602,1.031519602,1.031519602,1.031519602,0.994578128,0.994578128,0.994578128,0.994578128,0.994578128,0.994578128,0.975254896,0.975254896,0.977528218,0.977528218,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Libya,LBY,6.96153348,6.72278367,6.367179512,6.11166955,5.516940801,5.324007172,4.150055883,3.980342577,3.82511906,3.684227401,4.143062942,3.997761254,3.856892645,3.73698832,3.602559903,3.502840066,3.419378699,3.336583575,3.270762781,3.224454261,..,..,0.296874337,0.299011255,..,..
GDP (current US$),NY.GDP.MKTP.CD,Libya,LBY,28904898118,31992732972,33887047909,30660051911,28610549763,25541379187,27884615385,30700897875,27251534530,35975860857,38270954138,34112319439,20481889764,26265625000,33122307692,47334697754,54961936663,67516236338,87140405361,63028320702,74773444901,34699395524,81905365776,65509594212,41119144923,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Libya,LBY,..,..,..,..,..,..,..,..,..,..,3.679213293,-1.762878168,-0.958849381,13.01600108,4.461629982,11.87072893,6.500547227,6.352316994,2.66735579,-0.790141832,5.021289739,-62.07591958,104.4867889,-13.55238921,-24.03095917,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Libya,LBY,6571.656342,7110.744547,7371.860168,6534.629837,5978.606521,5235.818276,5610.145235,6064.782203,5287.695465,6858.53602,7170.519228,6284.159053,3711.602774,4682.625724,5807.646288,8158.984214,9304.308502,11219.43296,14231.60089,10151.64587,11933.77926,5517.779569,13035.1922,10454.79255,6569.619753,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Libya,LBY,..,..,..,..,..,..,..,..,..,..,1.894977823,-3.410429776,-2.574818223,11.1860181,2.738840908,9.97485085,4.596566679,4.396890785,0.902952442,-2.158889783,4.065610127,-62.21435104,104.6576121,-13.31211236,-23.94595956,..
Internet users (per 100 people),IT.NET.USER.P2,Libya,LBY,0,..,..,..,..,..,..,..,..,0.133617289,0.187042622,0.366533175,2.244418222,2.814517987,3.532838162,3.917787977,4.301051789,4.721999379,9,10.8,14,14,..,16.5,17.76,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Libya,LBY,17.19709235,17.84555108,18.473435,19.22644958,19.93077619,20.77335007,21.60031224,22.5534718,23.39699772,24.27855234,24.9732461,25.58933011,25.93233447,26.37478427,26.6323033,26.88406706,27.09277224,27.15360006,27.26593927,27.34812396,27.31372216,27.53964997,27.89159846,28.10710071,..,..
"Labor force, total",SL.TLF.TOTL.IN,Libya,LBY,1235360,1279232,1334971,1390782,1450079,1512019,1578292,1645587,1712365,1777849,1846460,1913571,1983462,2047103,2109611,2169668,2222626,2277779,2323617,2356988,2376128,2376105,2357900,2341049,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Libya,LBY,2.49975505,2.557037635,2.612507246,2.666568535,2.719738113,2.772430294,2.824824102,2.87697921,2.929040545,2.981128022,3.033329166,3.085069393,3.136240722,3.187859327,3.241315344,3.297193016,3.357212112,3.420095025,3.479899292,3.528581334,3.560985826,3.574031849,3.571048683,3.561150642,3.557170624,..
