Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Liechtenstein,LIE,25,25,25,25,25,25,25,25,25,25,25,24.375,24.375,24.375,24.375,24.375,23.75,23.75,23.75,21.875,20.625,18.75,18.75,16.25,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Liechtenstein,LIE,1421508879,1484160644,1631176647,1673085618,1948128911,2428524712,2504012993,2298390595,2479698576,2664105901,2483890594,2491800559,2688617885,3070803439,3454374270,3659320087,4000101033,4601430549,5081479840,4504376590,5082338965,5739705822,5487773452,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Liechtenstein,LIE,2.252870971,1.801168977,3.608293936,4.332100221,6.866145963,5.875552199,6.905300734,7.225135037,7.761262133,10.41092416,3.220190998,-0.733091477,-0.993919345,-1.937566245,3.039173512,4.828074952,8.644969847,3.325962956,1.798087686,-1.157481822,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Liechtenstein,LIE,49452.3875,50982.81212,55288.50106,55916.7681,64157.05288,78763.81512,79931.46466,72181.10027,76635.61442,81116.39927,74631.65055,74021.93978,79088.62729,89553.90607,99926.93656,104995.9855,113830.0286,129870.1857,142254.6916,125107.6711,140101.9673,157092.9694,149160.7581,..,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Liechtenstein,LIE,1.043409286,0.521266952,2.231672873,2.874568123,5.303538724,4.268515633,5.219495564,5.490917823,6.046113943,8.777099327,1.858684363,-1.856600735,-1.960826795,-2.781206314,2.207563416,3.97686569,7.751472329,2.480247925,0.971642586,-1.934407515,..,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,Liechtenstein,LIE,0,..,..,..,..,..,..,..,..,..,36.51522989,45.11685265,59.47071067,58.80969184,64.00744814,63.37135615,64.21416136,65.08021844,70,75,80,85,89.4077,93.8,95.21,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Liechtenstein,LIE,179.65625,181.94375,184.39375,187.00625,189.78125,192.70625,195.79375,199.0125,202.23125,205.26875,208.0125,210.39375,212.46875,214.3125,216.05625,217.825,219.63125,221.44375,223.25625,225.025,226.725,228.35625,229.94375,231.5,233.0375,..
Population growth (annual %),SP.POP.GROW,Liechtenstein,LIE,1.189865307,1.265227055,1.337584347,1.406862192,1.473005434,1.529491563,1.589480053,1.630582756,1.604420777,1.490825157,1.327807788,1.138260105,0.981414363,0.86403115,0.810356023,0.815319767,0.825801558,0.82186032,0.815160799,0.789129226,0.752632219,0.716908019,0.692780427,0.674515973,0.66195113,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,28745,29111,29503,29921,30365,30833,31327,31842,32357,32843,33282,33663,33995,34290,34569,34852,35141,35431,35721,36004,36276,36537,36791,37040,37286,..
Rural population,SP.RUR.TOTL,Liechtenstein,LIE,23879,24214,24565,24939,25335,25751,26224,26749,27276,27781,28246,28626,28928,29198,29455,29715,29981,30248,30515,30777,31029,31272,31506,31732,31952,..
Surface area (sq. km),AG.SRF.TOTL.K2,Liechtenstein,LIE,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
