Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Lithuania,LTU,..,..,46.02744097,45.11805999,41.32099553,45.72431398,45.72431398,45.9157626,46.10721123,47.11231653,45.9157626,26.02105935,26.14869177,24.3299298,25.78813019,30.41640077,29.97447352,29.28525846,29.70083765,32.76745114,33.9433586,34.87411048,36.06758784,36.54567212,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Lithuania,LTU,..,..,0.533948442,0.541204613,0.549522712,0.49674243,0.56147276,0.579952346,0.877704211,0.93242344,0.981604379,1.041720292,1.67294173,1.613801371,1.742741482,1.854170157,1.56361978,1.559378198,1.553709806,1.61130004,1.626001595,1.506964953,1.507764827,1.42184577,..,..
GDP (current US$),NY.GDP.MKTP.CD,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22649483749,26126791384,30214930515,39739117789,47851049428,37439805733,37095840325,43485017710,42824489650,46403189419,48172242517,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.406327839,11.08690978,2.627955379,-14.81400187,1.61893218,6.114716102,3.838322648,3.257276204,2.949872877,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6706.834687,7863.527827,9240.297059,12298.20555,14961.72397,11837.11668,11976.90114,14360.42479,14333.24742,15689.00226,16444.83811,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.134698129,12.414434,3.688913167,-13.86287212,3.772322473,8.538546297,5.240385526,4.307552923,3.946784483,..
Internet users (per 100 people),IT.NET.USER.P2,Lithuania,LTU,0,..,..,..,..,..,0.277421291,0.978422157,1.972063745,2.9230547,6.427067495,7.179356994,17.69,25.91,31.23,36.22,43.9,49.9,55.22,59.76,62.12,63.6399774,67.22998933,68.4529,72.13,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Lithuania,LTU,48.05160172,47.94182659,47.76131437,47.66113014,47.56316901,47.46306943,47.34672928,47.30564527,47.56158237,48.88580343,49.4706728,49.21892176,48.82079056,49.67440227,48.90904383,49.044463,49.44028927,49.45775872,49.57713198,50.31341829,50.59235676,50.32804723,50.48028928,50.15144763,..,..
"Labor force, total",SL.TLF.TOTL.IN,Lithuania,LTU,1901177,1889248,1872840,1847730,1819761,1791673,1763220,1732901,1712422,1719176,1691109,1651115,1631856,1691658,1606664,1564042,1534900,1539075,1544690,1566437,1552274,1549472,1548650,1543768,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Lithuania,LTU,58.99550096,59.09594767,59.03181238,58.75260051,58.34626675,57.89888322,57.46032227,57.03792278,56.62621251,56.22587747,55.83178047,55.373612,54.93087109,54.48648692,53.87803127,53.00778558,52.1682993,51.55223357,51.02881532,50.46535301,49.4181412,48.31533012,47.67165013,47.19088951,46.73830076,..
Population growth (annual %),SP.POP.GROW,Lithuania,LTU,0.36799903,0.170116869,-0.108586325,-0.474107543,-0.694003963,-0.769728018,-0.760343408,-0.737830358,-0.724436207,-0.709489234,-0.70338544,-0.824008723,-0.802765711,-0.812278097,-1.122991275,-1.628401126,-1.596378318,-1.187947957,-1.028483175,-1.110345754,-2.09694342,-2.258463899,-1.341201988,-1.012007368,-0.963688184,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Lithuania,LTU,52.67871173,52.69466112,52.72619289,52.77045738,52.82285358,52.87960929,52.9405102,53.00603187,53.07337669,53.13909408,53.20076194,53.25530519,53.30307694,53.34932458,53.40200269,53.46660812,53.54673942,53.63948946,53.73575766,53.82201564,53.88814971,53.92899678,53.94742774,53.95086055,53.95166206,..
"Population, total",SP.POP.TOTL,Lithuania,LTU,3697838,3704134,3700114,3682613,3657144,3629102,3601613,3575137,3549331,3524238,3499536,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2957689,2929323,..
Rural population,SP.RUR.TOTL,Lithuania,LTU,1198728,1202992,1203869,1200385,1194240,1187261,1180429,1173860,1167517,1161377,1155337,1148181,1142134,1136002,1126390,1108561,1088684,1073533,1060278,1048760,1029629,1009210,997797,989229,980679,..
Surface area (sq. km),AG.SRF.TOTL.K2,Lithuania,LTU,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,65300,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Lithuania,LTU,..,13.69999981,9.800000191,13.10000038,15.60000038,15.30000019,13.89999962,13.89999962,11.80000019,12.10000038,13.60000038,14,12.80000019,13.19999981,11.5,8.300000191,5.400000095,4.400000095,5.599999905,10.39999962,14.39999962,12.89999962,11.5,10.5,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Lithuania,LTU,..,15.69999981,9.800000191,12.69999981,17.39999962,17.10000038,15.60000038,14.10000038,13.69999981,13.39999962,15.89999962,16.79999924,13,12.89999962,11.30000019,8.300000191,5.599999905,4.300000191,5.800000191,13.69999981,17.79999924,15.30000019,13.19999981,11.80000019,..,..
