Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,23.93822394,23.93822394,23.93822394,23.93822394,23.93822394,23.16602317,23.16602317,23.55212355,23.93822394,23.84942085,23.91891892,23.98455598,24.15444015,24.11196911,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Luxembourg,LUX,0.625007813,0.603605942,0.588027755,0.587437071,0.582370481,0.835068088,0.815931648,0.780927006,0.769095916,0.769708665,0.741336948,0.79367179,0.770459553,0.770574335,0.75213029,0.728899516,0.707765763,0.698880497,0.72875885,0.643853583,0.635352848,0.620931562,0.59496838,0.580641936,..,..
GDP (current US$),NY.GDP.MKTP.CD,Luxembourg,LUX,13315910188,14415711754,16171016311,16594916045,18445864480,21729611385,21630488599,19460306721,20340186708,22267739186,21303021927,20998210291,23285902503,29095033860,34207847033,37024499440,41781206875,49210511908,54961915922,50144345652,52146754967,58952460384,56292381076,60130847624,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Luxembourg,LUX,5.320359584,8.644169661,1.819615597,4.200719,3.820596164,1.432357058,1.514840273,5.937809693,6.491490143,8.420219934,8.44203498,2.000093883,3.27592224,1.190153476,4.926274688,4.124201705,4.881194704,6.463173267,0.487325037,-5.33368059,5.144673181,2.609030403,-0.162966697,1.990206037,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Luxembourg,LUX,34872.09687,37249.90117,41234.18451,41750.8423,45779.89571,53177.39097,52219.17702,46394.81874,47893.06972,51728.29824,48826.54579,47558.37221,52190.06556,64422.27899,74674.13317,79595.53408,88400.20327,102523.3949,112477.0611,100735.3519,102863.0957,113731.6515,106022.7991,110664.8403,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Luxembourg,LUX,4.010233335,7.198388075,0.476040635,2.811288695,2.416309388,0.0174548,0.142438545,4.618164788,5.175077797,6.965717884,6.994235636,0.793026354,2.199588877,-0.03206889,3.445471873,2.543170665,3.221556429,4.831601343,-1.292924166,-7.07055689,3.242767771,0.353538826,-2.532033952,-0.33993681,..,..
Internet users (per 100 people),IT.NET.USER.P2,Luxembourg,LUX,0,..,0.153198791,0.302155121,0.496486119,1.590941911,5.551653306,7.142704085,11.74555372,17.3879578,22.88732797,36.16342251,39.84,54.55,65.88,70,72.51,78.92,82.23,87.31,90.62,90.02985856,91.94992374,93.7765,94.67,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Luxembourg,LUX,34.7679346,35.61214697,37.19687169,36.45634461,37.20590291,36.06718719,36.73382561,37.67054068,37.79540918,39.15947814,39.72348132,39.86772137,40.25959351,40.87896846,41.98250004,42.36535606,43.1531152,43.50900872,43.44388286,43.28723024,43.4082142,43.87559986,44.28613645,44.2395321,..,..
"Labor force, total",SL.TLF.TOTL.IN,Luxembourg,LUX,159998,165671,170060,170231,171712,167651,171583,174152,176831,181887,188848,188995,194689,194660,201029,207436,213630,216346,221198,234836,237978,243183,253795,260057,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,168.4555985,170.472973,172.2683398,174.3745174,176.8706564,179.5976834,182.4853282,185.3254826,188.6679537,192.1942085,195.734749,200.1339768,204.9984556,209.7915058,214.7003861,..
