Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,"Macao SAR, China",MAC,2990180515,3464946372,4581185869,5280218135,5868546013,6560672254,6628525683,6674552882,6186475685,5916957025,6101794939,6514271488,7008026418,7926373569,10258324483,11792570021,14568709568,18054684847,20731022849,21313263942,28359706111,36634742814,42991910938,51313818756,55501532528,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Macao SAR, China",MAC,8.00000002,3.699999941,13.29999999,5.200000046,4.299999949,3.299999989,-0.399999967,-0.30000004,-4.59999991,-2.400000008,5.699999959,2.900000001,8.903344706,12.5858589,26.88199281,8.558640553,14.42230849,14.32868064,3.39096755,1.712459559,27.49896423,21.29126163,9.165844611,10.65739543,-0.35295269,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Macao SAR, China",MAC,8312.17567,9377.798152,12125.98728,13713.39191,14979.07263,16465.11248,16357.4003,16199.1522,14771.55676,13907.59159,14127.56667,14869.77842,15777.51806,17584.69935,22369.80866,25189.77937,30368.68719,36620.44462,40867.50523,40876.60061,53045.87901,67012.89381,77079.1733,90332.3242,96037.70203,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Macao SAR, China",MAC,4.617109836,0.963829229,10.80637375,3.22135777,2.505152803,1.569255296,-2.064460979,-1.945410215,-6.144176507,-3.922791982,4.119297864,1.448180047,7.410201486,10.94335632,24.71693162,6.339462064,11.66054368,11.2458862,0.4861704,-1.044128441,24.34598662,18.61642059,6.997061949,8.652317456,-2.052722193,..
Internet users (per 100 people),IT.NET.USER.P2,"Macao SAR, China",MAC,0,..,..,..,0.036993376,0.280014086,0.727273598,2.364127672,7.003324245,9.212005085,13.60858974,22.52121677,25.17188016,25.74212398,31.48409738,34.86292717,46.4,47.327,49.24,54,55.198,60.20369672,61.31,65.8,69.78,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,"Macao SAR, China",MAC,40.58305532,40.81721379,41.77253145,42.07490722,42.79284594,42.55829943,43.46862277,43.65069369,44.13822375,44.70098872,45.33985736,45.7553806,46.53234775,46.15945909,46.45685788,47.14176472,47.25307737,48.20299734,48.19732074,48.7953384,48.51260441,48.47594705,48.43173564,48.38710586,..,..
"Labor force, total",SL.TLF.TOTL.IN,"Macao SAR, China",MAC,154668,158710,163416,166793,169526,177446,204352,206432,209689,213002,216635,228878,229305,231608,243428,256312,272960,293127,309040,320920,332225,340769,348315,354890,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Macao SAR, China",MAC,17986.75,18474.2,18889.95,19252.05,19589.15,19922.95,20261.55,20601.55,20940.5,21272.4,21595.35,16849.53846,16451.03704,16694.59259,16377.82143,16719.60714,16773.70629,16884.31507,17372.39726,17674.74576,18000.87542,18283.67893,18654.28094,18747.72277,19073.06931,..
