Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,"Macedonia, FYR",MKD,..,..,23.8301219,23.9480928,23.9480928,23.8301219,23.9480928,23.5941801,23.08297287,23.1222965,21.82461659,22.33582383,19.62249312,18.52143138,18.12819505,17.61698781,17.26307511,17.08283789,16.80539041,16.65344964,16.41554322,16.41554322,16.41554322,16.37589215,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,"Macedonia, FYR",MKD,..,..,1.238913275,1.240688632,1.246161822,2.231605771,2.219034856,2.825705779,3.369206191,2.859444319,2.81877327,3.083114847,2.337972074,2.369310461,2.039526014,2.201938633,2.141612431,2.109622655,2.07049039,0.860837078,0.852367771,0.850258798,0.850761538,0.845863569,..,..
GDP (current US$),NY.GDP.MKTP.CD,"Macedonia, FYR",MKD,4471828622,4694744898,2316618515,2550194960,3381270267,4449375525,4422159848,3735312200,3571043203,3673288165,3772851459,3709636013,4018365768,4946296569,5682719260,6258602831,6861227018,8336475035,9909552356,9401736825,9407170388,10494626768,9745261301,10767438756,11323761624,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Macedonia, FYR",MKD,..,-6.17076765,-6.56519865,-7.469271314,-1.758166189,-1.114727705,1.18510391,1.439981344,3.378735632,4.339027902,4.549135781,-3.067245662,1.494028679,2.222222222,4.674428357,4.723377527,5.137025162,6.473486858,5.471711774,-0.358615842,3.358760114,2.339892284,-0.456184412,2.665637227,3.767558059,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Macedonia, FYR",MKD,2240.140336,2360.997767,1171.765224,1297.859337,1728.51997,2277.591662,2258.159155,1896.728201,1799.701449,1837.230159,1875.127151,1835.013622,1980.753134,2431.838642,2787.773056,3063.596462,3351.304879,4063.744425,4821.542494,4566.343921,4561.178364,5079.959208,4709.516545,5195.278822,5455.591267,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Macedonia, FYR",MKD,..,-5.804172376,-6.025251869,-6.899043359,-1.318274757,-0.982056878,0.939207382,0.871213417,2.602603979,3.549973143,3.889796637,-3.524390368,1.137772534,1.957466298,4.444893136,4.495260439,4.909222197,6.260843719,5.274702773,-0.535451084,3.182205944,2.169233986,-0.618878108,2.503505667,3.61347839,..
Internet users (per 100 people),IT.NET.USER.P2,"Macedonia, FYR",MKD,0,..,..,..,..,0.04074384,0.075995734,0.503985009,1.002861666,1.49733026,2.485566316,3.468184608,17.33,19.07,24.44,26.45,28.62,36.3,46.04,51.77,51.9,56.7,57.44994731,65.24,68.06,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,"Macedonia, FYR",MKD,38.88606096,39.04113064,39.10865146,39.17648051,39.2711698,39.35879359,39.26476805,39.0065855,38.83285797,38.65664523,38.87496162,39.17073697,39.47143033,40.00232285,39.40160307,40.18445292,39.09614938,39.73973918,39.03332073,38.64082434,38.86786382,39.55733401,39.31879524,39.43616849,..,..
"Labor force, total",SL.TLF.TOTL.IN,"Macedonia, FYR",MKD,807423,808181,807159,806004,802464,802113,806657,810417,816216,821838,833696,843303,851165,861010,833527,862876,887182,900635,917657,929328,938562,940890,940334,945779,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Macedonia, FYR",MKD,78.49889894,78.19339363,77.74412112,77.26795124,76.92351553,76.82044829,77.00758946,77.44180102,78.02760519,78.62217853,79.12115611,79.49606764,79.77609123,79.98324813,80.15902477,80.33401494,80.50845458,81.30903686,81.46119699,81.63838224,81.77807296,81.9146709,82.04877082,82.17854877,82.30075337,..
Population growth (annual %),SP.POP.GROW,"Macedonia, FYR",MKD,-0.155722689,-0.389943488,-0.576222799,-0.614366828,-0.446764385,-0.134076495,0.243312295,0.562271827,0.753597708,0.759115244,0.632647016,0.472725737,0.351629418,0.259336347,0.219525687,0.218065829,0.216907521,0.199914333,0.186963141,0.177629352,0.1709629,0.166895571,0.163572988,0.158046763,0.148595745,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,"Macedonia, FYR",MKD,49.70040982,49.74286608,49.78702935,49.83088404,49.87115095,49.90524913,49.93154788,49.95082121,49.96603237,49.98144408,50.00012425,50.02317489,50.04948967,50.07699213,50.10252918,50.12389287,50.14052449,50.15333229,50.16328787,50.1719348,50.18039286,50.18892602,50.19721931,50.20527921,50.212972,..
