Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Madagascar,MDG,4.677236304,4.728823469,4.780410634,4.986759294,4.986759294,4.986759294,4.986759294,4.986759294,4.986759294,4.986759294,4.986759294,5.072737903,5.072737903,5.072737903,5.072737903,5.158716511,5.158716511,5.158716511,5.502630945,6.018502597,6.018502597,6.015864695,6.015864695,6.015812994,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Madagascar,MDG,0.384574392,0.373899134,0.362104864,0.350022985,0.338615848,0.444904509,0.431456216,0.419000573,0.40709546,0.395054637,0.382633642,0.281468358,0.272620462,0.2639901,0.248159015,0.251691712,..,0.232589881,0.223733963,0.211215773,0.203447761,0.19692717,0.190776116,0.184801908,..,..
GDP (current US$),NY.GDP.MKTP.CD,Madagascar,MDG,3081479800,2653141959,3024459294,3370842211,2977040884,3159901109,3995028429,3545776813,3738704582,3717515283,3877673635,4529575233,4397254715,5474030228,4363934417,5039292947,5515884434,7342923620,9413002737,8550363829,8729936136,9892702358,9919780222,10613473993,10593147527,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Madagascar,MDG,3.130029428,-6.309534393,1.186152287,2.096559819,-0.071608256,1.712213176,2.148915048,3.693492606,3.932336443,4.6591157,4.760065099,6.017824403,-12.67378814,9.784892131,5.257003604,4.602899965,5.022607002,6.240578451,7.128513539,-4.013860583,0.263110856,1.454392168,3.027536044,2.414297692,2.973185114,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Madagascar,MDG,266.8922556,222.9855792,246.614824,266.5990563,228.3049883,234.892771,287.7713967,247.4504622,252.7817884,243.566786,246.282641,278.9874499,262.7418198,317.4220317,245.6704529,275.5158225,292.9908976,379.0672587,472.3790916,417.1783021,414.1427872,456.3293071,444.9585005,462.9740061,449.4008359,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Madagascar,MDG,0.090967853,-9.085105304,-1.830579605,-0.971578161,-3.105457745,-1.408684242,-1.015920484,0.461723777,0.692807233,1.418628206,1.553057862,2.811934161,-15.28408389,6.542988643,2.187044429,1.588828614,2.033979528,3.252058961,4.140653041,-6.678188545,-2.513810898,-1.350420839,0.186072635,-0.403934665,0.146079821,..
Internet users (per 100 people),IT.NET.USER.P2,Madagascar,MDG,0,..,..,..,..,..,0.003695196,0.014333647,0.062561023,0.168608781,0.196394691,0.222511586,0.339720155,0.423252419,0.525353655,0.567721802,0.607552239,0.65,1.65,1.63,1.7,1.9,2.3,3,3.7,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Madagascar,MDG,48.7297691,48.82186163,48.90907288,48.93374665,49.01456338,49.03717201,48.99359431,48.94904365,48.96137093,48.85536731,48.80583397,48.81357178,48.99383486,48.99712483,48.94379978,49.00557749,49.14279302,49.27563582,49.34885789,49.36351203,49.48796154,49.435986,49.43876493,49.44031117,..,..
"Labor force, total",SL.TLF.TOTL.IN,Madagascar,MDG,5460582,5616488,5799425,5999606,6201718,6405869,6605537,6801900,7000815,7214192,7448378,7674042,7923103,8182125,8462316,8740852,9098911,9458709,9833107,10226509,10616976,10968522,11322172,11688191,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Madagascar,MDG,19.85380541,20.45992881,21.08865942,21.74203666,22.42279809,23.13258933,23.87221171,24.64016061,25.4328937,26.24551536,27.07433882,27.9185731,28.77880971,29.65449496,30.54539155,31.45165251,32.37288751,33.30988582,34.26556729,35.24384565,36.24777659,37.26203732,38.31885802,39.40281368,40.51514782,..
Population growth (annual %),SP.POP.GROW,Madagascar,MDG,2.991116267,3.00725838,3.026714679,3.051213216,3.083065308,3.116420382,3.147267581,3.166256414,3.166570678,3.145176725,3.109124159,3.070579738,3.034717262,2.997437224,2.960011002,2.923770107,2.886974133,2.853295731,2.828675636,2.814994179,2.80871215,2.803539277,2.79671094,2.790366962,2.783869737,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Madagascar,MDG,50.07193103,50.09203441,50.11192607,50.13100426,50.14853041,50.16401381,50.17741575,50.18884115,50.19815426,50.20523407,50.21009144,50.21270015,50.21327939,50.21237991,50.21064982,50.20850289,50.20616825,50.20349717,50.20011745,50.195519,50.18943969,50.18190296,50.1732461,50.16392683,50.15450935,..
"Population, total",SP.POP.TOTL,Madagascar,MDG,11545782,11898267,12263899,12643864,13039754,13452526,13882646,14329239,14790245,15262817,15744811,16235767,16736029,17245275,17763367,18290394,18826129,19371031,19926798,20495706,21079532,21678867,22293720,22924557,23571713,..
Rural population,SP.RUR.TOTL,Madagascar,MDG,8824903,9028524,9237046,9451162,9709922,9982312,10265106,10557640,10858110,11164293,11474661,11788628,12106341,12427635,12752144,13020200,13286541,13551392,13815249,14080960,14349048,14619794,14893097,15168721,15447015,..
Surface area (sq. km),AG.SRF.TOTL.K2,Madagascar,MDG,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587040,587295,587295,587295,587295,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Madagascar,MDG,..,4,4.199999809,4,4.599999905,4.099999905,4,3.599999905,3.599999905,3.400000095,3.5,5,5.5,6.199999809,4.800000191,3.5,4.900000095,5.199999809,5.400000095,5.900000095,4.599999905,4.599999905,4.599999905,4.599999905,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Madagascar,MDG,..,2.900000095,3.200000048,3,3.599999905,3.099999905,3,2.700000048,2.599999905,2.599999905,2.599999905,4,4.400000095,5,3.799999952,2.599999905,3.900000095,4.099999905,4.300000191,4.800000191,3.599999905,3.599999905,3.599999905,3.599999905,..,..
