Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Malawi,MWI,23.86508273,24.92575308,24.3954179,24.3954179,22.27407722,24.3954179,25.45608825,25.98642342,27.57742894,28.63809928,29.16843445,30.22910479,30.22910479,31.82011031,31.82011031,33.941451,35.00212134,31.82011031,36.59312686,37.12346203,39.24480272,38.18413237,39.77513789,40.30547306,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Malawi,MWI,0.176347782,0.198732583,0.247274173,0.247296126,0.247337719,0.233164252,0.260962919,0.14163216,0.137790014,0.132455448,0.127483295,0.139508242,0.134741995,0.130021283,0.110625384,0.124516277,0.120215199,0.117439714,0.112629699,0.08281131,0.080246335,0.099602586,0.096337148,0.093006525,..,..
GDP (current US$),NY.GDP.MKTP.CD,Malawi,MWI,1880784190,2203536031,1799529357,2070647127,1181801920,1397454122,2281039098,2663238983,1750585204,1775920040,1743506287,1716502070,2665158943,2424656666,2625127098,2754995877,3116790613,3647816870,4276769473,5030641493,5398615401,5627896279,4240491999,3883521175,4258033615,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Malawi,MWI,5.692294502,8.730231816,-7.332978136,9.691840277,-10.24018173,16.72881757,7.316681511,3.792419101,3.895253633,3.042278097,1.576077831,-4.974963841,1.700000007,5.499999996,4.851637683,2.839778233,2.062005102,9.491418402,8.338911509,9.035835265,6.533362437,4.347495193,1.885799515,5.199999988,5.700000002,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Malawi,MWI,199.8920809,229.4346495,185.8457706,213.5208354,121.5144013,142.2661985,227.9496562,259.5642989,165.7193407,163.1898022,155.7643582,149.3672432,226.0768307,200.5426971,211.5738168,216.1146186,237.6982592,270.241146,307.5778976,351.0797566,365.5165695,369.6043472,270.0875313,239.8697314,255.0445696,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Malawi,MWI,1.918981058,6.520339041,-8.086331133,9.525373421,-10.49838763,15.573747,5.343872496,1.226504673,0.913863097,0.021903792,-1.243337734,-7.444015373,-0.861381867,2.867010401,2.171602072,0.095081437,-0.775417901,6.360447134,5.173252307,5.806510672,3.354143978,1.215805227,-1.187711184,2.018098377,2.501969765,..
Internet users (per 100 people),IT.NET.USER.P2,Malawi,MWI,0,..,..,..,..,..,..,0.004668518,0.018057365,0.087278755,0.126780945,0.164020725,0.215094727,0.278815116,0.347505335,0.384489334,0.42513749,0.965864737,0.7,1.07,2.26,3.33,4.3506,5.05,5.83,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Malawi,MWI,50.50733997,50.43090192,50.33233649,50.15575946,50.05165648,49.90844008,49.93455388,49.91126745,49.89883917,49.70271478,49.5033782,49.28889777,49.0715484,48.8560326,48.64657218,48.44327083,49.89808327,51.10629049,51.87693371,51.80738027,51.73438826,51.5960289,51.52062522,51.4440152,..,..
"Labor force, total",SL.TLF.TOTL.IN,Malawi,MWI,3969429,4025510,4044094,4043735,4043055,4074381,4138519,4236326,4354452,4529825,4706499,4874264,5046682,5229913,5423710,5621755,5822891,5960505,6215057,6400092,6604663,6827132,7058544,7311315,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Malawi,MWI,99.79845142,101.8688905,102.7038396,102.8599385,103.1566822,104.1876538,106.1388099,108.8292427,112.0444845,115.4279062,118.7232711,121.8903691,125.0395736,128.2400933,131.6039245,135.212622,139.0791578,143.1732817,147.4827217,151.9840475,156.659143,161.5062898,166.5298685,171.7238651,177.0815974,..
Population growth (annual %),SP.POP.GROW,Malawi,MWI,3.635379621,2.053393322,0.816290347,0.151873921,0.288077677,0.994461764,1.855412838,2.50323079,2.911590265,2.975017105,2.814918552,2.632669474,2.550824917,2.527396006,2.589260358,2.705167734,2.819473474,2.90124051,2.965537086,3.006453703,3.029681654,3.047170654,3.06305957,3.071306757,3.072287728,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Malawi,MWI,50.86435346,50.81587751,50.74624199,50.66471361,50.5866983,50.52477844,50.48417736,50.46063899,50.44699918,50.43287217,50.41160594,50.38171486,50.34647919,50.309872,50.27736992,50.25235636,50.23545301,50.22434919,50.21590946,50.20615454,50.19256154,50.17480677,50.15405305,50.13126519,50.10777614,..
"Population, total",SP.POP.TOTL,Malawi,MWI,9408998,9604199,9682918,9697635,9725612,9822812,10006767,10260421,10563554,10882543,11193230,11491824,11788731,12090476,12407618,12747846,13112383,13498377,13904671,14329056,14769824,15226813,15700436,16190126,16695253,..
Rural population,SP.RUR.TOTL,Malawi,MWI,8321318,8462740,8499859,8479806,8470327,8520012,8642945,8823757,9044092,9302180,9557899,9802756,10045649,10292018,10550942,10828785,11126644,11441899,11773641,12118513,12474593,12841837,13220081,13608772,14006983,..
