Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Malaysia,MYS,3.103637194,3.098462943,3.05828641,3.051894689,3.038502511,3.003195861,3.023284127,3.000152184,2.942931061,2.8945366,2.895449703,2.781616192,2.806574342,2.775528839,2.794095267,2.914624867,2.820575255,2.84735961,2.80292193,2.824532035,2.833663065,2.90366763,2.891492923,2.90366763,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Malaysia,MYS,1.842265249,1.754142895,1.701828934,1.48472617,1.441480468,1.706023772,1.650706892,1.499529517,1.435373653,1.336979122,1.183726725,1.203013159,1.171928326,1.184313204,1.213013696,1.231619898,1.200860174,1.178381967,1.155958366,1.129263,1.105685308,1.075344028,1.048691385,1.024481032,..,..
GDP (current US$),NY.GDP.MKTP.CD,Malaysia,MYS,44023808155,49133851465,59151684070,66894448025,74481194985,88832454525,1.01E+11,1.00E+11,72175568255,79148158936,93789473684,92783947368,1.01E+11,1.10E+11,1.25E+11,1.44E+11,1.63E+11,1.94E+11,2.31E+11,2.02E+11,2.48E+11,2.89E+11,3.05E+11,3.13E+11,3.27E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Malaysia,MYS,9.009649263,9.545464852,8.885115931,9.894946827,9.212042812,9.829082111,10.00270108,7.322742955,-7.359415368,6.137609867,8.858868104,0.517675303,5.390988327,5.788499279,6.783437734,5.332139144,5.584847069,6.298785927,4.831769895,-1.513685083,7.425970496,5.18725089,5.644607234,4.73391982,6.032905371,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Malaysia,MYS,2417.416598,2626.097529,3080.062905,3395.525921,3686.094451,4286.16895,4743.518822,4593.189321,3228.157932,3456.465964,4004.545955,3878.771409,4132.678525,4431.239455,4924.585852,5564.185469,6194.700434,7240.73558,8486.547605,7312.003684,8802.91349,10125.88166,10507.79278,10628.0093,10933.48527,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Malaysia,MYS,5.992562453,6.625370364,6.079373956,7.127809844,6.481308266,7.076743441,7.232015495,4.629630771,-9.638344957,3.632555847,6.431830095,-1.584252926,3.313511536,3.800097263,4.833402681,3.437108901,3.707681131,4.439458376,3.032454741,-3.164313425,5.674410859,3.51786676,4.010283019,3.157751987,4.48462693,..
Internet users (per 100 people),IT.NET.USER.P2,Malaysia,MYS,0,..,0.001047822,0.025538478,0.099607417,0.145673837,0.852044466,2.307393234,6.751770483,12.3055022,21.38473116,26.6959725,32.33820434,34.97115234,42.25226563,48.62917025,51.63798899,55.7,55.8,55.9,56.3,61,65.8,66.97,67.5,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Malaysia,MYS,34.66410545,34.50470336,34.41485005,34.33176219,34.24774587,34.15866945,33.99477304,33.88820483,33.7890709,34.02198267,35.05963036,35.20926244,35.36106858,35.59673305,35.84340702,36.02594029,36.34334313,36.67812365,37.01531377,37.19553113,37.2978607,37.40278339,37.49956337,37.5914681,..,..
"Labor force, total",SL.TLF.TOTL.IN,Malaysia,MYS,7056530,7297011,7521320,7745536,7977909,8223801,8499389,8776086,9063842,9356915,9808007,10024828,10248067,10478647,10717109,10961174,11158668,11371525,11592113,11830725,12083004,12423931,12739687,13040749,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Malaysia,MYS,55.42869274,56.94669,58.4528991,59.96275148,61.50050829,63.08133922,64.71124943,66.37688327,68.05091462,69.69587277,71.28519556,72.8076792,74.27173033,75.69448486,77.10249886,78.51506316,79.93622888,81.35932735,82.78015218,84.19119464,85.5866687,86.9668848,88.33340435,89.68306803,91.01201339,..
Population growth (annual %),SP.POP.GROW,Malaysia,MYS,2.806747754,2.701818788,2.610571931,2.550227446,2.532187888,2.537955261,2.551006468,2.54137954,2.490731707,2.388493238,2.254756803,2.11327632,1.990896614,1.89749033,1.843038812,1.815480306,1.793868412,1.764630625,1.731284063,1.690201436,1.643919239,1.599788019,1.559092963,1.516364769,1.470952411,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Malaysia,MYS,49.23715469,49.20975519,49.201534,49.20324909,49.202687,49.19286378,49.17197928,49.14620124,49.12597781,49.12452428,49.15024715,49.20204508,49.27557714,49.37089212,49.48739986,49.62259059,49.77825498,49.94901912,50.11731076,50.26142387,50.36752787,50.43067976,50.45762275,50.46090034,50.45796105,..
"Population, total",SP.POP.TOTL,Malaysia,MYS,18211097,18709835,19204700,19700762,20205992,20725374,21260881,21808125,22358128,22898579,23420751,23920963,24401977,24869423,25332026,25796124,26263048,26730607,27197419,27661017,28119500,28572970,29021940,29465372,29901997,..
Rural population,SP.RUR.TOTL,Malaysia,MYS,9143063,9247149,9253977,9237884,9213528,9183828,9148770,9107727,9055936,8989524,8905272,8869415,8819851,8759011,8690405,8617453,8539955,8457564,8370006,8277559,8179400,8076150,7973488,7871969,7771529,..
Surface area (sq. km),AG.SRF.TOTL.K2,Malaysia,MYS,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Malaysia,MYS,..,3.5,4.199999809,4.599999905,4.300000191,3.5,2.799999952,2.700000048,3.400000095,3.299999952,3.099999905,3.900000095,3.900000095,4,3.900000095,3.799999952,3.599999905,3.400000095,3.599999905,3.900000095,3.599999905,3.299999952,3.200000048,3.400000095,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Malaysia,MYS,..,3.299999952,3.700000048,4.099999905,3.799999952,3.099999905,2.5,2.400000095,3.200000048,3.400000095,3,3.5,3.5,3.599999905,3.5,3.5,3.299999952,3.200000048,3.299999952,3.700000048,3.400000095,3.099999905,3,3.200000048,..,..
