Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Maldives,MDV,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13.33333333,13.33333333,13,13,13,13,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Maldives,MDV,..,..,..,..,..,..,..,..,6.130230619,5.817403344,5.501518419,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Maldives,MDV,215089005.2,244468292.7,284853358.6,322326642.3,355884383.1,398988955,450382328,508223602.4,540096397.6,589239753.6,624337145.3,884276170.9,910864151.8,1043403341,1202240024,1119806502,1474698126,1745998940,2117773601,2166330189,2332466301,2460699388,2534540871,2705145309,3032239478,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,..,5.883807626,14.01961039,14.45372212,-7.811794888,19.91911611,10.64095167,10.93388655,-6.045257841,7.196444635,10.8308372,1.492160161,7.720678134,7.562028056,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Maldives,MDV,963.7510932,1064.358701,1206.734753,1330.54275,1433.497473,1570.389873,1734.454488,1917.340153,1998.196016,2139.694441,2226.721729,3099.482544,3139.319558,3537.008436,4008.575787,3671.881974,4754.51409,5533.806444,6596.89122,6630.682554,7013.354284,7266.888906,7350.394182,7704.530216,8483.805879,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,..,4.11425432,12.14541179,12.57578,-9.338652211,17.90865919,8.765930928,9.029502955,-7.680701238,5.306989449,8.852942498,-0.332430566,5.789682101,5.664874817,..
Internet users (per 100 people),IT.NET.USER.P2,Maldives,MDV,0,0,0,0,0,0,0.22693009,0.309444238,0.569627464,1.119908615,2.203872939,3.617290649,5.347765169,5.97659285,6.588254875,6.869605067,11.03635278,16.3,23.2,24.8,26.53,34,38.9301,44.1,49.28,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Maldives,MDV,19.63729683,21.13709384,22.65261605,24.31854458,25.81679367,27.37107206,28.80056643,30.16614477,31.42356215,32.8136453,34.16552969,35.49382081,36.79123587,38.08443808,39.30489625,40.45889615,41.4688075,41.67380932,41.87585107,41.99946911,42.21018446,42.26678953,42.33636265,42.40195356,..,..
"Labor force, total",SL.TLF.TOTL.IN,Maldives,MDV,58450,60382,62346,64531,67061,69884,73443,77282,81563,85949,90884,97262,103878,111111,118601,126521,134776,140004,145406,150690,155806,160606,165274,169537,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Maldives,MDV,743.93,765.62,786.8433333,807.5066667,827.5433333,846.9,865.56,883.5566667,900.9733333,917.95,934.6133333,950.9933333,967.1566667,983.32,999.7233333,1016.56,1033.893333,1051.716667,1070.086667,1089.043333,1108.583333,1128.726667,1149.39,1170.37,1191.383333,..
Population growth (annual %),SP.POP.GROW,Maldives,MDV,3.013881888,2.873901871,2.734319731,2.592215059,2.451016145,2.312115148,2.179407238,2.057873224,1.952023188,1.866726248,1.798997361,1.737415584,1.685344307,1.657410582,1.654397278,1.670108336,1.69072331,1.709213826,1.73158923,1.755999294,1.77832889,1.800722979,1.814121316,1.808857127,1.779515884,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Maldives,MDV,48.73756043,48.8967547,49.05169602,49.19009957,49.29812336,49.36828433,49.3957669,49.3890224,49.36735086,49.35635565,49.37228943,49.4199048,49.49112002,49.57490949,49.65507124,49.72029852,49.76915736,49.80523905,49.83054332,49.8474196,49.85852815,49.86356307,49.86268078,49.85830692,49.85409118,..
"Population, total",SP.POP.TOTL,Maldives,MDV,223179,229686,236053,242252,248263,254070,259668,265067,270292,275385,280384,285298,290147,294996,299917,304968,310168,315515,321026,326713,332575,338618,344817,351111,357415,..
Rural population,SP.RUR.TOTL,Maldives,MDV,165510,170482,175357,180117,184742,188932,192134,195145,197975,200662,202701,202964,202981,202804,202474,202041,201504,200974,200471,200010,199598,199246,198949,198673,198387,..
Surface area (sq. km),AG.SRF.TOTL.K2,Maldives,MDV,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Maldives,MDV,..,20,19.60000038,19.20000076,18.70000076,18.39999962,19,19.39999962,19.20000076,18.5,19.10000038,19.79999924,20.60000038,21.29999924,20.79999924,22.20000076,23.60000038,20.20000076,20.5,19.5,18.5,18.20000076,17.60000038,18.29999924,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Maldives,MDV,..,9.800000191,9.800000191,9.800000191,9.699999809,9.800000191,10.10000038,10.39999962,10.5,10.30000019,10.80000019,11.30000019,11.89999962,12.60000038,12.5,13.39999962,14.39999962,12.60000038,12.80000019,12.19999981,11.69999981,11.5,11.10000038,11.60000038,..,..
