Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Mali,MLI,1.682524853,1.690720298,1.772674747,2.507806161,2.589760611,2.720068186,3.720732017,3.716634295,3.712536572,3.704341127,3.661724813,3.687950237,4.015768036,4.869733402,4.099361575,4.591907818,4.65255411,4.75991444,4.721395848,5.126578648,5.131168097,5.622894795,5.622894795,5.254099771,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Mali,MLI,0.566791593,0.556272053,0.502051508,0.488610092,0.473923355,0.583082998,0.567516336,0.550847997,0.534770306,0.521426871,0.504315548,0.490344725,0.475253964,0.368590194,0.321422112,0.323748227,0.300937571,0.279396206,0.260550617,0.245962919,0.230402949,0.223704544,0.139759975,0.205293261,..,..
GDP (current US$),NY.GDP.MKTP.CD,Mali,MLI,2421172497,2422840269,2852581755,2677966905,1762703059,2466160215,2619086428,2475185559,2596828336,2570429655,2422482318,2629739067,3342824260,4362439887,4874178417,5305317555,6122644015,7145394015,8737687353,8964480570,9422267260,10647545670,10340794110,11111650036,12074473002,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Mali,MLI,-1.852675981,1.616062858,8.333260134,-2.139403425,0.912162058,6.209004783,3.218406369,6.761093854,6.033114138,6.734813031,3.2,12.1,4.153318941,7.441394993,2.185520239,6.07979435,8.578286912,4.298178176,4.978529163,4.457421987,5.81931483,2.73011101,-0.408303576,2.13724361,7.222129273,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mali,MLI,285.4457779,279.3678455,320.8341601,293.2685606,187.8491791,255.8086857,264.5262624,243.4289496,248.6235128,239.4094537,219.2901733,231.1636197,285.1505086,360.864247,390.7201836,411.8592812,460.0053114,519.3165673,614.3176392,610.0541643,621.223023,680.8278902,641.7937185,669.6953397,706.6871974,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Mali,MLI,-3.696526446,-0.616083451,5.670236644,-4.714754198,-1.799578444,3.377302422,0.503715197,3.958142654,3.222889251,3.834747101,0.300403424,8.856379405,1.071076386,4.189855014,-0.976246582,2.731994102,5.082246623,0.892499493,1.552582592,1.108131426,2.521228915,-0.369236079,-3.333304158,-0.816076428,4.122537677,..
Internet users (per 100 people),IT.NET.USER.P2,Mali,MLI,0,..,..,..,..,..,0.002055228,0.010085919,0.019793888,0.060909873,0.142545755,0.185897413,0.227045578,0.310364443,0.43281964,0.507063136,0.729627281,0.81,1.57,1.8,2,2.2,2.8,3.5,7,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Mali,MLI,37.82963291,37.77754766,37.29627691,37.64594173,37.70992336,37.54245094,37.40735389,37.14275326,36.80532808,36.64121509,36.53291687,35.87200712,35.73978595,35.34112267,35.30883259,35.67133512,36.24547277,36.61694501,37.23897985,37.67544596,38.27277434,38.28689454,38.41949745,38.49549616,..,..
"Labor force, total",SL.TLF.TOTL.IN,Mali,MLI,2293612,2336986,2390193,2455946,2532055,2606833,2678337,2750305,2832992,2915078,3013986,3099860,3198290,3309909,3422291,3706584,3987538,4294976,4605631,4939769,5273370,5431271,5580997,5747875,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Mali,MLI,6.951437891,7.107566035,7.28668568,7.483628779,7.6902843,7.90093592,8.114346946,8.333128447,8.559996394,8.799073915,9.053447414,9.323215237,9.607534073,9.907364427,10.22370041,10.55686737,10.90808972,11.27629795,11.65671166,12.04284988,12.43026578,12.81695064,13.20477385,13.59796179,14.00275531,..
