Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Malta,MLT,37.5,37.5,37.5,37.5,37.5,31.25,31.25,28.125,25,25,25,28.125,28.125,29.0625,28.125,25.625,25,25,25,25,28.375,28.375,28.125,28.03125,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Malta,MLT,1.426828659,1.408232527,1.397018762,1.384217156,1.378160294,1.297468571,1.350803728,1.308426265,1.260799745,1.247545946,1.370077507,1.302947764,1.301268427,1.295025253,1.25312498,1.22704656,1.218063887,1.191703361,1.175295293,1.230592495,1.206890682,1.178471767,1.151606572,1.13992743,..,..
GDP (current US$),NY.GDP.MKTP.CD,Malta,MLT,2547330284,2750215016,3021944632,2709194766,2998504392,3599683395,3671827861,3633464750,3809619584,3907947937,3957418083,3917620728,4296164768,5119621569,5643525282,5990648162,6365500032,7466219569,8554293727,8099400961,8163355021,9302635890,8882509104,9642848650,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Malta,MLT,6.291390722,6.256490126,4.690935781,4.480746788,5.651105653,6.342494703,3.777335975,5.256978797,5.125603164,4.71997263,6.77019381,-1.549888586,2.811588371,0.132087471,-0.503224546,3.66560275,2.223906402,4.279227098,3.9,-2.8,4.3,1.4,1.1,2.9,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Malta,MLT,7192.394285,7688.027507,8365.0131,7428.475601,8149.416324,9717.501938,9852.310011,9683.145408,10091.2798,10301.42329,10377.03732,9967.790407,10849.75028,12844.58799,14064.2296,14834.43237,15705.34022,18356.96828,20895.7805,19636.00628,19694.08316,22347.70842,21176.30998,22776.19469,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Malta,MLT,5.256597501,5.19994607,3.667094016,3.494106411,4.721628837,5.627100835,3.149693703,4.541962011,4.490699279,4.210947879,6.209413928,-4.471870098,2.047970812,-0.52435247,-1.169234142,3.006901559,1.852144586,3.916181432,3.226163531,-3.53004216,3.788952445,0.971276197,0.331846801,1.947496776,..,..
Internet users (per 100 people),IT.NET.USER.P2,Malta,MLT,0,..,..,..,..,0.224995699,1.051527475,3.920605132,6.500783995,7.759798038,13.11370871,17.87784832,28.92,31.64,34.62,41.24,40.41,46.9,50.08,58.86,63,68.01982379,68.19987429,68.9138,73.17,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Malta,MLT,26.735202,27.34998803,27.77413001,28.00063674,27.94013272,28.26569425,28.53437795,28.9195754,29.43967405,29.96014419,30.56055743,29.86356276,31.49131558,31.09355632,29.8400386,31.44429515,31.56125339,32.80938109,33.67221014,33.81547495,34.17083716,34.77047595,36.55999438,36.6152183,..,..
"Labor force, total",SL.TLF.TOTL.IN,Malta,MLT,140171,142022,143162,144486,145121,146439,148060,149034,150698,152299,153276,161173,161381,162159,159601,162993,164195,167827,170170,172356,176238,179894,184959,186854,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Malta,MLT,1106.78125,1117.896875,1128.9375,1139.7,1149.815625,1157.603125,1164.646875,1172.6125,1179.7375,1185.5,1191.759375,1228.2125,1237.403125,1245.56875,1253.9625,1261.98125,1266.5875,1271.0125,1279.309375,1288.990625,1295.3375,1300.8375,1310.796875,1323.04375,1335.6375,..
Population growth (annual %),SP.POP.GROW,Malta,MLT,0.978313699,0.999310181,0.982779504,0.948814497,0.883653356,0.674999245,0.60663336,0.681623608,0.605779054,0.487267042,0.526605513,..,0.745506921,0.657732334,0.671628455,0.637436918,0.364336947,0.348755082,0.650655461,0.753906931,0.491182811,0.423700885,0.762696599,0.929969957,0.947375259,..
