Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Marshall Islands,MHL,..,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Marshall Islands,MHL,78476000,82507000,91063000,99461000,108071000,120230000,110858000,106289109.3,108702068,107978893.1,110937729.4,115152142.7,124735071.9,126887585.5,131106365.5,137744500,143615000,150041700,152785100,152116100,163917000,172956700,184358700,190914600,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Marshall Islands,MHL,2.676282425,0.087872807,7.140755472,6.006265324,5.87774934,8.21319669,-10.30292903,-6.44562517,-2.844265171,-2.397148488,5.890676039,5.363380056,2.615902679,0.170064959,-0.055412459,2.750235998,1.922692913,3.774957721,-2.03382384,-1.656381593,6.144004056,0.023608619,4.721089528,2.988574581,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Marshall Islands,MHL,1659.112051,1701.841959,1844.052489,1987.153361,2136.761769,2356.526852,2156.896317,2056.001496,2093.564732,2073.486695,2126.832872,2206.656116,2391.347403,2434.761306,2517.693389,2645.981405,2757.584485,2877.890517,2925.740602,2907.362245,3126.516365,3291.842561,3500.725367,3616.765809,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Marshall Islands,MHL,-0.551616771,-2.350273637,5.185917258,4.587257137,4.778715819,7.273595629,-10.96086229,-6.988525385,-3.265282088,-2.685781239,5.718119771,5.316941344,2.661150388,0.258481403,0.023278022,2.781816231,1.879638012,3.663491601,-2.193283157,-1.844343632,5.927375376,-0.191512292,4.478490873,2.748594384,..,..
Internet users (per 100 people),IT.NET.USER.P2,Marshall Islands,MHL,0,0,0,0,0,0,0.037059432,..,..,0.966071567,1.534271796,1.706614078,2.335444575,2.569750367,3.599776814,3.878702398,3.795590214,3.95,4.6,5.6,7,10,12.5,14,16.8,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Marshall Islands,MHL,..,269.3388889,274.3444444,278.0666667,280.9833333,283.4444444,285.5388889,287.2055556,288.4555556,289.3111111,289.7833333,289.9111111,289.7833333,289.5277778,289.3,289.2111111,289.3333333,289.6444444,290.1166667,290.6722222,291.2666667,291.8944444,292.5722222,293.2555556,293.8777778,..
Population growth (annual %),SP.POP.GROW,Marshall Islands,MHL,3.194240186,2.466167311,1.841401671,1.347647968,1.04344625,0.872078521,0.736209229,0.581994775,0.43428397,0.296159758,0.163089918,0.044084528,-0.044084528,-0.088227402,-0.07870313,-0.030730227,0.042251628,0.107469113,0.162902381,0.191310728,0.204297964,0.215301744,0.231930449,0.233288236,0.211952693,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,47300,48481,49382,50052,50577,51020,51397,51697,51922,52076,52161,52184,52161,52115,52074,52058,52080,52136,52221,52321,52428,52541,52663,52786,52898,..
Rural population,SP.RUR.TOTL,Marshall Islands,MHL,16529,16778,16924,16986,16996,16976,16931,16861,16765,16645,16505,16347,16177,16001,15830,15669,15521,15385,15260,15141,15024,14912,14803,14696,14587,..
Surface area (sq. km),AG.SRF.TOTL.K2,Marshall Islands,MHL,..,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
