Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Mauritania,MRT,0.388085767,0.397787911,0.407490055,0.418162414,0.456000776,0.48316678,0.473464636,0.473464636,0.473464636,0.473464636,0.473464636,0.436596488,0.388085767,0.388085767,0.388085767,0.388085767,0.388085767,0.388085767,0.388085767,0.378383623,0.436596488,0.388085767,0.388085767,0.436596488,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Mauritania,MRT,3.190864368,3.092033467,2.805108102,2.718540959,1.791603893,3.264335479,3.146877067,3.000385037,2.878345641,2.771086763,2.657048238,2.534779388,2.435801337,2.338745212,2.171071771,2.192458153,2.146227596,2.054316118,1.986050361,1.897396921,1.837296682,1.782153337,1.729601487,1.678162955,..,..
GDP (current US$),NY.GDP.MKTP.CD,Mauritania,MRT,1019600785,1443688870,1464392416,1249944999,1315932645,1415296704,1442598431,1401946853,1375115534,1405662879,1293654175,1295539448,1324426607,1563074859,1833444740,2184444849,3040716679,3356757497,4031047704,3662281668,4337791531,5123097509,4845165274,5057754939,5061180371,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Mauritania,MRT,-1.771304531,1.788087124,1.874125874,5.873637269,-3.060732097,9.819800448,5.818826607,-4.044696627,2.77780492,7.712825411,-0.430406256,2.008796925,0.665004156,5.978253348,5.747423542,8.969422318,18.86909933,2.817836774,1.079967174,-1.0420817,4.77369717,4.385441191,5.969023853,5.675564581,6.418888813,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritania,MRT,503.838721,693.8203377,684.2155898,567.588971,580.5384571,606.3913117,600.1377127,566.1714107,538.9589655,534.5120054,477.1129881,463.2714185,459.1255459,525.4587743,598.2105479,692.5759654,937.9827017,1008.554705,1180.549514,1045.790408,1207.827457,1390.928622,1282.785101,1306.007652,1274.976949,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Mauritania,MRT,-4.431053732,-1.005973076,-0.956501631,2.895263495,-5.82101087,6.656859425,2.745528378,-6.85063364,-0.253086718,4.502623549,-3.427496119,-1.094726853,-2.411821707,2.771351343,2.635396842,5.887510717,15.65422782,0.144956389,-1.473769166,-3.511136056,2.163456872,1.783160308,3.336089618,3.066423102,3.820065624,..
Internet users (per 100 people),IT.NET.USER.P2,Mauritania,MRT,0,..,..,..,..,..,..,0.004172527,0.040594795,0.118464464,0.192031462,0.261448552,0.363229415,0.424004896,0.481470438,0.669966475,0.979661253,1.433613196,1.87,2.28,4,4.5,5,6.2,10.7,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Mauritania,MRT,19.73286834,20.11167697,20.40172654,20.39058637,21.21666192,20.98951943,21.09015727,22.04360366,22.44942336,22.53302827,23.08384463,23.56606546,24.19127277,24.41254562,24.72894169,24.94599767,23.9615069,25.20753484,25.52661071,26.26017339,26.43171806,26.46638739,26.59438564,26.62942781,..,..
"Labor force, total",SL.TLF.TOTL.IN,Mauritania,MRT,532771,549800,570388,588551,613975,634126,657795,688245,717426,745195,779060,812694,849823,885090,921204,957829,978461,1022238,1057375,1099928,1135908,1169933,1205480,1242430,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Mauritania,MRT,1.963388959,2.018804696,2.076501407,2.13660716,2.19922868,2.264447463,2.332181042,2.402433298,2.475433201,2.551475696,2.630659746,2.713206559,2.798750364,2.886083244,2.973592704,3.060140681,3.14520423,3.229150092,3.312847579,3.397620064,3.484428059,3.573514117,3.664564859,3.757333851,3.851387407,..
