Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Mauritius,MUS,48.27586207,47.78325123,47.29064039,46.30541872,45.81280788,45.32019704,44.82758621,44.33497537,44.82758621,43.84236453,44.33497537,44.82758621,43.84236453,43.34975369,42.85714286,41.87192118,40.88669951,39.90147783,39.408867,39.408867,39.408867,38.42364532,37.43842365,36.94581281,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Mauritius,MUS,0.225423232,0.221046745,0.21651489,0.212360214,0.208117412,0.369182302,0.364789689,0.358387257,0.352255315,0.345778145,0.340453219,0.298743225,0.373243655,0.374114284,..,0.36852162,..,0.365096751,0.360557855,0.356615576,0.349091925,0.432937917,0.428853246,0.425393617,..,..
GDP (current US$),NY.GDP.MKTP.CD,Mauritius,MUS,2653485952,2856889162,3224265824,3263363788,3558143642,4040342060,4421952121,4187375888,4169672974,4291171396,4582562398,4536544699,4767303153,5609836354,6385691315,6283796155,6731529168,7792052680,9641089805,8834661043,9718233911,11252386261,11442096506,11928055398,12616421088,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Mauritius,MUS,7.186736733,4.435446247,6.512698638,5.082062928,4.136142904,4.28773662,5.587843879,5.687477457,6.070628106,2.610779536,9.026614062,2.573570313,2.113313277,3.656856417,5.745767493,1.241387547,3.947653044,5.890498632,5.511089889,3.048982486,4.100201815,3.886294035,3.200000003,3.200000002,3.600000021,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritius,MUS,2506.184933,2669.326282,2973.205388,2973.793609,3197.336956,3599.551751,3899.442433,3646.637842,3593.241569,3651.231078,3861.038542,3792.187576,3957.512905,4623.351784,5229.873567,5116.039642,5455.06563,6285.78905,7749.318438,7082.2957,7772.100057,8984.629769,9110.805399,9476.841829,10005.61575,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Mauritius,MUS,6.425943999,3.314166385,5.120444469,3.843627974,2.688328558,3.394776412,4.513432566,4.372417178,4.961221077,1.314597789,7.960482401,1.766383082,1.406856763,2.909439028,5.08470651,0.643708808,3.463966368,5.409236425,5.13021833,2.775711595,3.852855606,3.720063223,2.914201178,2.972799018,3.412590054,..
Internet users (per 100 people),IT.NET.USER.P2,Mauritius,MUS,0,..,..,..,..,..,0.183769158,0.475629193,2.565279962,4.652213227,7.281535115,8.780904019,10.25262467,12.1871062,13.68908859,15.17222875,16.7,20.22,21.81,22.51,28.33,34.95,35.42,39,41.44,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Mauritius,MUS,31.7271928,31.74408092,31.89134417,32.33332909,32.74748282,32.96408266,33.25665995,33.5506222,33.92688354,34.21532373,34.44176075,34.71302913,34.67564193,34.69180465,34.6164228,35.59237087,35.96800369,35.65461847,36.34585431,36.60534067,37.47257447,37.64135423,37.75521057,37.87432511,..,..
"Labor force, total",SL.TLF.TOTL.IN,Mauritius,MUS,443610,452393,461862,470898,480498,487564,493435,502250,510993,520565,528707,535577,535843,534596,533478,542709,545938,547800,554696,560828,572915,577450,582950,587691,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Mauritius,MUS,521.5640394,527.2246305,534.2073892,540.5783251,548.2,552.9344828,558.6187192,565.6571429,571.6359606,578.9492611,584.6665025,589.3039409,593.4093596,597.7192118,601.4793103,605.0512315,607.879803,610.6551724,612.8674877,614.4970443,615.9605911,616.9477833,618.6610837,620.0261084,621.1497537,..
Population growth (annual %),SP.POP.GROW,Mauritius,MUS,0.712313471,1.079463625,1.315743114,1.185540614,1.400064494,0.859933461,1.022764541,1.25209761,1.051421625,1.271248552,0.982676166,0.790047581,0.694240135,0.723661766,0.627103982,0.59209966,0.466403526,0.455526401,0.361630847,0.265537673,0.237886693,0.160140421,0.277321026,0.220398692,0.181061469,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Mauritius,MUS,50.13150355,50.11161184,50.10175833,50.1036776,50.11937458,50.14937856,50.19479854,50.25278628,50.3149436,50.37049891,50.4119756,50.43728799,50.44890264,50.45013902,50.44598979,50.44066887,50.43405875,50.42599455,50.42022984,50.42141543,50.43250897,50.45523502,50.48838346,50.52842762,50.57013149,..
"Population, total",SP.POP.TOTL,Mauritius,MUS,1058775,1070266,1084441,1097374,1112846,1122457,1133996,1148284,1160421,1175267,1186873,1196287,1204621,1213370,1221003,1228254,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258653,1260934,..
Rural population,SP.RUR.TOTL,Mauritius,MUS,593973,601736,611050,619687,629793,636613,644552,654086,662415,672335,680434,688344,695669,703269,710257,717042,722974,728865,734094,738640,743000,746783,751470,755456,758906,..
Surface area (sq. km),AG.SRF.TOTL.K2,Mauritius,MUS,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Mauritius,MUS,..,16.10000038,15.69999981,15.30000019,15,13.30000019,13.39999962,13.5,13.19999981,12.89999962,12,11.19999981,11.89999962,12.89999962,13.60000038,16.5,15.5,14.39999962,12.60000038,12.30000019,12.80000019,12.39999962,13.19999981,13.5,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Mauritius,MUS,..,9.399999619,9.300000191,9.199999809,9.100000381,9.399999619,8.899999619,8.399999619,8.699999809,9,7.800000191,6.800000191,7.199999809,7.699999809,8.5,9.600000381,9.100000381,8.5,7.199999809,7.300000191,7.699999809,7.900000095,8.699999809,8.300000191,..,..
