Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Mexico,MEX,11.1674683,11.5347617,11.5378482,11.59031868,11.59957818,11.60523676,11.68600015,11.72098048,11.74464364,11.78939788,11.78271046,11.90925693,11.92623267,12.1669796,11.94166517,11.98384732,12.01831323,12.09856221,12.27552149,12.2883819,12.09238921,11.81974845,11.90874251,11.81871962,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Mexico,MEX,0.57158843,0.554471625,0.532804256,0.512540264,0.501132674,0.528050032,0.517836864,0.494023974,0.484487007,0.489890537,0.51620823,0.501540317,0.491551181,0.487733678,0.465838609,0.459987067,0.608511194,0.605587621,0.627933867,0.679655395,0.653660977,0.644307172,0.617689268,0.597419255,..,..
GDP (current US$),NY.GDP.MKTP.CD,Mexico,MEX,2.63E+11,3.14E+11,3.64E+11,5.04E+11,5.27E+11,3.44E+11,3.97E+11,4.81E+11,5.02E+11,5.79E+11,6.84E+11,7.25E+11,7.42E+11,7.13E+11,7.70E+11,8.66E+11,9.67E+11,1.04E+12,1.10E+12,8.95E+11,1.05E+12,1.17E+12,1.19E+12,1.26E+12,1.28E+12,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Mexico,MEX,5.068306312,4.222250716,3.628658714,4.061425854,4.727354829,-5.75868238,5.874766683,6.962888801,4.701842416,2.667013147,5.296473838,-0.60549239,0.131917169,1.422671242,4.295714251,3.032573659,5.001385468,3.148225822,1.400290149,-4.700339936,5.110198731,4.044614776,4.007370613,1.390831387,2.12475861,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mexico,MEX,3068.702424,3600.045185,4080.452175,5544.932462,5690.674713,3640.833419,4131.805706,4907.333152,5038.629775,5722.122139,6649.716534,6952.289039,7023.787276,6673.166974,7115.121769,7893.968234,8680.60388,9222.883997,9578.570567,7661.208413,8861.493697,9730.277753,9721.062644,10200.80583,10230.1825,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Mexico,MEX,2.972373535,2.148711694,1.578606661,2.026783103,2.719500245,-7.518498048,3.943160049,5.057818522,2.908538702,1.010141366,3.717138215,-1.969953758,-1.137756674,0.179543372,2.976428812,1.63366597,3.460105913,1.546823889,-0.216718603,-6.203712241,3.513460026,2.533865131,2.554080366,0.023157623,0.784342694,..
Internet users (per 100 people),IT.NET.USER.P2,Mexico,MEX,0,0.005880695,0.01730781,0.028305042,0.043339167,0.10256419,0.20040628,0.62731154,1.265783278,1.857436221,5.081384153,7.038023117,11.9,12.9,14.1,17.21,19.52,20.81,21.71,26.34,31.05,37.17629541,39.75,43.46,44.39,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Mexico,MEX,29.79998488,29.64091879,30.12977924,30.77839724,31.45796218,32.54706497,32.53930409,33.46092239,33.31283953,33.07030633,33.43067841,33.15972934,33.6964726,33.59456202,34.66750735,34.9704942,35.35945973,35.81435453,36.12506417,36.18356256,36.41341079,36.38307153,37.09188371,37.16783365,..,..
"Labor force, total",SL.TLF.TOTL.IN,Mexico,MEX,30616435,31561579,32845083,34143659,34920892,35792063,36691092,38459672,39216738,39553734,40255073,40634819,41460586,41785099,43577324,44349073,46013944,47226857,48571994,48811501,50752609,51179005,53384447,54475981,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Mexico,MEX,44.03889195,44.93284704,45.83967849,46.75382443,47.66771985,48.57478124,49.47746084,50.37466241,51.25250084,52.09319684,52.88643741,53.62255356,54.31122045,54.98516834,55.68961239,56.45613622,57.29718203,58.20076339,59.14391883,60.09188096,61.01882353,61.9178842,62.79532035,63.65395663,64.50054425,..
Population growth (annual %),SP.POP.GROW,Mexico,MEX,2.014994081,2.009593578,1.998097147,1.974599974,1.935837771,1.885005572,1.841273752,1.797108948,1.727609484,1.626994775,1.511256292,1.382283072,1.276108876,1.23326386,1.273015502,1.367034911,1.478745671,1.564702817,1.607530437,1.590096455,1.530765872,1.462665986,1.407149514,1.358093141,1.321217635,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Mexico,MEX,50.26634691,50.28264899,50.30083309,50.31906344,50.33497704,50.34699417,50.35489388,50.35923874,50.36030133,50.3585665,50.35447816,50.34808713,50.3395731,50.3296737,50.31932011,50.30925419,50.29974406,50.29086426,50.28288207,50.27600249,50.27032595,50.26598328,50.26291306,50.26077519,50.25910463,..
"Population, total",SP.POP.TOTL,Mexico,MEX,85609404,87347208,89110043,90887097,92663664,94426946,96181710,97925825,99632299,101266570,102808590,104239563,105578297,106888418,108257822,109747906,111382857,113139374,114972821,116815612,118617542,120365271,122070963,123740109,125385833,..
Rural population,SP.RUR.TOTL,Mexico,MEX,24468024,24617937,24764572,24904882,25033089,25147784,25324644,25530242,25719082,25882723,25987955,26012983,26009213,25993125,25985125,26001474,26044653,26109173,26182761,26251972,26303440,26338329,26358783,26367780,26367387,..
Surface area (sq. km),AG.SRF.TOTL.K2,Mexico,MEX,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Mexico,MEX,..,4.199999809,4,3.900000095,4.800000191,8.600000381,6.699999809,6.099999905,4.900000095,3.599999905,3.299999952,3.200000048,3.5,3.700000048,4.699999809,3.599999905,3.5,3.700000048,3.900000095,4.800000191,5.199999809,5.300000191,4.900000095,5,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Mexico,MEX,..,3,3.099999905,3.200000048,4.199999809,6.900000095,5.199999809,4.099999905,3.599999905,2.5,2.599999905,2.5,2.900000095,3,3.700000048,3.5,3.200000048,3.400000095,3.5,5.199999809,5.199999809,5.300000191,4.900000095,4.900000095,..,..
