Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,"Micronesia, Fed. Sts.",FSM,..,3.571428571,3.571428571,3.571428571,3.571428571,3.571428571,3.571428571,3.571428571,3.571428571,3.571428571,3.571428571,3.571428571,3.571428571,3.571428571,3.571428571,3.571428571,3.571428571,3.571428571,3.571428571,2.857142857,2.857142857,2.857142857,2.857142857,2.857142857,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,"Micronesia, Fed. Sts.",FSM,147200000,166200000,178100000,198400000,202500000,222103600,218845700,206900300,219646200,220660500,233226300,240051900,241543400,244991000,239563300,249845600,252991200,255890800,261339600,277510900,294117200,310287500,326161000,316245700,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Micronesia, Fed. Sts.",FSM,3.740926857,7.427341227,4.008016032,8.140655106,-0.534521158,7.084012539,-3.111552175,-6.065738569,2.955722519,1.383750704,4.5632095,1.747193334,0.599899534,1.825861414,-3.231262222,2.160556312,-0.163398426,-2.059676851,-2.559644172,0.961955354,2.530578819,2.050567151,0.433683525,-4,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Micronesia, Fed. Sts.",FSM,1528.064694,1682.186235,1756.202422,1908.848629,1909.350632,2065.004277,2019.952558,1906.809762,2029.326657,2046.791518,2170.960626,2239.916954,2257.773665,2293.579614,2247.837673,2352.639409,2393.936412,2435.199848,2501.527682,2669.375054,2838.448547,2998.642197,3150.826925,3049.091768,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Micronesia, Fed. Sts.",FSM,1.328622654,4.742745018,1.32915221,5.513533348,-2.522761587,5.591590593,-3.814458897,-6.207714302,3.212550609,1.7862463,4.931122497,1.994037323,0.775742249,1.98505965,-3.012437302,2.523223497,0.325959633,-1.500443944,-1.992566521,1.458214136,2.868986427,2.191597255,0.394874574,-4.186968511,..,..
Internet users (per 100 people),IT.NET.USER.P2,"Micronesia, Fed. Sts.",FSM,0,..,..,..,..,..,0.278037795,0.570676845,1.858718785,2.797594069,3.734862137,4.660527199,5.570099705,9.2325021,11.01786731,11.8813691,12.75033925,13.62113273,14.49,15.35,20,22.8,25.974423,27.8,29.65,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Micronesia, Fed. Sts.",FSM,..,141.1428571,144.8742857,148.4814286,151.51,153.6514286,154.7742857,155.0085714,154.6228571,154.0114286,153.4714286,153.1,152.8328571,152.5942857,152.25,151.7114286,150.9714286,150.1142857,149.2457143,148.5157143,148.0271429,147.8228571,147.88,148.1685714,148.6342857,..
Population growth (annual %),SP.POP.GROW,"Micronesia, Fed. Sts.",FSM,2.352777861,2.530742706,2.60938226,2.459351901,2.019173907,1.403495673,0.72812483,0.151258053,-0.249144273,-0.396216104,-0.351239455,-0.242311395,-0.174641539,-0.15622153,-0.225876539,-0.354368641,-0.488961602,-0.56936954,-0.58028719,-0.490326411,-0.329511812,-0.138100894,0.038648837,0.194948767,0.313820879,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,"Micronesia, Fed. Sts.",FSM,48.84928009,48.84311741,48.83051315,48.82380673,48.83883195,48.88523188,48.96900556,49.08300002,49.20728778,49.31266696,49.37726892,49.39255389,49.36578709,49.30909227,49.24325592,49.18171717,49.12850114,49.07974876,49.03419098,48.99048682,48.94758683,48.90602652,48.86780788,48.83337511,48.80242974,..
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,96331,98800,101412,103937,106057,107556,108342,108506,108236,107808,107430,107170,106983,106816,106575,106198,105680,105080,104472,103961,103619,103476,103516,103718,104044,..
Rural population,SP.RUR.TOTL,"Micronesia, Fed. Sts.",FSM,71460,73357,75363,77308,78955,80594,81827,82585,83002,83283,83441,83239,83094,82964,82777,82484,82088,81629,81163,80772,80514,80398,80414,80545,80761,..
Surface area (sq. km),AG.SRF.TOTL.K2,"Micronesia, Fed. Sts.",FSM,..,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
