Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Moldova,MDA,..,..,52.81411622,52.92867982,53.40012143,53.84148193,54.26662618,54.28311057,54.63384989,55.07598784,55.56569343,56.23479319,56.05231144,56.13020992,55.96107056,55.7312253,55.33596838,55.39677714,55.36637276,55.24475524,55.19025875,55.12937595,55.20389531,55.23114355,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Moldova,MDA,..,..,0.507532058,0.737709197,0.629344623,0.883484045,0.887996894,0.845046668,0.852378638,0.834981009,0.773025833,0.714475772,0.653670545,0.699523441,0.627117829,0.700931468,0.596152284,0.686294172,0.615330182,0.62026808,0.634252246,0.624819609,0.648270832,0.636143281,..,..
GDP (current US$),NY.GDP.MKTP.CD,Moldova,MDA,3592856080,3094567110,2319243407,2371812882,1702314343,1752995321,1695130492,1930071455,1639497207,1170785048,1288420223,1480656884,1661818168,1980901554,2598231467,2988332510,3408272498,4401154128,6054806101,5439422031,5811604052,7015206498,7284686576,7985349731,7944184930,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Moldova,MDA,-2.399999825,-16.00000025,-29.09999991,-1.199999977,-30.90000025,-1.39999901,-5.200000511,1.6,-6.49999995,-3.400000332,2.100000277,6.100000042,7.800000106,6.600000426,7.410062486,7.487164565,4.798521976,3.067943527,7.764846405,-5.989579853,7.094071762,6.414350738,-0.700000351,9.396806409,4.6,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Moldova,MDA,972.0930952,835.4662824,625.807719,640.857304,461.2068119,476.99268,462.1720172,528.1777761,448.8413622,321.0267965,354.001279,407.7302432,458.6778168,548.2896867,720.9409321,831.2036369,950.6482044,1230.434685,1695.972811,1525.526119,1631.535832,1970.571373,2046.536787,2243.979662,2233.771491,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Moldova,MDA,-2.796103722,-16.18142574,-29.13826219,-1.066522539,-30.71278811,-0.97338775,-5.009999781,1.976460234,-6.462218366,-3.248200374,2.307841953,6.3375333,8.049932346,6.900603437,7.67617766,7.749007019,5.090186884,3.307077546,7.97016694,-5.870827761,7.201074285,6.475897932,-0.686972439,9.426103367,4.663705882,..
Internet users (per 100 people),IT.NET.USER.P2,Moldova,MDA,0,..,..,..,0.000825391,0.003457217,0.004643901,0.028128808,0.260818206,0.600695269,1.282846417,1.487812952,3.787242799,7.407544584,10.62939084,14.63027046,19.62064771,20.45,23.39,27.5,32.3,38,43.37,45,46.6,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Moldova,MDA,48.7077919,48.72806761,48.73960053,48.73783631,48.89092313,48.96378293,49.02549596,49.08438637,49.22973285,49.4724168,49.72174066,49.63931292,50.30525181,49.86264212,50.45999093,50.91664313,48.52731756,49.0557736,48.94020914,48.08413123,48.19012968,48.22978527,48.58158342,48.53485942,..,..
"Labor force, total",SL.TLF.TOTL.IN,Moldova,MDA,1790385,1781384,1773287,1762212,1747850,1731780,1722979,1707598,1695256,1682673,1668767,1623568,1621612,1472431,1435137,1426673,1341939,1311391,1300115,1246719,1219231,1240358,1195488,1218279,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Moldova,MDA,128.7490856,129.0277633,129.0974327,128.5649772,128.2621538,127.7539889,127.4984531,127.0719477,127.0648068,126.9095939,126.7399798,126.4568722,126.1643626,125.8534155,125.4986593,125.1501027,124.802764,124.513872,124.2770912,124.1203049,124.1693101,124.0975355,124.0380179,123.9184455,123.8430198,..
Population growth (annual %),SP.POP.GROW,Moldova,MDA,0.406669938,0.2162163,0.053981108,-0.135007446,-0.270562936,-0.431735297,-0.200222133,-0.369846949,-0.040399949,-0.157019474,-0.203359857,-0.223626544,-0.231579736,-0.281594716,-0.247449868,-0.24330723,-0.277923569,-0.231747161,-0.190345178,-0.126238295,-0.099864634,-0.057820587,-0.01311889,-0.026776865,-0.060885746,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Moldova,MDA,52.3371296,52.31238376,52.29158515,52.27323751,52.25529303,52.23634861,52.2152561,52.19243904,52.16990182,52.1507148,52.13692263,52.13033623,52.12961498,52.12973843,52.1237787,52.10706286,52.07741255,52.03735825,51.9927427,51.95222536,51.92233632,51.90505396,51.8988631,51.90268634,51.91418202,..
"Population, total",SP.POP.TOTL,Moldova,MDA,3696000,3704000,3706000,3701000,3691000,3675099,3667748,3654208,3652732,3647001,3639592,3631462,3623062,3612874,3603945,3595187,3585209,3576910,3570108,3565604,3562045,3559986,3559519,3558566,3556400,..
Rural population,SP.RUR.TOTL,Moldova,MDA,1967676,1975380,1979930,1980738,1978856,1973749,1973248,1969582,1972402,1972955,1972550,1971739,1970765,1968800,1967502,1966280,1964372,1963366,1963167,1963364,1963185,1963012,1962826,1961517,1958687,..
Surface area (sq. km),AG.SRF.TOTL.K2,Moldova,MDA,33760,33760,33760,33840,33840,33850,33850,33840,33840,33840,33840,33840,33840,33840,33850,33850,33850,33850,33850,33850,33850,33850,33850,33850,33850,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Moldova,MDA,..,6.400000095,5.699999809,5.099999905,5.300000191,5.599999905,5.400000095,6.400000095,4.400000095,9,7.199999809,5.900000095,5.599999905,6.300000191,6.300000191,6,5.800000191,3.900000095,3.400000095,4.900000095,5.699999809,5.599999905,4.300000191,3.900000095,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Moldova,MDA,..,7.599999905,6.900000095,6.300000191,6.5,6.599999905,6.5,8,5.599999905,11.10000038,8.5,7.300000191,6.800000191,7.900000095,8.100000381,7.300000191,7.400000095,5.099999905,4,6.400000095,7.400000095,6.699999809,5.599999905,5.099999905,..,..
