Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Mongolia,MNG,0.881845568,0.880558202,0.876696104,0.870259275,0.850305106,0.850305106,0.850305106,0.789798913,0.866397178,0.765982646,0.75568372,0.483405855,0.486624269,0.453152759,0.453152759,0.447359613,0.448003296,0.452509076,0.536831535,0.400370761,0.395221298,0.393290249,0.416462834,0.364581992,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Mongolia,MNG,4.287337349,4.010878538,2.630431842,2.199749473,2.159119943,3.67495876,3.862236892,1.67976091,1.877969539,1.760970414,1.717183103,1.673571432,1.632017173,1.543271677,1.423986193,1.477766541,1.440630276,1.406038408,1.505866679,1.438301466,1.41603878,1.384140963,1.352808533,1.343844501,..,..
GDP (current US$),NY.GDP.MKTP.CD,Mongolia,MNG,2560785660,2379018326,1317611864,768401665.8,925817089.5,1452165053,1345719435,1180934217,1124440238,1057408608,1136896162,1267997923,1396555772,1595297301,1992066759,2523471602,3414055663,4234999703,5623216610,4583850368,7189482030,10409797336,12292770631,12545217934,12015944337,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Mongolia,MNG,-3.184460179,-8.693544731,-9.256465704,-3.168791549,2.134382694,6.376426886,2.235093843,3.896713585,3.339936599,3.070369009,1.146062138,2.952710543,4.732978465,7.004634576,10.62540596,7.253665441,8.556234809,10.24801636,8.900367947,-1.26859894,6.365161685,17.29077735,12.31981973,11.64458043,7.823899144,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mongolia,MNG,1172.443066,1072.634868,587.3003521,339.5194007,405.9719883,631.915161,580.9100758,505.6031387,477.35013,445.0063899,474.2129566,524.024766,571.5383906,646.1191681,797.9051521,998.8222994,1334.405712,1633.384335,2138.37674,1717.073137,2650.346885,3772.931547,4377.23887,4387.707056,4129.373548,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Mongolia,MNG,-5.096661783,-10.0839806,-10.29134775,-4.011570699,1.359986955,5.564359524,1.417194027,3.046081245,2.467184361,2.177805158,0.248570657,2.004290753,3.713981627,5.897683356,9.403511969,5.987481022,7.19690792,8.78987845,7.372670295,-2.7444817,4.675768964,15.31754792,10.34946076,9.659583278,5.945345691,..
Internet users (per 100 people),IT.NET.USER.P2,Mongolia,MNG,0,..,..,..,..,0.008811225,0.018160749,0.112742554,0.145810542,0.50847156,1.255652004,1.653238239,2.039572603,..,..,..,..,9,9.8,10,10.2,12.49999111,16.4,20,27,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Mongolia,MNG,46.66887286,46.47430838,46.36111069,46.38232868,46.44962713,46.48161103,46.51516706,46.42814062,46.40120278,46.3842848,46.31348178,46.38411031,46.47744612,46.58726957,46.5514377,46.42948514,46.47671356,46.44021832,46.18404525,45.80956721,45.5845935,45.66289086,45.73995087,45.74369891,..,..
"Labor force, total",SL.TLF.TOTL.IN,Mongolia,MNG,746384,772898,798348,818275,833673,846268,867373,887031,905233,925626,949229,973965,998764,1023799,1053381,1082715,1110625,1137949,1128918,1195855,1214656,1242648,1271429,1302234,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Mongolia,MNG,1.405896779,1.427637169,1.444106439,1.456785705,1.467915626,1.479207755,1.49113713,1.503446278,1.516251706,1.529496769,1.543189835,1.55753817,1.572841088,1.589282036,1.607032236,1.626230722,1.646852391,1.668925565,1.692671027,1.718357836,1.746090914,1.775968743,1.807679781,1.840401401,1.873034192,..
Population growth (annual %),SP.POP.GROW,Mongolia,MNG,1.994863559,1.534537213,1.147000108,0.874168759,0.761101625,0.766319074,0.803235968,0.822098814,0.84813146,0.86974657,0.891282364,0.925488326,0.977711505,1.039877072,1.110678144,1.187575025,1.260092769,1.331422082,1.412772553,1.506131801,1.601043744,1.696651881,1.769808918,1.793956656,1.757597837,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Mongolia,MNG,50.63249006,50.61278134,50.58854311,50.5568654,50.51416469,50.45913079,50.38973552,50.30967241,50.23047324,50.16709698,50.12951326,50.12148055,50.13871479,50.17304261,50.21266744,50.24914435,50.28051768,50.30885815,50.33471931,50.35960821,50.38454917,50.40901404,50.43223058,50.45471175,50.47725483,..
"Population, total",SP.POP.TOTL,Mongolia,MNG,2184145,2217920,2243506,2263204,2280495,2298038,2316571,2335694,2355588,2376165,2397438,2419729,2443503,2469045,2496621,2526447,2558484,2592776,2629666,2669572,2712657,2759074,2808339,2859174,2909871,..
Rural population,SP.RUR.TOTL,Mongolia,MNG,938462,953994,966009,975531,984011,992638,1001685,1011029,1020700,1030709,1027710,1010914,994408,978285,962622,947569,932951,918776,905105,892171,879796,868060,857330,847288,837403,..
Surface area (sq. km),AG.SRF.TOTL.K2,Mongolia,MNG,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Mongolia,MNG,..,5.5,5.599999905,6.199999809,6.5,6.699999809,6.400000095,6.400000095,6.300000191,6.300000191,6.300000191,6.199999809,6.199999809,6.400000095,6.900000095,6.300000191,6,7.199999809,5.199999809,6.199999809,5.900000095,4.800000191,5.099999905,4.800000191,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Mongolia,MNG,..,5.900000095,5.900000095,6.099999905,6.300000191,7.300000191,6.199999809,6.300000191,6.199999809,6.199999809,6.099999905,6.099999905,6.199999809,6.800000191,7.099999905,6.900000095,5.900000095,7.199999809,5.599999905,5.900000095,6.5,4.800000191,5.199999809,4.900000095,..,..
