Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.93680297,12.93680297,12.86245353,12.86245353,12.78810409,12.86245353,12.78810409,0.579925651,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.323210927,5.847953216,5.788600316,5.166251997,5.183157511,4.996677087,4.868475224,4.848031333,..,..
GDP (current US$),NY.GDP.MKTP.CD,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,984279598.3,1159891557,1284504508,1707662613,2073255525,2257118341,2696020575,3668857104,4519731947,4141382328,4111066225,4495496247,4045813953,4417255709,4583198885,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Montenegro,MNE,..,..,..,..,..,..,..,..,4.900002988,-9.399997528,3.099997417,1.100001032,1.899998858,2.499998406,4.400003554,4.192994029,8.566414343,10.65789954,6.922600306,-5.656914856,2.463728413,3.228277975,-2.545812088,3.337530877,1.525195607,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,1627.042893,1909.635435,2106.339013,2789.081582,3380.199535,3674.52653,4383.595097,5957.145693,7325.703474,6698.079439,6636.875029,7249.876624,6519.186971,7110.762932,7370.857005,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Montenegro,MNE,..,..,..,..,..,..,..,..,5.048253674,-9.314056744,3.128799631,0.694029073,1.492450997,2.091683903,4.215153388,4.038976049,8.431550329,10.50517502,6.733006785,-5.859091471,2.276145888,3.119902092,-2.627782768,3.236723024,1.428372768,..
Internet users (per 100 people),IT.NET.USER.P2,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.3500686,27.1,28.9,30.8,32.9,35.1,37.5,35.61154125,56.83878255,60.31,61,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Montenegro,MNE,42.39337505,42.21545012,42.05850991,42.06633653,42.13064076,42.17958805,42.39570631,42.64861582,42.92002965,42.99478252,43.19429916,43.23128851,43.18649069,43.22146736,43.24165407,43.24166833,43.39184938,43.64756335,43.26670011,43.48760092,43.40557693,44.2181308,44.03691727,44.01439284,..,..
"Labor force, total",SL.TLF.TOTL.IN,Montenegro,MNE,243564,247092,249462,249998,249080,247845,245197,243682,242840,244946,244736,246199,248066,249346,250002,250550,253036,256500,259130,256027,252433,243762,250181,251236,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Montenegro,MNE,45.22825279,45.34282528,45.37754647,45.35197026,45.29598513,45.23330855,45.16743494,45.09657993,45.0329368,44.99026022,44.97769517,45.15903346,45.34037175,45.52171004,45.60245353,45.66996283,45.7267658,45.78996283,45.87130112,45.96981413,46.05412639,46.10252788,46.14133829,46.18639405,46.23048327,..
Population growth (annual %),SP.POP.GROW,Montenegro,MNE,0.461181483,0.253000305,0.076545523,-0.056379026,-0.123522118,-0.138466981,-0.145736893,-0.156995084,-0.14122595,-0.094770687,-0.027974019,0.402363248,0.400750772,0.399151169,0.177216476,0.147929262,0.124299813,0.138110348,0.177475867,0.214529296,0.183239906,0.105041772,0.084147408,0.097599637,0.09541379,..
"Population, female (% of total)",SP.POP.TOTL.FE.ZS,Montenegro,MNE,50.20918733,50.18506098,50.19799927,50.23794096,50.28979758,50.3422709,50.39212775,50.44177214,50.49244858,50.54708333,50.6067081,50.67208707,50.73955697,50.80039458,50.84344711,50.86155009,50.85090257,50.81540013,50.76483687,50.71319278,50.67079132,50.64073443,50.6204878,50.60770226,50.59796063,..
"Population, total",SP.POP.TOTL,Montenegro,MNE,608320,609861,610328,609984,609231,608388,607502,606549,605693,605119,604950,607389,609828,612267,613353,614261,615025,615875,616969,618294,619428,620079,620601,621207,621800,..
Rural population,SP.RUR.TOTL,Montenegro,MNE,316101,310023,303833,297264,290500,283722,276948,270212,263549,257067,250788,245634,240467,235306,232951,232191,231372,230584,229889,229276,228594,227730,226786,225852,224893,..
Surface area (sq. km),AG.SRF.TOTL.K2,Montenegro,MNE,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Montenegro,MNE,..,19.70000076,20.39999962,21.5,22.20000076,20.70000076,21.10000038,21.70000076,21.10000038,21.89999962,20.89999962,21.60000038,21.70000076,21.70000076,20.5,20.70000076,19.5,20.79999924,18,20.5,20.70000076,20,20.39999962,20.79999924,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Montenegro,MNE,..,18.60000038,19.29999924,20.10000038,21.5,19.5,19.89999962,21,20.29999924,21.20000076,19.70000076,21,21,21.10000038,19.29999924,19.39999962,18.20000076,19.39999962,16.79999924,19.10000038,19.70000076,19.70000076,19.60000038,19.79999924,..,..
