Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Arable land (% of land area),AG.LND.ARBL.ZS,Morocco,MAR,19.50929868,19.53170513,20.01792516,20.16356711,20.44364777,19.98879677,20.3809097,20.12099485,20.23974905,19.75801031,19.6437374,19.01859736,18.82590186,20.28904324,18.39569796,18.19852117,18.06856375,18.07080439,18.041676,18.013892,17.31861976,17.48554784,18.03047278,18.02599149,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Morocco,MAR,2.448614875,2.388335809,2.311656868,2.243638422,2.193227875,2.584955797,2.508594061,2.453037154,2.388427941,2.319728478,2.333026822,2.436216829,2.415523608,2.317273396,2.279806694,2.26979754,2.214028716,2.183386928,2.157924834,2.144185202,2.128833394,2.085498303,2.046848856,2.005610978,..,..
GDP (current US$),NY.GDP.MKTP.CD,Morocco,MAR,28839382991,31014466120,32042164441,30137111517,34085406933,37183957845,41383907571,37263566705,40021694646,39734023758,37020609825,37724674865,40416114690,49822651702,56948015336,59523801936,65640092774,75223563590,88879527244,90907274329,90770208620,99210991483,95903875574,1.04E+11,1.07E+11,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Morocco,MAR,2.788213602,7.547347942,-2.907529039,-1.003258086,11.49440284,-6.328695469,13.45977869,-2.011627139,7.979380864,0.529417121,1.592567672,7.551951989,3.316035915,6.316967049,4.80186641,2.97851241,7.759852155,2.705774383,5.587056082,4.758347025,3.642974764,4.985647093,2.669166448,4.381457983,2.555054982,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Morocco,MAR,1145.922574,1209.896964,1227.791774,1134.99663,1262.733439,1356.326784,1487.682843,1321.28786,1400.840877,1373.906001,1265.395038,1275.459235,1352.317069,1650.282638,1867.32994,1931.759249,2107.896017,2389.694886,2791.99391,2822.072839,2782.671797,3001.177816,2860.926086,3056.118453,3103.191488,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Morocco,MAR,0.877579664,5.587977859,-4.631632014,-2.700418059,9.673907505,-7.770024224,11.8180893,-3.348475046,6.591148428,-0.689697263,0.426892022,6.384122409,2.247012131,5.247091464,3.748061742,1.921658969,6.628830665,1.602270899,4.408260793,3.525059493,2.350257594,3.596054245,1.246164115,2.907150976,1.127428357,..
Internet users (per 100 people),IT.NET.USER.P2,Morocco,MAR,0,..,..,..,..,0.003710492,0.005675444,0.021635203,0.142300767,0.175595345,0.693791245,1.371438101,2.373253192,3.353366681,11.60793477,15.08444452,19.77119157,21.5,33.1,41.3,52,46.1074826,55.41605319,56,56.8,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Morocco,MAR,25.18273573,25.62674525,25.54608448,25.6129275,26.2550634,26.27122684,26.95668211,27.2528722,27.88794815,28.32519887,27.73581833,25.20647308,25.02489323,26.74414808,27.58677355,27.48326929,27.17132541,27.18888312,26.85185697,26.35559523,26.71724017,26.79358793,26.91473842,26.97726275,..,..
"Labor force, total",SL.TLF.TOTL.IN,Morocco,MAR,7963686,8164681,8435508,8691240,8891005,9187778,9407660,9714488,9977274,10272754,10308497,10118147,10196547,10628871,10965842,11058255,11110967,11266899,11399841,11463562,11546230,11786152,12008703,12255617,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Morocco,MAR,55.90438718,56.93519606,57.95752857,58.96110016,59.93201882,60.86015909,61.7452207,62.59021734,63.39300695,64.15185525,64.86792068,65.54107775,66.17878333,66.7996527,67.42798342,68.08308089,68.76861752,69.48537307,70.24544925,71.06197177,71.94205467,72.89259243,73.90587049,74.95560385,76.00538427,..
